account_id,code,name,type,tax_type,status,description,enable_payments_to_account
X_A001,200,Residential Service - Income,REVENUE,ACTIVE,Residential service work,,
X_A002,210,Commercial Project - Income,REVENUE,ACTIVE,Light commercial / multi-unit,,
X_A003,300,Materials - Cost of Goods,DIRECTCOSTS,ACTIVE,"Wire, fixtures, breakers",,
X_A004,400,Payroll - Crew,EXPENSE,ACTIVE,"Ryan, Danny, Jake",,
X_A005,500,Equipment Loan - First Citizens,TERMLIAB,ACTIVE,Acct ****4471,,
X_A006,100,Business Checking - First Citizens,BANK,ACTIVE,Primary operating,,
X_A007,410,SEP-IRA Contribution,EXPENSE,ACTIVE,Owner SEP contributions,,
X_A008,420,Vehicle - Fuel + Maintenance,EXPENSE,ACTIVE,F-150 work truck,,
xa_k691h217,6229,Account 8gwa,REVENUE,OVERHEADS,2836.00,true,
xa_tmmoyr9v,9897,Account 0bxp,BANK,DIRECTCOSTS,4881.79,true,
xa_to2xz5za,6713,Account 9g8l,BANK,REVENUE,4811.64,true,
xa_3nyn4b26,8915,Account oiew,CURRLIAB,DIRECTCOSTS,4720.76,true,
xa_bq9lqgyu,3204,Account 4itn,REVENUE,REVENUE,3410.36,true,
xa_cy8fhr8o,9014,Account se2t,BANK,NONE,4409.58,true,
xa_a31q7i81,6022,Account evy1,CURRLIAB,REVENUE,15.07,true,
xa_dm87z83t,4221,Account 18y1,REVENUE,REVENUE,4443.74,true,
xa_wviecgxt,9136,Account evnl,CURRLIAB,NONE,55.98,true,
xa_j2uz0m9n,7041,Account hiy3,EXPENSE,REVENUE,4154.97,true,
xa_lon1e8cm,1806,Account wr2s,EXPENSE,DIRECTCOSTS,4612.33,true,
xa_8g2cx23y,8308,Account 8ef2,REVENUE,DIRECTCOSTS,1082.82,true,
xa_me2yhaxq,3779,Account tteh,REVENUE,DIRECTCOSTS,872.29,true,
xa_1759bstx,5621,Account rkpn,REVENUE,DIRECTCOSTS,4389.71,true,
xa_zjru7zsi,3786,Account k7x1,CURRLIAB,NONE,4816.60,true,
xa_fguphc1z,5935,Account hxyv,REVENUE,REVENUE,4381.10,true,
xa_k3vim8we,5885,Account a7wy,REVENUE,DIRECTCOSTS,4533.59,true,
xa_fbnbv8vv,2542,Account egtc,BANK,NONE,357.44,true,
xa_pbgap86q,5059,Account mlfg,REVENUE,NONE,1869.40,true,
xa_yls3a1ck,8070,Account 75m9,REVENUE,NONE,3007.37,true,
xa_1qoax35m,9713,Account byux,CURRLIAB,OVERHEADS,793.70,true,
xa_huj2eifq,6580,Account clzk,REVENUE,NONE,2337.90,true,
xa_q5upen8e,6104,Account yzv0,EXPENSE,REVENUE,665.36,true,
xa_c5ho5pl7,6045,Account 3lys,CURRLIAB,DIRECTCOSTS,3943.89,true,
xa_lqs3xnwt,7773,Account ofrc,CURRLIAB,OVERHEADS,277.99,true,
xa_edzdkbsh,3203,Account aycs,CURRLIAB,NONE,2368.27,true,
xa_77hy1kdv,2128,Account 7wz6,BANK,DIRECTCOSTS,4494.85,true,
xa_83xmh68t,1664,Account kmhx,EXPENSE,OVERHEADS,4361.40,true,
xa_27km6wft,7187,Account seki,REVENUE,REVENUE,2098.11,true,
xa_b5671j1u,5619,Account jvvx,BANK,REVENUE,822.95,true,
xa_fhfa43eu,4478,Account 5o6m,CURRLIAB,OVERHEADS,1680.46,true,
xa_z63g5sf3,5588,Account t2w7,CURRLIAB,DIRECTCOSTS,2876.90,true,
xa_k74l8xtg,3452,Account pxhx,EXPENSE,DIRECTCOSTS,4610.40,true,
xa_j4pj7w02,4956,Account uma7,EXPENSE,NONE,3614.60,true,
xa_2fnv9trx,9018,Account fzv5,REVENUE,REVENUE,1735.63,true,
xa_rbtamm51,1692,Account g3wu,REVENUE,OVERHEADS,4951.62,true,
xa_6b1296i5,3630,Account kz74,EXPENSE,DIRECTCOSTS,4876.31,true,
xa_tay1npx5,2332,Account njiw,BANK,DIRECTCOSTS,4108.31,true,
xa_ogjw8npp,8700,Account bf26,BANK,DIRECTCOSTS,3301.70,true,
xa_bo0zydgx,8628,Account 98al,CURRLIAB,REVENUE,3969.82,true,
xa_6zb2inq1,6870,Account 1m5r,REVENUE,NONE,3723.63,true,
xa_wxigl46z,6539,Account w78r,REVENUE,OVERHEADS,2458.19,true,
xa_do2wrlqz,8574,Account 9m3z,EXPENSE,NONE,2838.80,true,
