id,title,organizationId,location,workplaceType,employmentType,seniority,keywords,postedAt,applicants,description
li-job-3000,Diesel Mechanic,li-org-mvpg-alumni,Cortez CO 81321,On-site,CONTRACT,Entry level,"diesel,fleet,paving,aggregate",2026-06-01T08:00:00-06:00,3,Historical listing #0 - alumni-network reference only.
li-job-3001,Journeyman Mechanic,li-org-mvpg,Dolores CO 81323,On-site,FULL_TIME,Mid-Senior,"diesel,fleet,paving,aggregate",2026-07-02T08:00:00-06:00,4,Historical listing #1 - alumni-network reference only.
li-job-3002,Apprentice Mechanic,li-org-mvpg-alumni,Mancos CO 81328,On-site,FULL_TIME,Entry level,"diesel,fleet,paving,aggregate",2026-08-03T08:00:00-06:00,5,Historical listing #2 - alumni-network reference only.
li-job-3003,Field Technician,li-org-mvpg,Durango CO 81301,On-site,CONTRACT,Mid-Senior,"diesel,fleet,paving,aggregate",2026-09-04T08:00:00-06:00,6,Historical listing #3 - alumni-network reference only.
li-job-3004,Yard Foreman,li-org-mvpg-alumni,Cortez CO 81321,On-site,FULL_TIME,Entry level,"diesel,fleet,paving,aggregate",2026-06-05T08:00:00-06:00,7,Historical listing #4 - alumni-network reference only.
li-job-3005,Dispatcher,li-org-mvpg,Dolores CO 81323,On-site,FULL_TIME,Mid-Senior,"diesel,fleet,paving,aggregate",2026-07-06T08:00:00-06:00,8,Historical listing #5 - alumni-network reference only.
li-job-3006,Safety Coordinator,li-org-mvpg-alumni,Mancos CO 81328,On-site,CONTRACT,Entry level,"diesel,fleet,paving,aggregate",2026-08-07T08:00:00-06:00,9,Historical listing #6 - alumni-network reference only.
li-job-3007,Records Clerk,li-org-mvpg,Durango CO 81301,On-site,FULL_TIME,Mid-Senior,"diesel,fleet,paving,aggregate",2026-09-08T08:00:00-06:00,10,Historical listing #7 - alumni-network reference only.
li-job-3008,Shop Foreman,li-org-mvpg-alumni,Cortez CO 81321,On-site,FULL_TIME,Entry level,"diesel,fleet,paving,aggregate",2026-06-09T08:00:00-06:00,11,Historical listing #8 - alumni-network reference only.
li-job-3009,Fleet Coordinator,li-org-mvpg,Dolores CO 81323,On-site,CONTRACT,Mid-Senior,"diesel,fleet,paving,aggregate",2026-07-10T08:00:00-06:00,12,Historical listing #9 - alumni-network reference only.
li-job-3010,HR Coordinator,li-org-mvpg-alumni,Mancos CO 81328,On-site,FULL_TIME,Entry level,"diesel,fleet,paving,aggregate",2026-08-11T08:00:00-06:00,13,Historical listing #10 - alumni-network reference only.
li-job-3011,Payroll Clerk,li-org-mvpg,Durango CO 81301,On-site,FULL_TIME,Mid-Senior,"diesel,fleet,paving,aggregate",2026-09-12T08:00:00-06:00,14,Historical listing #11 - alumni-network reference only.
li-job-3012,Compliance Analyst,li-org-mvpg-alumni,Cortez CO 81321,On-site,CONTRACT,Entry level,"diesel,fleet,paving,aggregate",2026-06-13T08:00:00-06:00,15,Historical listing #12 - alumni-network reference only.
li-job-3013,Administrative Assistant,li-org-mvpg,Dolores CO 81323,On-site,FULL_TIME,Mid-Senior,"diesel,fleet,paving,aggregate",2026-07-14T08:00:00-06:00,16,Historical listing #13 - alumni-network reference only.
li-job-3014,Financial Controller,li-org-mvpg-alumni,Mancos CO 81328,On-site,FULL_TIME,Entry level,"diesel,fleet,paving,aggregate",2026-08-15T08:00:00-06:00,17,Historical listing #14 - alumni-network reference only.
li-job-3015,Talent Acquisition Specialist,li-org-mvpg,Durango CO 81301,On-site,CONTRACT,Mid-Senior,"diesel,fleet,paving,aggregate",2026-09-16T08:00:00-06:00,18,Historical listing #15 - alumni-network reference only.
li-job-3016,Records Manager,li-org-mvpg-alumni,Cortez CO 81321,On-site,FULL_TIME,Entry level,"diesel,fleet,paving,aggregate",2026-06-17T08:00:00-06:00,19,Historical listing #16 - alumni-network reference only.
li-job-3017,Diesel Mechanic,li-org-mvpg,Dolores CO 81323,On-site,FULL_TIME,Mid-Senior,"diesel,fleet,paving,aggregate",2026-07-18T08:00:00-06:00,20,Historical listing #17 - alumni-network reference only.
li-job-3018,Journeyman Mechanic,li-org-mvpg-alumni,Mancos CO 81328,On-site,CONTRACT,Entry level,"diesel,fleet,paving,aggregate",2026-08-19T08:00:00-06:00,21,Historical listing #18 - alumni-network reference only.
li-job-3019,Apprentice Mechanic,li-org-mvpg,Durango CO 81301,On-site,FULL_TIME,Mid-Senior,"diesel,fleet,paving,aggregate",2026-09-20T08:00:00-06:00,22,Historical listing #19 - alumni-network reference only.
