Date	Activity	Location	Hours	Committee	Co-Volunteers	Notes
Jan 4 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins Webb Holley	
Jan 18 2025	HVAC filter replacement assist	Main sanctuary	1.5	Building and Facilities	Brother Holley	Comfort Air tech on site
Feb 1 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins Webb Holley	
Feb 18 2025	Parking lot cleanup after storm	Church grounds	3.0	Building and Facilities	Brother Holley Skeeter guest	Branches down from overnight wind
Mar 1 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins	Smaller attendance
Apr 5 2025	Monthly committee meeting	Fellowship Hall	3.0	Building and Facilities	All members present	Roof project kick-off discussion
Apr 19 2025	Roof prep -- moving stored items	North wing attic	4.0	Building and Facilities	Brother Holley Deacon Renfroe	Cleared path for roofers
May 3 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins Webb Holley	
Jun 7 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins	
Jul 5 2025	Monthly committee meeting	Fellowship Hall	2.0	Building and Facilities	Renfroe Odom Perkins Holley	Summer attendance light
Aug 2 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins	
Sep 6 2025	Monthly committee meeting	Fellowship Hall	3.0	Building and Facilities	All members present	Roof completed -- celebration
Sep 28 2025	Nursery cabinet installation	Nursery	3.5	Building and Facilities	Deacon Renfroe assist	Built and installed donated cabinet
Oct 4 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins Webb Holley	Minutes show P07
Oct 18 2025	Furniture staging practice run	Main sanctuary	2.0	Building and Facilities	Brother Tillman	Prep for Nov painting day
Nov 1 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	All members present	
Nov 7 2025	Sanctuary painting day crew lead	Main sanctuary	8.0	Building and Facilities	11 volunteers total	Moved all pews and furniture -- full day
Nov 7 2025	Post-paint furniture restore	Main sanctuary	2.0	Building and Facilities	Brother Holley 4 others	Moved everything back
Dec 6 2025	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins	Year-end review
Dec 21 2025	Christmas decoration assist	Main sanctuary	2.0	General church	Sister Webb 3 others	Helped hang garland and set up creche
Jan 3 2026	Monthly committee meeting	Fellowship Hall	3.0	Building and Facilities	All members present	2026 proposal D02 presented
Feb 7 2026	Monthly committee meeting	Fellowship Hall	2.5	Building and Facilities	Renfroe Odom Tillman Perkins	Sound system order confirmed
