Batch ID	Clay Body Type	Supplier	Purchase Date	Bags Purchased	Bag Weight (lbs)	Total Weight (lbs)	Unit Cost	Total Cost	Location	Cone Rating	Shrinkage Rate	Absorption	Color Fired	Status	Notes
CB-2025-001	Stoneware mid-fire	Charleston Clay Co.	January 10, 2025	4	50	200	$28.00	$112.00	Studio storage, shelf A	Cone 6	12.5%	1.8%	Warm buff-tan	Depleted	Primary class body, reliable
CB-2025-002	Stoneware mid-fire	Charleston Clay Co.	February 5, 2025	6	50	300	$28.00	$168.00	Studio storage, shelf A	Cone 6	12.5%	1.8%	Warm buff-tan	Depleted	Pre-class stock
CB-2025-003	Porcelain mid-fire	Charleston Clay Co.	November 3, 2025	2	25	50	$32.00	$64.00	Studio storage, shelf B	Cone 6	14.0%	0.5%	Bright white	In use	Marco commission pieces only
CB-2025-004	Stoneware mid-fire	Charleston Clay Co.	October 2, 2025	8	50	400	$28.00	$224.00	Studio storage, shelf A	Cone 6	12.5%	1.8%	Warm buff-tan	In use	Fall class season stock
CB-2025-005	Stoneware mid-fire	Charleston Clay Co.	December 1, 2025	6	50	300	$28.00	$168.00	Studio storage, shelf A	Cone 6	12.5%	1.8%	Warm buff-tan	In use	Holiday stock build
CB-2026-001	Stoneware mid-fire	Charleston Clay Co.	January 8, 2026	4	50	200	$29.00	$116.00	Studio storage, shelf A	Cone 6	12.5%	1.9%	Warm buff-tan	In use	New price $29/bag noted Jan 2026
CB-2026-002	Stoneware mid-fire	Charleston Clay Co.	February 3, 2026	6	50	300	$29.00	$174.00	Studio storage, shelf A	Cone 6	12.5%	1.9%	Warm buff-tan	Unopened	Spring pre-stock
CB-TEST-001	Stoneware dark	Sheffield Pottery	November 20, 2025	1	25	25	$36.00	$36.00	Studio storage, shelf C	Cone 6	13.0%	2.0%	Dark charcoal-grey	Test batch	Testing new dark body for winter palette
CB-TEST-002	Terra cotta earthenware	Sheffield Pottery	October 15, 2025	1	25	25	$28.00	$28.00	Studio storage, shelf C	Cone 04	10.0%	5.5%	Red-terracotta	Test batch	Low-fire test - may use for hand-building class intro
CB-SCRAP-001	Reclaimed stoneware	Studio reclaim	January 2026	0	0	85	$0.00	$0.00	Wedging bucket, studio	Cone 6	Variable	Variable	Variable	Ready to wedge	Reclaim from fall class - approx 85 lbs ready
CB-SCRAP-002	Reclaimed mixed	Studio reclaim	February 2026	0	0	40	$0.00	$0.00	Drying shelf, studio	Do not fire	Variable	Variable	N/A	Drying - contaminated	Mixed clay types, cannot fire, discard after drying
