tableId,id,name,type
tblProjects00001,fldProjName00001,Name,singleLineText
tblProjects00001,fldProjStatus001,Status,singleSelect
tblProjects00001,fldProjOwner0001,Owner,singleLineText
tblProjects00001,fldProjBudget001,Budget,number
tblTasks00000001,fldTaskName00001,Name,singleLineText
tblTasks00000001,fldTaskStatus001,Status,singleSelect
tblTasks00000001,fldTaskProj00001,Project,singleLineText
tblTasks00000001,fldTaskEst000001,EstimateHours,number
tblTasks00000001,fldTaskDone00001,Done,checkbox
tblContacts00001,fldContactNm0001,Name,singleLineText
tblContacts00001,fldContactEml001,Email,email
tblContacts00001,fldContactCmp001,Company,singleLineText
tblContacts00001,fldContactRole01,Role,singleLineText
