Date	Toque	Tempo_BPM	Instrument	Segment	Minutes	Note
2026-01-05	Angola	58	Gunga	slow ground game	18	heavy low berimbau, students stay close
2026-01-07	Sao Bento Grande	132	Medio	fast standing game	15	raised the cadence for conditioning
2026-01-09	Benguela	72	Gunga	controlled exchange	20	worked chamada entries
2026-01-12	Iuna	96	Viola	instructor game	12	reserved for cord holders only
2026-01-14	Sao Bento Pequeno	88	Medio	call and response	16	new students learned the chorus
2026-01-16	Santa Maria	104	Viola	movement focus	14	paired with pandeiro and atabaque
2026-01-19	Cavalaria	120	Medio	warning rhythm history	10	explained the lineage meaning
2026-01-21	Angola	60	Gunga	slow ground game	18	Tereza watched from the bench
2026-01-23	Idalina	112	Viola	advanced sequence	13	prep for the cord test games
2026-01-26	Sao Bento Grande	136	Medio	fast standing game	15	kids loved the energy
2026-01-28	Benguela	70	Gunga	controlled exchange	20	emphasis on listening to the bow
2026-01-30	Sao Bento Pequeno	90	Medio	call and response	16	full roda closing song
2026-02-02	Angola	56	Gunga	slow ground game	19	mestre style, patience drills
2026-02-04	Iuna	98	Viola	instructor game	12	filmed for technique review
2026-02-06	Santa Maria	106	Viola	movement focus	14	clean transitions, good tempo lock
2026-02-09	Cavalaria	118	Medio	history and rhythm	10	ceremony program note added
2026-02-11	Idalina	110	Viola	advanced sequence	13	cord candidates rehearsed
2026-02-13	Sao Bento Grande	130	Medio	fast standing game	15	steady build before belt season
