id,page_id,name,prefix
lbl_stale_1,cfp_rtss_v3_2,historical,global
lbl_stale_2,cfp_rtss_v3_2,pre-amendment-4,global
lbl_active_1,cfp_rtss_amend_4_summary,current,global
lbl_active_2,cfp_two_source_rule,methodology,global
lbl_501,cfp_rtss_v3_2,fellowship,global
lbl_502,cfp_rtss_amend_4_summary,reviewed,global
lbl_503,cfp_two_source_rule,field-site,global
lbl_504,cfp_ethics_amend_4,running,global
lbl_505,cfp_manhica_protocol,reference,global
lbl_506,cfp_nanoro_protocol,in-progress,global
lbl_507,cfp_bagamoyo_protocol,implementation-science,global
lbl_508,cfp_pid_fellowship_calendar,in-progress,global
lbl_509,cfp_call_coverage_grid,reviewed,global
lbl_510,cfp_grand_rounds_schedule,family,global
lbl_511,cfp_rollup_101,reference,global
lbl_512,cfp_rollup_102,family,global
lbl_513,cfp_rollup_103,reference,global
lbl_514,cfp_rollup_104,archived,global
lbl_515,cfp_rollup_105,archived,global
lbl_516,cfp_rollup_106,in-progress,global
lbl_517,cfp_rollup_107,current,global
lbl_518,cfp_rollup_108,running,global
lbl_519,cfp_rollup_109,fellowship,global
lbl_520,cfp_rollup_110,current,global
lbl_521,cfp_rollup_111,stale,global
lbl_522,cfp_rollup_112,stale,global
lbl_523,cfp_rollup_113,family,global
lbl_524,cfp_rollup_114,implementation-science,global
lbl_525,cfp_rollup_115,cme,global
lbl_526,cfp_rollup_116,in-progress,global
lbl_527,cfp_rollup_117,reviewed,global
lbl_528,cfp_rollup_118,current,global
lbl_529,cfp_rollup_119,implementation-science,global
lbl_530,cfp_rollup_120,cme,global
lbl_531,cfp_rollup_121,family,global
lbl_532,cfp_rollup_122,archived,global
lbl_533,cfp_rollup_123,current,global
lbl_534,cfp_rollup_124,running,global
lbl_535,cfp_rollup_125,in-progress,global
lbl_536,cfp_rollup_126,field-site,global
lbl_537,cfp_rollup_127,fellowship,global
lbl_538,cfp_rollup_128,archived,global
lbl_539,cfp_rollup_129,stale,global
lbl_540,cfp_rollup_130,running,global
lbl_541,cfp_rollup_131,stale,global
lbl_542,cfp_rollup_132,in-progress,global
lbl_543,cfp_rollup_133,current,global
lbl_544,cfp_rollup_134,running,global
lbl_545,cfp_rollup_135,fellowship,global
lbl_546,cfp_rollup_136,implementation-science,global
lbl_547,cfp_rollup_137,in-progress,global
lbl_548,cfp_rollup_138,fellowship,global
lbl_549,cfp_rollup_139,cme,global
lbl_550,cfp_rollup_140,field-site,global
lbl_551,cfp_rollup_141,reference,global
lbl_552,cfp_rollup_142,fellowship,global
lbl_553,cfp_rollup_143,running,global
lbl_554,cfp_rollup_144,fellowship,global
lbl_555,cfp_rollup_145,research,global
lbl_556,cfp_sop_146,implementation-science,global
lbl_557,cfp_sop_147,cme,global
lbl_558,cfp_sop_148,research,global
lbl_559,cfp_sop_149,archived,global
lbl_560,cfp_sop_150,fellowship,global
lbl_561,cfp_sop_151,implementation-science,global
lbl_562,cfp_sop_152,reviewed,global
lbl_563,cfp_sop_153,in-progress,global
lbl_564,cfp_sop_154,in-progress,global
lbl_565,cfp_sop_155,fellowship,global
lbl_566,cfp_sop_156,cme,global
lbl_567,cfp_sop_157,running,global
lbl_568,cfp_sop_158,running,global
lbl_569,cfp_sop_159,stale,global
lbl_570,cfp_sop_160,cme,global
lbl_571,cfp_sop_161,archived,global
lbl_572,cfp_sop_162,stale,global
lbl_573,cfp_sop_163,research,global
lbl_574,cfp_sop_164,research,global
lbl_575,cfp_sop_165,family,global
lbl_576,cfp_bookclub_166,running,global
lbl_577,cfp_bookclub_167,archived,global
lbl_578,cfp_bookclub_168,in-progress,global
lbl_579,cfp_bookclub_169,reviewed,global
lbl_580,cfp_bookclub_170,current,global
lbl_581,cfp_bookclub_171,family,global
lbl_582,cfp_bookclub_172,reference,global
lbl_583,cfp_bookclub_173,stale,global
lbl_584,cfp_bookclub_174,stale,global
lbl_585,cfp_bookclub_175,current,global
lbl_586,cfp_family_176,reviewed,global
lbl_587,cfp_family_177,cme,global
