id,key,name,type,status,description
sp_rtss,RTSS-MULTISITE,RTS-S Multi-site Implementation Study,global,current,Colorado-Glenwood collaboration protocols and amendments
sp_glenwood_pid,GLENWOOD-PID,Glenwood College Division of PID,global,current,Fellowship onboarding and division protocols
sp_manuscript_wip,MSPP,Manuscript Pipeline,global,current,Draft manuscripts and revision tracking
sp_ida_sops,IDA-SOP,Division SOPs,global,current,PID division standard operating procedures
sp_who_consulting_kb,WHO-CONS,WHO Consulting Knowledge Base,global,current,Documentation for WHO consulting engagements
sp_bookclub,BOOKCLUB,Global Health Book Club,global,current,Book club member archive
sp_running_notes,RUNNING,Running Notes,personal,current,Personal running notes
sp_choir_music,CHOIR,Trinity Choir,personal,current,Choir music references
sp_family_ops,FAMILY,Family Operations,personal,current,Family logistics and reference
sp_cme_archive,CME-ARCH,CME Archive,personal,current,CME certificates archive
