Date	Route	Distance (mi)	Duration (min)	Notes
01/06/2026	Foxcroft to Trout Brook	2.1	32	Cold, 28F. Wore the new gloves.
01/08/2026	Wolcott Park loop	1.8	27	After practice. Dark by 5:45.
01/10/2026	Foxcroft to Bishops Corner	2.4	36	Patricia joined for first half.
01/13/2026	Trout Brook loop	2.0	30	Slippery on the bridge. Need better shoes.
01/15/2026	Wolcott Park loop	1.8	28	
01/18/2026	Foxcroft to Elmwood	2.6	40	Longest route so far.
01/20/2026	Trout Brook loop	2.0	31	Listened to CISSP podcast.
01/22/2026	Wolcott Park loop	1.8	27	Marcus Jr. rode bike alongside.
01/26/2026	Foxcroft to Trout Brook	2.1	33	
01/29/2026	Wolcott Park loop	1.8	28	Rain cut it short.
02/02/2026	Foxcroft to Bishops Corner	2.4	35	Warmer, 38F.
02/04/2026	Trout Brook loop	2.0	30	
02/06/2026	Foxcroft to Elmwood	2.6	39	New route variation past the library.
02/09/2026	Wolcott Park loop	1.8	27	
02/11/2026	Trout Brook loop	2.0	30	CISSP Domain 1 audio review.
02/13/2026	Foxcroft to Trout Brook	2.1	32	Skipped yesterday, doubled pace.
02/16/2026	Wolcott Park loop	1.8	28	
02/18/2026	Foxcroft to Bishops Corner	2.4	37	Patricia joined again.
02/22/2026	Trout Brook loop	2.0	31	
02/25/2026	Wolcott Park loop	1.8	27	Last walk of the month. 20 walks in Jan/Feb.
