date_finished	title	author	genre	rating_5	note
2026-02-24	The Big Burn	Timothy Egan	environment	5	the Forest Service born out of fire
2026-02-12	The Starling Effect	Jasmine Obi	young adult	4	Emma was right about this one
2026-01-28	A River Lost	Blaine Harden	environment	4	dam politics, well argued
2026-01-14	Grant	Ron Chernow	biography	5	long but worth every page
2025-12-30	The Overstory	Richard Powers	fiction	4	the trees stayed with me
2025-12-15	Cadillac Desert	Marc Reisner	environment	5	essential on western water
2025-11-29	These Truths	Jill Lepore	history	4	ambitious single volume
2025-11-12	Crossing to Safety	Wallace Stegner	fiction	5	reread, gentler this time
2025-10-27	The Control of Nature	John McPhee	environment	5	McPhee never misses
2025-10-09	Truman	David McCullough	biography	4	fair to a hard presidency
