Date	WorkOrder	Site	City	SystemType	Reported Issue	Diagnosis	Resolution	Labor Hours	Parts
2026-02-16	WO-58841	Riverbend Office Plaza	Dublin	Commercial RTU 7.5 ton	No cooling on second floor	Failed run capacitor and dirty condenser coil	Replaced capacitor, coil clean, verified charge	2.5	45 plus 5 MFD capacitor
2026-02-16	WO-58842	Private residence, Linworth Rd	Worthington	Residential 90 percent furnace	Furnace short cycling	Cracked flame sensor and clogged condensate trap	Cleaned sensor, cleared trap, tested ignition	1.5	Flame sensor
2026-02-17	WO-58850	Maple Ridge Apartments, Bldg C	Hilliard	Residential heat pump 2.5 ton	Weak heat, high bills	Low charge and stuck reversing valve solenoid	Recovered, leak search, replaced solenoid, recharged	3.0	Reversing valve solenoid, R410A 4 lb
2026-02-17	WO-58851	Grandview Cafe	Grandview Heights	Commercial split 4 ton	Compressor not starting	Failed contactor, scored contacts	Replaced contactor, checked amp draw	1.0	Contactor 40 amp
2026-02-18	WO-58863	Westerville Dental Group	Westerville	Commercial RTU 10 ton	Intermittent cooling	Loose low voltage wiring at board	Repaired connections, secured harness	1.5	None
2026-02-18	WO-58864	Private residence, Hayden Run	Hilliard	Residential AC 3 ton	Annual maintenance	System within spec	Cleaned coil, replaced filter, checked charge	1.0	16x25x1 filter
2026-02-19	WO-58875	Upper Arlington Library annex	Upper Arlington	Commercial RTU 7.5 ton	Frozen evaporator	Low airflow from collapsed flex duct	Replaced duct section, thawed coil, verified	2.5	Flex duct 12 in
2026-02-19	WO-58876	Private residence, Riverside Dr	Columbus	Residential furnace 80 percent	No heat	Failed igniter	Replaced hot surface igniter, cycle tested	1.0	Hot surface igniter
2026-02-20	WO-58889	Climate Solutions warehouse	Worthington	Commercial unit heater	Pilot will not stay lit	Dirty thermocouple	Cleaned and adjusted, verified flame	0.5	None
2026-02-20	WO-58890	Private residence, Brookside	Upper Arlington	Residential heat pump 3 ton	Loud outdoor unit	Worn fan motor bearing	Replaced condenser fan motor, balanced	1.5	Condenser fan motor 1/4 hp
