# Custody weekend stock up, German Village grocery run
# Pizza Friday, grill Saturday, leave Sunday for Mom's
Item	Category	Qty	EstPrice
Ground beef 2 lb	Meat	1	11.98
Chicken thighs family pack	Meat	1	9.47
Chuck roast 3 lb	Meat	1	16.20
Spaghetti pasta	Pantry	2	2.36
Marinara jar	Pantry	2	4.58
Taco shells	Pantry	1	2.79
Taco seasoning	Pantry	2	1.58
Shredded cheese	Dairy	2	7.96
Sour cream	Dairy	1	2.49
Milk gallon	Dairy	1	3.69
Eggs dozen	Dairy	1	2.94
Green beans fresh	Produce	2	5.36
Carrots bag	Produce	1	1.98
Yellow onions	Produce	1	2.47
Potatoes small bag	Produce	1	4.29
Lettuce and tomato	Produce	1	4.18
Texas toast garlic bread	Frozen	1	3.24
Pizza, backup for Friday	Frozen	1	6.48
Coffee ground	Pantry	1	8.97
Cereal	Pantry	2	6.96
Snacks for the boys	Snacks	1	9.84
Sports drinks for Tyler	Drinks	1	5.98
TOTAL			125.79
