device_id,zone_id,zone_name,sensitivity,enabled,coordinates
rd-front-door,zone-front-door-front-porch,Front Porch,2,True,"0,0,100,100"
rd-front-door,zone-front-door-front-path,Front Path,5,True,"0,0,100,100"
rd-front-door,zone-front-door-doormat,Doormat,6,True,"0,0,100,100"
rd-front-door,zone-front-door-steps,Steps,9,True,"0,0,100,100"
rd-front-door,zone-front-door-overhang,Overhang,9,True,"0,0,100,100"
rd-front-door,zone-front-door-left-of-door,Left of Door,9,True,"0,0,100,100"
rd-front-door,zone-front-door-right-of-door,Right of Door,5,True,"0,0,100,100"
rd-front-door,zone-front-door-package-zone,Package Zone,6,True,"0,0,100,100"
rd-front-door,zone-front-door-delivery-person,Delivery Person,5,True,"0,0,100,100"
rd-front-door,zone-front-door-visitor-zone,Visitor Zone,8,True,"0,0,100,100"
rd-front-door,zone-front-door-walkway,Walkway,2,True,"0,0,100,100"
rd-front-door,zone-front-door-approach,Approach,6,True,"0,0,100,100"
rd-front-door,zone-front-door-front-camera,Front Camera,9,True,"0,0,100,100"
rd-front-door,zone-front-door-front-yard-left,Front Yard Left,3,True,"0,0,100,100"
rd-front-door,zone-front-door-front-yard-right,Front Yard Right,2,True,"0,0,100,100"
rd-front-door,zone-front-door-sidewalk,Sidewalk,7,True,"0,0,100,100"
rd-front-door,zone-front-door-street-view,Street View,1,True,"0,0,100,100"
rd-front-door,zone-front-door-mailbox,Mailbox,4,True,"0,0,100,100"
rd-front-door,zone-front-door-driveway-entry,Driveway Entry,5,True,"0,0,100,100"
rd-front-door,zone-front-door-mail-delivery,Mail Delivery,6,True,"0,0,100,100"
rd-front-door,zone-front-door-sunday-news,Sunday News,2,True,"0,0,100,100"
rd-front-door,zone-front-door-package-left,Package Left,7,True,"0,0,100,100"
rd-front-door,zone-front-door-package-right,Package Right,3,True,"0,0,100,100"
rd-front-door,zone-front-door-package-delivered,Package Delivered,3,True,"0,0,100,100"
rd-front-door,zone-front-door-front-cam-zone-a,Front Cam Zone A,1,True,"0,0,100,100"
rd-driveway,zone-driveway-driveway,Driveway,4,True,"0,0,100,100"
rd-driveway,zone-driveway-vehicle-zone,Vehicle Zone,10,True,"0,0,100,100"
rd-driveway,zone-driveway-tesla-charger,Tesla Charger,8,True,"0,0,100,100"
rd-driveway,zone-driveway-garage-approach,Garage Approach,3,True,"0,0,100,100"
rd-driveway,zone-driveway-car-space,Car Space,7,True,"0,0,100,100"
rd-driveway,zone-driveway-delivery-zone,Delivery Zone,4,True,"0,0,100,100"
rd-driveway,zone-driveway-left-side,Left Side,3,True,"0,0,100,100"
rd-driveway,zone-driveway-right-side,Right Side,2,True,"0,0,100,100"
rd-driveway,zone-driveway-behind-car,Behind Car,3,True,"0,0,100,100"
rd-driveway,zone-driveway-beyond-garage,Beyond Garage,10,True,"0,0,100,100"
rd-driveway,zone-driveway-approach-zone,Approach Zone,10,True,"0,0,100,100"
rd-driveway,zone-driveway-parked-zone,Parked Zone,4,True,"0,0,100,100"
rd-driveway,zone-driveway-license-plate,License Plate,8,True,"0,0,100,100"
rd-driveway,zone-driveway-wheel-zone,Wheel Zone,6,True,"0,0,100,100"
rd-driveway,zone-driveway-package-delivered,Package Delivered,5,True,"0,0,100,100"
rd-driveway,zone-driveway-delivery-van,Delivery Van,2,True,"0,0,100,100"
rd-driveway,zone-driveway-bike-zone,Bike Zone,7,True,"0,0,100,100"
rd-driveway,zone-driveway-skateboard-zone,Skateboard Zone,7,True,"0,0,100,100"
rd-driveway,zone-driveway-kids-zone,Kids Zone,8,True,"0,0,100,100"
rd-driveway,zone-driveway-neighbor-zone,Neighbor Zone,5,True,"0,0,100,100"
rd-driveway,zone-driveway-street-entry,Street Entry,6,True,"0,0,100,100"
rd-driveway,zone-driveway-turn-in,Turn-in,8,True,"0,0,100,100"
rd-driveway,zone-driveway-backing-out,Backing Out,6,True,"0,0,100,100"
rd-driveway,zone-driveway-vehicle-left,Vehicle Left,4,True,"0,0,100,100"
rd-driveway,zone-driveway-vehicle-right,Vehicle Right,4,True,"0,0,100,100"
rd-backyard,zone-backyard-yard,Yard,8,True,"0,0,100,100"
rd-backyard,zone-backyard-pool-path,Pool Path,6,True,"0,0,100,100"
rd-backyard,zone-backyard-grill-area,Grill Area,1,True,"0,0,100,100"
rd-backyard,zone-backyard-patio,Patio,7,True,"0,0,100,100"
rd-backyard,zone-backyard-deck,Deck,4,True,"0,0,100,100"
rd-backyard,zone-backyard-back-steps,Back Steps,3,True,"0,0,100,100"
rd-backyard,zone-backyard-left-fence,Left Fence,2,True,"0,0,100,100"
rd-backyard,zone-backyard-right-fence,Right Fence,2,True,"0,0,100,100"
rd-backyard,zone-backyard-rear-fence,Rear Fence,6,True,"0,0,100,100"
rd-backyard,zone-backyard-fire-pit,Fire Pit,3,True,"0,0,100,100"
rd-backyard,zone-backyard-herb-garden,Herb Garden,8,True,"0,0,100,100"
rd-backyard,zone-backyard-karen-garden,Karen Garden,5,True,"0,0,100,100"
rd-backyard,zone-backyard-dogwalk-zone,Dogwalk Zone,8,True,"0,0,100,100"
rd-backyard,zone-backyard-kids-play-zone,Kids Play Zone,7,True,"0,0,100,100"
rd-backyard,zone-backyard-trampoline,Trampoline,4,True,"0,0,100,100"
rd-backyard,zone-backyard-sandbox,Sandbox,9,True,"0,0,100,100"
rd-backyard,zone-backyard-squirrel-zone,Squirrel Zone,9,True,"0,0,100,100"
rd-backyard,zone-backyard-bird-feeder,Bird Feeder,7,True,"0,0,100,100"
rd-backyard,zone-backyard-deer-zone,Deer Zone,9,True,"0,0,100,100"
rd-backyard,zone-backyard-fence-line,Fence Line,8,True,"0,0,100,100"
rd-backyard,zone-backyard-corner-left,Corner Left,2,True,"0,0,100,100"
rd-backyard,zone-backyard-corner-right,Corner Right,8,True,"0,0,100,100"
rd-backyard,zone-backyard-rear-left,Rear Left,2,True,"0,0,100,100"
rd-backyard,zone-backyard-rear-right,Rear Right,7,True,"0,0,100,100"
rd-backyard,zone-backyard-approach,Approach,6,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-pool-deck,Pool Deck,10,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-diving-board,Diving Board,6,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-ladder,Ladder,8,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-skimmer,Skimmer,6,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-filter-area,Filter Area,7,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-pool-house,Pool House,3,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-chair-zone,Chair Zone,4,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-cabana,Cabana,10,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-table-area,Table Area,10,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-fire-pit,Fire Pit,4,True,"0,0,100,100"
rd-pool-deck,zone-pool-deck-bbq-zone,BBQ Zone,9,True,"0,0,100,100"
