id,doorbot_id,device_id,kind,created_at,answered,favorite,recording_status,snapshot_url,duration_seconds,cv_properties
evt-0000,rd-001,rd-001,motion,2026-08-25T03:00:00Z,False,False,ready,https://ring.com/snap/evt-0000.jpg,21,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":false}"
evt-0001,rd-001,rd-001,motion,2026-09-20T15:00:00Z,True,False,failed,https://ring.com/snap/evt-0001.jpg,20,"{""person_detected"":false,""vehicle_detected"":true,""package_detected"":false}"
evt-0002,rd-001,rd-001,motion,2026-02-14T12:00:00Z,True,False,failed,https://ring.com/snap/evt-0002.jpg,8,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":true}"
evt-0003,rd-001,rd-001,motion,2026-06-04T14:00:00Z,True,False,failed,https://ring.com/snap/evt-0003.jpg,23,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":true}"
evt-0004,rd-001,rd-001,ding,2026-03-08T07:00:00Z,False,False,failed,https://ring.com/snap/evt-0004.jpg,27,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":false}"
evt-0005,rd-001,rd-001,motion,2026-03-18T21:00:00Z,False,False,ready,https://ring.com/snap/evt-0005.jpg,9,"{""person_detected"":true,""vehicle_detected"":true,""package_detected"":false}"
evt-0006,rd-001,rd-001,ding,2026-03-22T03:00:00Z,False,False,failed,https://ring.com/snap/evt-0006.jpg,9,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":false}"
evt-0007,rd-001,rd-001,motion,2026-07-16T13:00:00Z,False,False,ready,https://ring.com/snap/evt-0007.jpg,5,"{""person_detected"":false,""vehicle_detected"":true,""package_detected"":false}"
evt-0008,rd-001,rd-001,ding,2026-01-01T04:00:00Z,False,False,ready,https://ring.com/snap/evt-0008.jpg,17,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":true}"
evt-0009,rd-001,rd-001,motion,2026-07-18T10:00:00Z,True,False,ready,https://ring.com/snap/evt-0009.jpg,28,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":true}"
evt-0010,rd-001,rd-001,ding,2026-02-15T04:00:00Z,True,False,ready,https://ring.com/snap/evt-0010.jpg,26,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":false}"
evt-0011,rd-001,rd-001,ding,2026-09-02T05:00:00Z,False,False,failed,https://ring.com/snap/evt-0011.jpg,21,"{""person_detected"":true,""vehicle_detected"":true,""package_detected"":false}"
evt-0012,rd-001,rd-001,motion,2026-09-04T17:00:00Z,False,False,ready,https://ring.com/snap/evt-0012.jpg,11,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":false}"
evt-0013,rd-001,rd-001,ding,2026-08-09T06:00:00Z,True,False,failed,https://ring.com/snap/evt-0013.jpg,24,"{""person_detected"":false,""vehicle_detected"":true,""package_detected"":false}"
evt-0014,rd-001,rd-001,motion,2026-09-08T07:00:00Z,True,False,ready,https://ring.com/snap/evt-0014.jpg,22,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":true}"
evt-0015,rd-001,rd-001,ding,2026-04-27T02:00:00Z,True,False,ready,https://ring.com/snap/evt-0015.jpg,22,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":true}"
evt-0016,rd-001,rd-001,ding,2026-05-17T03:00:00Z,False,False,ready,https://ring.com/snap/evt-0016.jpg,27,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":false}"
evt-0017,rd-001,rd-001,motion,2026-07-16T10:00:00Z,False,False,failed,https://ring.com/snap/evt-0017.jpg,6,"{""person_detected"":true,""vehicle_detected"":true,""package_detected"":false}"
evt-0018,rd-001,rd-001,motion,2026-06-18T17:00:00Z,False,False,failed,https://ring.com/snap/evt-0018.jpg,19,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":false}"
evt-0019,rd-001,rd-001,motion,2026-07-05T21:00:00Z,False,False,ready,https://ring.com/snap/evt-0019.jpg,15,"{""person_detected"":false,""vehicle_detected"":true,""package_detected"":false}"
evt-0020,rd-001,rd-001,motion,2026-07-28T02:00:00Z,True,False,ready,https://ring.com/snap/evt-0020.jpg,20,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":true}"
evt-0021,rd-001,rd-001,ding,2026-08-24T13:00:00Z,False,False,ready,https://ring.com/snap/evt-0021.jpg,7,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":true}"
evt-0022,rd-001,rd-001,ding,2026-09-10T16:00:00Z,True,False,failed,https://ring.com/snap/evt-0022.jpg,25,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":false}"
evt-0023,rd-001,rd-001,motion,2026-07-25T20:00:00Z,False,False,ready,https://ring.com/snap/evt-0023.jpg,9,"{""person_detected"":true,""vehicle_detected"":true,""package_detected"":false}"
evt-0024,rd-001,rd-001,motion,2026-01-22T06:00:00Z,True,False,failed,https://ring.com/snap/evt-0024.jpg,19,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":false}"
evt-0025,rd-001,rd-001,ding,2026-07-20T14:00:00Z,True,False,failed,https://ring.com/snap/evt-0025.jpg,19,"{""person_detected"":false,""vehicle_detected"":true,""package_detected"":false}"
evt-0026,rd-001,rd-001,motion,2026-05-25T07:00:00Z,False,False,failed,https://ring.com/snap/evt-0026.jpg,16,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":true}"
evt-0027,rd-001,rd-001,ding,2026-08-04T12:00:00Z,True,False,ready,https://ring.com/snap/evt-0027.jpg,20,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":true}"
evt-0028,rd-001,rd-001,motion,2026-08-17T07:00:00Z,False,False,failed,https://ring.com/snap/evt-0028.jpg,16,"{""person_detected"":false,""vehicle_detected"":false,""package_detected"":false}"
evt-0029,rd-001,rd-001,ding,2026-08-05T04:00:00Z,False,False,ready,https://ring.com/snap/evt-0029.jpg,24,"{""person_detected"":true,""vehicle_detected"":true,""package_detected"":false}"
evt-0030,rd-001,rd-001,ding,2026-08-25T21:00:00Z,False,False,ready,https://ring.com/snap/evt-0030.jpg,24,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":false}"
evt-0031,rd-001,rd-001,ding,2026-02-14T14:00:00Z,True,False,ready,https://ring.com/snap/evt-0031.jpg,20,"{""person_detected"":false,""vehicle_detected"":true,""package_detected"":false}"
evt-0032,rd-001,rd-001,motion,2026-09-21T21:00:00Z,True,False,ready,https://ring.com/snap/evt-0032.jpg,30,"{""person_detected"":true,""vehicle_detected"":false,""package_detected"":true}"
