id,display_name,description,visibility,is_archived,web_url,member_ids
19:team-windbridge001@thread.tacv2,Windbridge Partners,Windbridge Partners — all staff team for company-wide communications.,private,false,https://teams.microsoft.com/l/team/19%3Ateam-windbridge001,brian.henderson@windbridgepartners.com;mark.stevens@windbridgepartners.com;rebecca.foster@windbridgepartners.com
19:team-windbridge002@thread.tacv2,Biostatistics,"Biostatistics department team — analysis, trials, regulatory.",private,false,https://teams.microsoft.com/l/team/19%3Ateam-windbridge002,brian.henderson@windbridgepartners.com;mark.stevens@windbridgepartners.com
19:team-windbridge100@thread.tacv2,Biostatistics,Biostatistics working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/100,
19:team-windbridge101@thread.tacv2,DataViz,DataViz working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/101,
19:team-windbridge102@thread.tacv2,NEJM Manuscript,NEJM Manuscript working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/102,
19:team-windbridge103@thread.tacv2,MRNA4157,MRNA4157 working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/103,
19:team-windbridge104@thread.tacv2,Back Pain Study,Back Pain Study working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/104,
19:team-windbridge105@thread.tacv2,PH206 Teaching,PH206 Teaching working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/105,
19:team-windbridge106@thread.tacv2,Grants,Grants working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/106,
19:team-windbridge107@thread.tacv2,Clinical Ops,Clinical Ops working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/107,
19:team-windbridge108@thread.tacv2,Platform Eng,Platform Eng working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/108,
19:team-windbridge109@thread.tacv2,Analytics,Analytics working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/109,
19:team-windbridge110@thread.tacv2,QA,QA working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/110,
19:team-windbridge111@thread.tacv2,Documentation,Documentation working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/111,
19:team-windbridge112@thread.tacv2,Security,Security working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/112,
19:team-windbridge113@thread.tacv2,Infra,Infra working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/113,
19:team-windbridge114@thread.tacv2,ML Research,ML Research working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/114,
19:team-windbridge115@thread.tacv2,ETL,ETL working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/115,
19:team-windbridge116@thread.tacv2,Reporting,Reporting working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/116,
19:team-windbridge117@thread.tacv2,Leadership,Leadership working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/117,
19:team-windbridge118@thread.tacv2,HR,HR working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/118,
19:team-windbridge119@thread.tacv2,Finance,Finance working group at Windbridge Partners.,private,false,https://teams.microsoft.com/l/team/119,
