iata_code,icao_code,business_name,common_name,country_code
AA,AAL,American Airlines Inc.,American Airlines,US
UA,UAL,United Airlines Inc.,United Airlines,US
DL,DAL,Delta Air Lines Inc.,Delta Air Lines,US
WN,SWA,Southwest Airlines Co.,Southwest Airlines,US
AS,ASA,Alaska Airlines Inc.,Alaska Airlines,US
F9,FFT,Frontier Airlines Inc.,Frontier Airlines,US
B6,JBU,JetBlue Airways Corp.,JetBlue Airways,US
NK,NKS,Spirit Airlines Inc.,Spirit Airlines,US
HA,HAL,Hawaiian Airlines Inc.,Hawaiian Airlines,US
SY,SCX,Sun Country Airlines,Sun Country Airlines,US
