iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
ABQ,Albuquerque International Sunport,Albuquerque,ABQ,United States,US,35.0402,-106.6091,America/Denver
DRO,Durango-La Plata County Airport,Durango,DRO,United States,US,37.1512,-107.7538,America/Denver
FMN,Four Corners Regional Airport,Farmington,FMN,United States,US,36.7412,-108.23,America/Denver
GUP,Gallup Municipal Airport,Gallup,GUP,United States,US,35.5111,-108.7893,America/Denver
SAF,Santa Fe Regional Airport,Santa Fe,SAF,United States,US,35.6171,-106.0889,America/Denver
FLG,Flagstaff Pulliam Airport,Flagstaff,FLG,United States,US,35.1385,-111.6706,America/Phoenix
PHX,Phoenix Sky Harbor International,Phoenix,PHX,United States,US,33.4342,-112.008,America/Phoenix
TRY,Regional Airport 1,South Kimberly,TRY,United States,US,32.9833,-95.1497,America/Chicago
CRV,Regional Airport 2,East Michael,CRV,United States,US,35.4586,-97.1964,America/Chicago
FYA,Regional Airport 3,Port Danielleton,FYA,United States,US,40.6426,-120.1635,America/Denver
YOF,Regional Airport 4,New Barrybury,YOF,United States,US,37.8454,-85.1759,America/New_York
MGN,Regional Airport 5,New Courtney,MGN,United States,US,47.1254,-97.7068,America/Los_Angeles
ZHC,Regional Airport 6,Guerrerofurt,ZHC,United States,US,45.3238,-122.4335,America/Chicago
TIY,Regional Airport 7,Davidfurt,TIY,United States,US,34.6842,-107.2077,America/Los_Angeles
AEL,Regional Airport 8,New Joshua,AEL,United States,US,42.1358,-112.6926,America/Chicago
CDS,Regional Airport 9,Ramirezborough,CDS,United States,US,43.2446,-116.5233,America/Los_Angeles
MTJ,Regional Airport 10,New Michellechester,MTJ,United States,US,47.4427,-92.4355,America/Denver
AYD,Regional Airport 11,Lake Brandi,AYD,United States,US,34.4212,-87.7994,America/Denver
TJR,Regional Airport 12,South Jennifer,TJR,United States,US,47.4496,-117.9199,America/Denver
RFW,Regional Airport 13,Lopezborough,RFW,United States,US,42.7771,-123.5028,America/Los_Angeles
XKU,Regional Airport 14,South Tiffanyfurt,XKU,United States,US,31.0477,-110.9436,America/Los_Angeles
XXU,Regional Airport 15,Jarvisburgh,XXU,United States,US,33.1208,-105.5245,America/Denver
XDE,Regional Airport 16,Rodriguezshire,XDE,United States,US,40.6438,-101.1046,America/New_York
GER,Regional Airport 17,Andreamouth,GER,United States,US,34.1998,-98.2931,America/Los_Angeles
HMX,Regional Airport 18,Laurenfort,HMX,United States,US,33.9546,-117.9766,America/Chicago
JLZ,Regional Airport 19,Jenniferstad,JLZ,United States,US,45.3841,-107.3842,America/Chicago
TNB,Regional Airport 20,Jasonville,TNB,United States,US,33.8792,-81.6679,America/Chicago
DDO,Regional Airport 21,West Julia,DDO,United States,US,40.5103,-119.3484,America/New_York
WZT,Regional Airport 22,Larsonview,WZT,United States,US,34.0508,-88.7844,America/Chicago
AFC,Regional Airport 23,New Ashleychester,AFC,United States,US,30.0831,-122.6666,America/Denver
HDA,Regional Airport 24,New Lindaview,HDA,United States,US,45.1542,-86.2071,America/Chicago
QNL,Regional Airport 25,New William,QNL,United States,US,30.5158,-83.7145,America/Phoenix
RJS,Regional Airport 26,South Bruceview,RJS,United States,US,39.1368,-88.6429,America/New_York
SLL,Regional Airport 27,Port Jessica,SLL,United States,US,39.8325,-92.3591,America/New_York
DFH,Regional Airport 28,Haileyshire,DFH,United States,US,41.3506,-103.5473,America/Phoenix
GRS,Regional Airport 29,East Ethanberg,GRS,United States,US,34.7382,-118.0839,America/Chicago
RQW,Regional Airport 30,Hernandezland,RQW,United States,US,33.7519,-82.3187,America/New_York
IAY,Regional Airport 31,Ryanborough,IAY,United States,US,34.3464,-104.6673,America/Los_Angeles
TNY,Regional Airport 32,North Anthony,TNY,United States,US,41.2402,-112.0976,America/Los_Angeles
BDT,Regional Airport 33,New Lauren,BDT,United States,US,41.5975,-85.7651,America/New_York
NEO,Regional Airport 34,Gonzalezshire,NEO,United States,US,42.3251,-84.4428,America/Denver
YOQ,Regional Airport 35,New Ann,YOQ,United States,US,44.3518,-103.7962,America/Denver
SZT,Regional Airport 36,East Nicholaschester,SZT,United States,US,33.8155,-96.4947,America/New_York
LFA,Regional Airport 37,New Luke,LFA,United States,US,32.8413,-84.6415,America/New_York
NWC,Regional Airport 38,Johnsonside,NWC,United States,US,40.4924,-89.6776,America/Chicago
RZY,Regional Airport 39,Lake Brad,RZY,United States,US,33.3183,-109.566,America/Los_Angeles
