Item	Aisle	Qty	Unit_Price_USD	Line_Total_USD	For	Notes
Coors Banquet 12 pack	Beer	1	13.97	13.97	Ashley	Weeknights
Ground beef 80/20 2 lb	Meat	1	8.94	8.94	Both	Chili and burgers
Chicken thighs 5 lb	Meat	1	7.45	7.45	Both	Grilling Saturday
Ribeye steaks 2	Meat	2	9.50	19.00	Both	Chloe weekend treat
Eggs 18 ct	Dairy	1	4.12	4.12	Both	Breakfast burritos
Tortillas flour 20 ct	Bakery	1	2.68	2.68	Both	
Spaghetti 2 lb	Pasta	1	1.84	1.84	Both	
Pasta sauce jar	Pasta	2	1.92	3.84	Both	
Cheddar cheese block	Dairy	1	3.78	3.78	Both	
Apple juice boxes 8 ct	Juice	1	2.96	2.96	Chloe	She asks every visit
Goldfish crackers	Snacks	1	3.24	3.24	Chloe	Same snack two visits running
Bananas bunch	Produce	1	1.55	1.55	Both	
Coffee ground large	Coffee	1	6.88	6.88	Ashley	For weekends only
Naproxen 220mg 100ct	Pharmacy	1	8.47	8.47	Ashley	Knee
Paper towels 6 roll	Household	1	7.94	7.94	Both	
Dog treats small bag	Pet	1	3.12	3.12	Maybe	Thinking about a dog for summer
Total	NA	NA	NA	99.78	NA	Tax not included
