Order_Date	PO_Number	Vendor	Part_Number	Description	Qty	Unit_USD	Total_USD	For_WO	Status
2026-01-15	PO-7781	Johnstone Supply	CAP-45/5-440	45/5 MFD 440V dual run capacitor	4	14.50	58.00	Stock	Received
2026-01-15	PO-7781	Johnstone Supply	IGN-HSI-271	Universal hot surface igniter	2	28.75	57.50	Stock	Received
2026-01-15	PO-7782	Carrier Parts	HC45AE118	1/2 HP ECM blower motor	1	312.40	312.40	SP-44052	Received
2026-01-16	PO-7790	Johnstone Supply	CONT-2P-40	2-pole 40A contactor	3	19.95	59.85	Stock	Received
2026-01-16	PO-7790	Johnstone Supply	TRANS-40VA	40VA 24V transformer	2	12.30	24.60	Stock	Received
2026-01-17	PO-7795	RSD Tucson	ZD-ACT-6	Zone damper actuator 6 in	1	84.00	84.00	SP-44060	Backorder
2026-01-20	PO-7801	Johnstone Supply	R410A-25	R410A refrigerant 25 lb jug	1	168.00	168.00	Stock	Received
2026-01-22	PO-7808	AutoZone Commercial	SCH-CORE-10	Schrader valve core pack of 10	1	6.99	6.99	Stock	Received
2026-02-03	PO-7820	Johnstone Supply	FS-FLAME-3	Universal flame sensor	3	9.40	28.20	Stock	Received
2026-02-11	PO-7835	Carrier Parts	CTRL-BRD-58	Furnace control board 58 series	1	196.00	196.00	SP-44120	Received
