Month	Weekend	Pickup_Date	Pickup_Time	Dropoff_Date	Dropoff_Time	Handoff_Location	Status	Notes
October 2025	First	2025-10-03	5:00 PM	2025-10-05	6:00 PM	Tucson, Amber's	Completed	Chloe wanted Pizza Hut Friday
October 2025	Third	2025-10-17	5:00 PM	2025-10-19	6:00 PM	Tucson, Amber's	Completed	Took Chloe to Parker Canyon Saturday
November 2025	First	2025-11-07	5:00 PM	2025-11-09	6:00 PM	Tucson, Amber's	Completed	Rainy, movie night instead
November 2025	Third	2025-11-21	5:00 PM	2025-11-23	6:00 PM	Tucson, Amber's	Completed	Grandma Linda watched her Saturday AM
December 2025	First	2025-12-05	5:00 PM	2025-12-07	6:00 PM	Tucson, Amber's	Completed	Christmas lights downtown
December 2025	Winter break	2025-12-26	10:00 AM	2026-01-01	6:00 PM	Tucson, Amber's	Completed	Half of winter break, six days
January 2026	Third	2026-01-16	5:00 PM	2026-01-18	6:00 PM	Tucson, Amber's	Completed	Dental was Friday, left late
February 2026	First	2026-02-06	5:00 PM	2026-02-08	6:00 PM	Tucson, Amber's	Completed	Grilled steaks Saturday
February 2026	Third	2026-02-20	5:00 PM	2026-02-22	6:00 PM	Tucson, Amber's	Completed	Chloe lost a tooth here
October 2026	First	2026-10-02	5:00 PM	2026-10-04	6:00 PM	Tucson, Amber's	Upcoming	First weekend back to normal schedule
October 2026	Third	2026-10-16	5:00 PM	2026-10-18	6:00 PM	Tucson, Amber's	Upcoming	Chloe birthday weekend, party Saturday
November 2026	First	2026-11-06	5:00 PM	2026-11-08	6:00 PM	Tucson, Amber's	Upcoming	
