template_id,name,description,shared,owner_name,created_time
tpl-partner,Community Partnership Agreement,Standard partnership template,true,Mary Vasquez,2024-09-01T10:00:00Z
tpl-ext-1,Volunteer Agreement 1,Volunteer Agreement template,true,Mary Vasquez,2024-09-02T10:00:00Z
tpl-ext-2,Field Trip Consent 2,Field Trip Consent template,true,Mary Vasquez,2024-09-03T10:00:00Z
tpl-ext-3,Vendor Contract 3,Vendor Contract template,true,Mary Vasquez,2024-09-04T10:00:00Z
tpl-ext-4,Data Sharing Agreement 4,Data Sharing Agreement template,true,Mary Vasquez,2024-09-05T10:00:00Z
tpl-ext-5,Facility Use Agreement 5,Facility Use Agreement template,true,Mary Vasquez,2024-09-06T10:00:00Z
tpl-ext-6,Photo Release 6,Photo Release template,true,Mary Vasquez,2024-09-07T10:00:00Z
tpl-ext-7,Placement Agreement 7,Placement Agreement template,true,Mary Vasquez,2024-09-08T10:00:00Z
tpl-ext-8,Grant Acceptance 8,Grant Acceptance template,true,Mary Vasquez,2024-09-09T10:00:00Z
tpl-ext-9,Service Contract 9,Service Contract template,true,Mary Vasquez,2024-09-10T10:00:00Z
tpl-ext-10,Community Partnership Agreement 10,Community Partnership Agreement template,true,Mary Vasquez,2024-09-11T10:00:00Z
tpl-ext-11,Volunteer Agreement 11,Volunteer Agreement template,true,Mary Vasquez,2024-09-12T10:00:00Z
tpl-ext-12,Field Trip Consent 12,Field Trip Consent template,true,Mary Vasquez,2024-09-13T10:00:00Z
tpl-ext-13,Vendor Contract 13,Vendor Contract template,true,Mary Vasquez,2024-09-14T10:00:00Z
tpl-ext-14,Data Sharing Agreement 14,Data Sharing Agreement template,true,Mary Vasquez,2024-09-15T10:00:00Z
tpl-ext-15,Facility Use Agreement 15,Facility Use Agreement template,true,Mary Vasquez,2024-09-16T10:00:00Z
tpl-ext-16,Photo Release 16,Photo Release template,true,Mary Vasquez,2024-09-17T10:00:00Z
tpl-ext-17,Placement Agreement 17,Placement Agreement template,true,Mary Vasquez,2024-09-18T10:00:00Z
tpl-ext-18,Grant Acceptance 18,Grant Acceptance template,true,Mary Vasquez,2024-09-19T10:00:00Z
tpl-ext-19,Service Contract 19,Service Contract template,true,Mary Vasquez,2024-09-20T10:00:00Z
tpl-ext-20,Community Partnership Agreement 20,Community Partnership Agreement template,true,Mary Vasquez,2024-09-21T10:00:00Z
tpl-ext-21,Volunteer Agreement 21,Volunteer Agreement template,true,Mary Vasquez,2024-09-22T10:00:00Z
tpl-ext-22,Field Trip Consent 22,Field Trip Consent template,true,Mary Vasquez,2024-09-23T10:00:00Z
tpl-ext-23,Vendor Contract 23,Vendor Contract template,true,Mary Vasquez,2024-09-24T10:00:00Z
tpl-ext-24,Data Sharing Agreement 24,Data Sharing Agreement template,true,Mary Vasquez,2024-09-25T10:00:00Z
tpl-ext-25,Facility Use Agreement 25,Facility Use Agreement template,true,Mary Vasquez,2024-09-26T10:00:00Z
tpl-ext-26,Photo Release 26,Photo Release template,true,Mary Vasquez,2024-09-27T10:00:00Z
tpl-ext-27,Placement Agreement 27,Placement Agreement template,true,Mary Vasquez,2024-09-28T10:00:00Z
tpl-ext-28,Grant Acceptance 28,Grant Acceptance template,true,Mary Vasquez,2024-09-29T10:00:00Z
tpl-ext-29,Service Contract 29,Service Contract template,true,Mary Vasquez,2024-09-30T10:00:00Z
tpl-ext-30,Community Partnership Agreement 30,Community Partnership Agreement template,true,Mary Vasquez,2024-10-01T10:00:00Z
tpl-ext-31,Volunteer Agreement 31,Volunteer Agreement template,true,Mary Vasquez,2024-10-02T10:00:00Z
tpl-ext-32,Field Trip Consent 32,Field Trip Consent template,true,Mary Vasquez,2024-10-03T10:00:00Z
tpl-ext-33,Vendor Contract 33,Vendor Contract template,true,Mary Vasquez,2024-10-04T10:00:00Z
tpl-ext-34,Data Sharing Agreement 34,Data Sharing Agreement template,true,Mary Vasquez,2024-10-05T10:00:00Z
tpl-ext-35,Facility Use Agreement 35,Facility Use Agreement template,true,Mary Vasquez,2024-10-06T10:00:00Z
tpl-ext-36,Photo Release 36,Photo Release template,true,Mary Vasquez,2024-10-07T10:00:00Z
tpl-ext-37,Placement Agreement 37,Placement Agreement template,true,Mary Vasquez,2024-10-08T10:00:00Z
tpl-ext-38,Grant Acceptance 38,Grant Acceptance template,true,Mary Vasquez,2024-10-09T10:00:00Z
tpl-ext-39,Service Contract 39,Service Contract template,true,Mary Vasquez,2024-10-10T10:00:00Z
tpl-ext-40,Community Partnership Agreement 40,Community Partnership Agreement template,true,Mary Vasquez,2024-10-11T10:00:00Z
tpl-ext-41,Volunteer Agreement 41,Volunteer Agreement template,true,Mary Vasquez,2024-10-12T10:00:00Z
tpl-ext-42,Field Trip Consent 42,Field Trip Consent template,true,Mary Vasquez,2024-10-13T10:00:00Z
tpl-ext-43,Vendor Contract 43,Vendor Contract template,true,Mary Vasquez,2024-10-14T10:00:00Z
tpl-ext-44,Data Sharing Agreement 44,Data Sharing Agreement template,true,Mary Vasquez,2024-10-15T10:00:00Z
tpl-ext-45,Facility Use Agreement 45,Facility Use Agreement template,true,Mary Vasquez,2024-10-16T10:00:00Z
tpl-ext-46,Photo Release 46,Photo Release template,true,Mary Vasquez,2024-10-17T10:00:00Z
tpl-ext-47,Placement Agreement 47,Placement Agreement template,true,Mary Vasquez,2024-10-18T10:00:00Z
tpl-ext-48,Grant Acceptance 48,Grant Acceptance template,true,Mary Vasquez,2024-10-19T10:00:00Z
tpl-ext-49,Service Contract 49,Service Contract template,true,Mary Vasquez,2024-10-20T10:00:00Z
tpl-ext-50,Community Partnership Agreement 50,Community Partnership Agreement template,true,Mary Vasquez,2024-10-21T10:00:00Z
tpl-ext-51,Volunteer Agreement 51,Volunteer Agreement template,true,Mary Vasquez,2024-10-22T10:00:00Z
tpl-ext-52,Field Trip Consent 52,Field Trip Consent template,true,Mary Vasquez,2024-10-23T10:00:00Z
tpl-ext-53,Vendor Contract 53,Vendor Contract template,true,Mary Vasquez,2024-10-24T10:00:00Z
tpl-ext-54,Data Sharing Agreement 54,Data Sharing Agreement template,true,Mary Vasquez,2024-10-25T10:00:00Z
tpl-ext-55,Facility Use Agreement 55,Facility Use Agreement template,true,Mary Vasquez,2024-10-26T10:00:00Z
tpl-ext-56,Photo Release 56,Photo Release template,true,Mary Vasquez,2024-10-27T10:00:00Z
tpl-ext-57,Placement Agreement 57,Placement Agreement template,true,Mary Vasquez,2024-10-28T10:00:00Z
tpl-ext-58,Grant Acceptance 58,Grant Acceptance template,true,Mary Vasquez,2024-10-29T10:00:00Z
tpl-ext-59,Service Contract 59,Service Contract template,true,Mary Vasquez,2024-10-30T10:00:00Z
tpl-ext-60,Community Partnership Agreement 60,Community Partnership Agreement template,true,Mary Vasquez,2024-10-31T10:00:00Z
tpl-ext-61,Volunteer Agreement 61,Volunteer Agreement template,true,Mary Vasquez,2024-11-01T10:00:00Z
tpl-ext-62,Field Trip Consent 62,Field Trip Consent template,true,Mary Vasquez,2024-11-02T10:00:00Z
tpl-ext-63,Vendor Contract 63,Vendor Contract template,true,Mary Vasquez,2024-11-03T10:00:00Z
