service_type,service_name,origin_zip,dest_zip,weight_lb,currency,net_charge,transit_days,delivery_day
FEDEX_GROUND,FedEx Ground,66061,97756,18.4,USD,47.85,5,Tuesday
FEDEX_2_DAY,FedEx 2Day,66061,97756,18.4,USD,142.3,2,Saturday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97756,18.4,USD,284.6,1,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97754,12.5,USD,81.9,3,Saturday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97760,9.1,USD,156.35,1,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97701,31.2,USD,159.07,3,Tuesday
FEDEX_GROUND,FedEx Ground,66061,97760,31.6,USD,78.19,5,Wednesday
FEDEX_2_DAY,FedEx 2Day,66061,97741,25.2,USD,199.83,2,Thursday
FEDEX_2_DAY,FedEx 2Day,95605,97741,20.7,USD,168.55,2,Saturday
FEDEX_2_DAY,FedEx 2Day,95605,97760,20.1,USD,162.94,2,Saturday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97754,27.9,USD,140.96,3,Saturday
FEDEX_2_DAY,FedEx 2Day,95605,97759,31.7,USD,248.78,2,Friday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97759,22.2,USD,350.32,1,Thursday
FEDEX_2_DAY,FedEx 2Day,66061,97759,31.3,USD,247.51,2,Wednesday
FEDEX_2_DAY,FedEx 2Day,95605,97759,28.5,USD,228.92,2,Thursday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97739,30.6,USD,75.2,5,Friday
FEDEX_2_DAY,FedEx 2Day,95605,97760,18.2,USD,152.09,2,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97739,18.4,USD,103.28,3,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97701,13.9,USD,83.55,3,Thursday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97759,19.6,USD,313.81,1,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97739,7.5,USD,57.58,3,Saturday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97739,17.0,USD,275.77,1,Wednesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97739,24.4,USD,68.17,5,Monday
FEDEX_GROUND,FedEx Ground,66061,97756,27.4,USD,69.07,5,Saturday
FEDEX_GROUND,FedEx Ground,95605,97760,22.1,USD,63.68,5,Thursday
FEDEX_GROUND,FedEx Ground,95605,97701,21.7,USD,60.3,5,Wednesday
FEDEX_GROUND,FedEx Ground,95605,97760,25.1,USD,64.3,5,Monday
FEDEX_2_DAY,FedEx 2Day,95605,97760,16.4,USD,143.25,2,Saturday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97756,27.1,USD,66.09,5,Saturday
FEDEX_2_DAY,FedEx 2Day,95605,97756,13.4,USD,123.27,2,Saturday
FEDEX_2_DAY,FedEx 2Day,66061,97756,19.5,USD,161.9,2,Saturday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97754,21.4,USD,61.4,5,Monday
FEDEX_2_DAY,FedEx 2Day,66061,97701,16.0,USD,137.27,2,Friday
FEDEX_GROUND,FedEx Ground,66061,97754,7.5,USD,33.94,5,Monday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97741,31.7,USD,80.54,5,Tuesday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97701,9.4,USD,160.89,1,Tuesday
FEDEX_2_DAY,FedEx 2Day,95605,97741,29.1,USD,229.63,2,Monday
FEDEX_GROUND,FedEx Ground,95605,97756,10.5,USD,40.75,5,Saturday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97760,31.2,USD,157.04,3,Saturday
FEDEX_2_DAY,FedEx 2Day,95605,97759,30.4,USD,242.29,2,Saturday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97701,29.0,USD,146.52,3,Monday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97741,17.9,USD,97.21,3,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97759,30.1,USD,155.93,3,Thursday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97759,12.7,USD,214.09,1,Monday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97741,30.5,USD,77.09,5,Tuesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97701,14.4,USD,46.17,5,Monday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97759,16.7,USD,270.65,1,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97741,17.6,USD,97.02,3,Thursday
FEDEX_2_DAY,FedEx 2Day,95605,97741,13.1,USD,118.78,2,Monday
FEDEX_2_DAY,FedEx 2Day,66061,97756,10.6,USD,97.85,2,Monday
FEDEX_GROUND,FedEx Ground,95605,97759,9.5,USD,44.19,5,Thursday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97754,16.9,USD,271.53,1,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97759,21.8,USD,119.67,3,Monday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97756,27.0,USD,135.95,3,Monday
FEDEX_GROUND,FedEx Ground,95605,97759,8.8,USD,40.61,5,Tuesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97759,12.9,USD,42.69,5,Friday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97756,19.0,USD,300.08,1,Monday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97756,27.1,USD,72.54,5,Wednesday
FEDEX_GROUND,FedEx Ground,66061,97741,18.0,USD,53.42,5,Friday
FEDEX_2_DAY,FedEx 2Day,66061,97760,26.5,USD,213.28,2,Monday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97760,10.6,USD,180.67,1,Thursday
FEDEX_2_DAY,FedEx 2Day,95605,97701,23.1,USD,189.55,2,Friday
FEDEX_GROUND,FedEx Ground,66061,97701,14.9,USD,51.78,5,Thursday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97754,14.9,USD,50.18,5,Thursday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97756,9.3,USD,161.38,1,Thursday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97760,24.0,USD,64.3,5,Wednesday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97701,12.6,USD,206.9,1,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97701,17.8,USD,102.59,3,Saturday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97739,15.1,USD,89.09,3,Saturday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97741,15.0,USD,241.35,1,Wednesday
FEDEX_GROUND,FedEx Ground,95605,97756,16.8,USD,53.37,5,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97739,22.6,USD,119.4,3,Thursday
FEDEX_2_DAY,FedEx 2Day,66061,97701,11.7,USD,109.72,2,Saturday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97739,30.5,USD,72.86,5,Thursday
FEDEX_2_DAY,FedEx 2Day,95605,97754,14.7,USD,124.91,2,Monday
FEDEX_GROUND,FedEx Ground,66061,97739,30.2,USD,75.65,5,Tuesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97760,16.2,USD,52.19,5,Monday
FEDEX_GROUND,FedEx Ground,66061,97760,29.4,USD,73.4,5,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97754,11.0,USD,74.22,3,Friday
FEDEX_GROUND,FedEx Ground,66061,97701,23.3,USD,62.06,5,Tuesday
FEDEX_GROUND,FedEx Ground,66061,97754,10.9,USD,43.77,5,Wednesday
FEDEX_GROUND,FedEx Ground,95605,97754,9.5,USD,44.05,5,Thursday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97741,6.5,USD,37.9,5,Friday
FEDEX_GROUND,FedEx Ground,66061,97760,7.9,USD,40.01,5,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97759,18.1,USD,101.82,3,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97760,10.7,USD,71.61,3,Saturday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97759,12.6,USD,42.17,5,Friday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97759,26.7,USD,67.24,5,Friday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97756,9.2,USD,66.04,3,Monday
FEDEX_GROUND,FedEx Ground,66061,97759,11.3,USD,45.4,5,Thursday
FEDEX_GROUND,FedEx Ground,66061,97754,18.9,USD,51.81,5,Wednesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97759,29.7,USD,75.7,5,Friday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97701,20.5,USD,326.27,1,Tuesday
FEDEX_GROUND,FedEx Ground,95605,97701,17.7,USD,52.22,5,Friday
FEDEX_GROUND,FedEx Ground,95605,97741,25.1,USD,61.09,5,Wednesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97701,15.1,USD,86.66,3,Tuesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97760,8.9,USD,37.48,5,Wednesday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97756,11.8,USD,200.84,1,Tuesday
FEDEX_2_DAY,FedEx 2Day,95605,97739,21.3,USD,176.91,2,Wednesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97754,31.4,USD,74.19,5,Monday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97760,12.1,USD,204.2,1,Monday
FEDEX_GROUND,FedEx Ground,95605,97760,19.6,USD,57.35,5,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97754,31.6,USD,159.24,3,Monday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97759,10.4,USD,73.51,3,Friday
FEDEX_GROUND,FedEx Ground,95605,97756,22.2,USD,57.42,5,Wednesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,95605,97756,27.0,USD,67.47,5,Tuesday
FEDEX_2_DAY,FedEx 2Day,95605,97741,28.3,USD,224.08,2,Wednesday
FEDEX_OVERNIGHT,FedEx Priority Overnight,95605,97759,29.7,USD,452.94,1,Tuesday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97759,9.8,USD,68.63,3,Monday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97760,29.3,USD,149.85,3,Wednesday
FEDEX_OVERNIGHT,FedEx Priority Overnight,66061,97756,25.8,USD,400.93,1,Tuesday
FEDEX_GROUND,FedEx Ground,66061,97754,13.4,USD,48.81,5,Monday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97739,17.9,USD,104.65,3,Saturday
FEDEX_2_DAY,FedEx 2Day,95605,97739,17.1,USD,147.81,2,Tuesday
FEDEX_2_DAY,FedEx 2Day,95605,97759,9.1,USD,87.94,2,Saturday
FEDEX_GROUND,FedEx Ground,95605,97739,30.6,USD,76.91,5,Tuesday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97701,28.0,USD,67.79,5,Wednesday
FEDEX_GROUND,FedEx Ground,95605,97760,12.0,USD,40.9,5,Tuesday
FEDEX_GROUND,FedEx Ground,95605,97756,8.0,USD,34.98,5,Thursday
FEDEX_HOME_DELIVERY,FedEx Home Delivery,66061,97701,26.0,USD,68.07,5,Saturday
FEDEX_GROUND,FedEx Ground,95605,97701,16.8,USD,54.31,5,Thursday
FEDEX_GROUND,FedEx Ground,95605,97741,13.5,USD,50.75,5,Thursday
FEDEX_2_DAY,FedEx 2Day,66061,97754,7.1,USD,73.24,2,Monday
FEDEX_GROUND,FedEx Ground,95605,97701,19.1,USD,54.89,5,Monday
FEDEX_GROUND,FedEx Ground,95605,97739,13.4,USD,43.63,5,Monday
FEDEX_2_DAY,FedEx 2Day,95605,97701,26.7,USD,216.62,2,Thursday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,66061,97739,27.5,USD,137.7,3,Wednesday
FEDEX_GROUND,FedEx Ground,95605,97741,11.6,USD,47.66,5,Wednesday
FEDEX_GROUND,FedEx Ground,66061,97756,13.4,USD,44.46,5,Thursday
FEDEX_2_DAY,FedEx 2Day,95605,97754,29.8,USD,238.11,2,Saturday
FEDEX_EXPRESS_SAVER,FedEx Express Saver,95605,97701,27.5,USD,143.12,3,Monday
