tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
FX-HND-2026-Q4,AP,Awaiting pickup,FDXG,FedEx Ground,2026-10-31,2026-11-02,Shipment data updated - pickup rescheduled,"Olathe, KS",2026-10-22T23:08:00-07:00
FX-WAT-2026-Q3,DL,Delivered,FDXG,FedEx Ground,2026-08-15,2026-08-20,Delivered - signed for by KRAUSE,"Redmond, OR",2026-08-20T15:22:00Z
FX-KRA-2026-Q3,DL,Delivered,FDXG,FedEx Ground,2026-08-22,2026-08-27,Delivered - left at front desk,"Redmond, OR",2026-08-27T16:08:00Z
FX-BLK-2026-Q4,DL,Delivered,FDXG,FedEx Ground,2026-10-19,2026-10-24,Delivered - dock,"Sisters, OR",2026-10-24T10:12:00Z
FX-MER-2026-Q4,IT,In transit,FDXG,FedEx Ground,2026-10-23,2026-10-28,Departed FedEx hub,"Sacramento, CA",2026-10-23T22:10:00Z
FX-DEL-2026-Q4,LP,Label created,FDXG,FedEx Ground,2026-10-25,2026-10-30,Shipment information sent to FedEx,"Olathe, KS",2026-10-25T11:00:00Z
FX-HOL-2026-Q4,DL,Delivered,FDXG,FedEx Ground,2026-10-18,2026-10-23,Delivered - signed for by HOLBROOK,"Terrebonne, OR",2026-10-23T14:45:00Z
FX-SAN-2026-Q4,LP,Label created,FDXG,FedEx Ground,2026-10-26,2026-10-31,Shipment information sent to FedEx,"Olathe, KS",2026-10-26T09:15:00Z
FX-CLINIC-LEPTO,DL,Delivered,FDXG,FedEx Ground,2026-10-10,2026-10-15,Delivered - dock,"Redmond, OR",2026-10-15T13:02:00Z
FX-DEL-2026-Q3,DL,Delivered,FDXG,FedEx Ground,2026-12-09,2026-12-14,Delivered - dock,"Terrebonne, OR",2026-12-14T17:14:00Z
FX-DMR-2025-Q4,IT,In transit,FDXG,FedEx Ground,2026-10-30,2026-11-04,On FedEx vehicle for delivery,"La Pine, OR",2026-11-01T09:03:00Z
FX-PMR-2026-Q2,DL,Delivered,FDXG,FedEx Ground,2026-07-27,2026-08-01,Delivered - signed for by LA PINE,"La Pine, OR",2026-08-01T10:27:00Z
FX-ORT-2025-Q1,IT,In transit,FDXG,FedEx Ground,2026-11-17,2026-11-22,Arrived at FedEx hub,"Olathe, KS",2026-11-19T21:31:00Z
FX-TET-2025-Q2,LP,Label created,FDXG,FedEx Ground,2027-02-01,2027-02-06,Shipment information sent to FedEx,"Olathe, KS",2027-02-01T09:42:00Z
