zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
90000001,"12 Acres + Improvements, FM 1438, Donley County TX | improvements: Three-stall barn, round pen, two-bedroom home, two stock tanks | Description mentions 'gentle pony has been on this place for years', no other info.",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,522720,1990,SingleFamily,285000,285000,0,FOR_SALE,47,agent-001
90000002,"Acreage off CR 18, Hall County TX | improvements: Two-stall lean-to, no home, mineral set up for cattle | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,348480,1990,SingleFamily,178000,178000,0,FOR_SALE,0,agent-001
90000003,"Small Place, Wheeler County TX (FM 1046) | improvements: Open ground, one shed, perimeter fenced | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,226512,1990,SingleFamily,96500,96500,0,FOR_SALE,12,agent-001
90000004,"80 Acres + Improvements, Childress County TX | improvements: Four-stall barn, lighted arena, three-bedroom modular | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,3484800,1990,SingleFamily,585263,585263,0,FOR_SALE,196,agent-001
90000005,"40 Acres + Improvements, Gray County TX | improvements: Shop + shed, home, hay barn | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,1742400,1990,SingleFamily,697773,697773,0,FOR_SALE,175,agent-001
90000006,"2 Acres + Improvements, Wheeler County TX | improvements: Four-stall barn, lighted arena, three-bedroom modular | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,108900,1990,SingleFamily,139587,139587,0,FOR_SALE,26,agent-001
90000007,"40 Acres + Improvements, Carson County TX | improvements: Shop + shed, home, hay barn | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,1742400,1990,SingleFamily,538063,538063,0,FOR_SALE,88,agent-001
90000008,"80 Acres + Improvements, Armstrong County TX | improvements: Older home, working pens, stock tanks | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,3484800,1990,SingleFamily,952516,952516,0,FOR_SALE,98,agent-001
90000009,"5 Acres + Improvements, Wheeler County TX | improvements: Two-stall lean-to, no home, mineral set up for cattle | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,226512,1990,SingleFamily,237642,237642,0,FOR_SALE,8,agent-001
90000010,"25 Acres + Improvements, Wheeler County TX | improvements: Open ground, one shed, perimeter fenced | None",Amarillo,TX,79011,35.22,-101.83,3,2.0,1800,1089000,1990,SingleFamily,464991,464991,0,FOR_SALE,86,agent-001
