source_id	author	year	title	type	status
S01	Cabannes, Yves	2015	Participatory budgeting, a significant contribution to participatory democracy	journal article	cited
S02	Wampler, Brian	2012	Participatory budgeting, core principles and key impacts	journal article	cited
S03	Fung, Archon	2015	Putting the public back into governance	journal article	cited
S04	Gilman, Hollie Russon	2016	Democracy reinvented, participatory budgeting in America	book	reading
S05	City of Syracuse	2023	Adopted budget and capital plan	government document	cited
S06	Pew Charitable Trusts	2021	How cities engage residents in spending decisions	report	cited
S07	Touchton, Michael	2019	Inequality and participatory budgeting outcomes	journal article	to review
S08	Bryan, Frank	2004	Real democracy, the New England town meeting	book	background
S09	GovLab NYU	2020	Crowdlaw and local participation toolkits	report	reading
S10	Baiocchi, Gianpaolo	2014	Participatory institutions and the politics of spending	journal article	cited
