product_id,retailer_id,name,brand,category,unit_size,price,in_stock,sale_price,image_url
p_wf_001,r_wholefoods,Organic bananas,365 Whole Foods,produce,2 lb,1.98,True,,https://cdn.instacart.com/products/p_wf_001.jpg
p_wf_002,r_wholefoods,Organic gala apples,365 Whole Foods,produce,2 lb,4.99,True,,https://cdn.instacart.com/products/p_wf_002.jpg
p_wf_003,r_wholefoods,Baby spinach organic,Earthbound Farm,produce,5 oz,4.49,True,,https://cdn.instacart.com/products/p_wf_003.jpg
p_wf_004,r_wholefoods,Organic broccoli crowns,Whole Foods,produce,lb,2.99,True,,https://cdn.instacart.com/products/p_wf_004.jpg
p_wf_005,r_wholefoods,Bosc pears,Whole Foods,produce,lb,1.99,True,,https://cdn.instacart.com/products/p_wf_005.jpg
p_wf_006,r_wholefoods,Whole rotisserie chicken,Whole Foods,meat,2 lb,13.99,True,,https://cdn.instacart.com/products/p_wf_006.jpg
p_wf_007,r_wholefoods,Wild sockeye salmon fillet,Whole Foods,seafood,lb,23.99,True,,https://cdn.instacart.com/products/p_wf_007.jpg
p_wf_008,r_wholefoods,Ground beef 85/15,365 Whole Foods,meat,lb,7.99,True,,https://cdn.instacart.com/products/p_wf_008.jpg
p_wf_009,r_wholefoods,Bone-in short ribs,Whole Foods,meat,2 lb,22.99,True,,https://cdn.instacart.com/products/p_wf_009.jpg
p_wf_010,r_wholefoods,Cage-free eggs XL,Vital Farms,dairy,12 count,7.99,True,,https://cdn.instacart.com/products/p_wf_010.jpg
p_wf_011,r_wholefoods,Whole milk grass-fed,Organic Valley,dairy,64 oz,6.49,True,,https://cdn.instacart.com/products/p_wf_011.jpg
p_wf_012,r_wholefoods,Butter salted,Kerrygold,dairy,8 oz,4.99,True,,https://cdn.instacart.com/products/p_wf_012.jpg
p_wf_013,r_wholefoods,Sharp cheddar,Cabot,dairy,8 oz,5.49,True,,https://cdn.instacart.com/products/p_wf_013.jpg
p_wf_014,r_wholefoods,Almond butter,MaraNatha,pantry,16 oz,9.99,True,,https://cdn.instacart.com/products/p_wf_014.jpg
p_wf_015,r_wholefoods,Sourdough bread,Whole Foods Bakery,bakery,24 oz,4.49,True,,https://cdn.instacart.com/products/p_wf_015.jpg
p_wf_016,r_wholefoods,Organic long grain rice,365 Whole Foods,pantry,5 lb,8.99,True,,https://cdn.instacart.com/products/p_wf_016.jpg
p_wf_017,r_wholefoods,Extra virgin olive oil,California Olive Ranch,pantry,500 ml,13.99,True,,https://cdn.instacart.com/products/p_wf_017.jpg
p_wf_018,r_wholefoods,Sea salt,Diamond Crystal,pantry,3 lb,6.49,True,,https://cdn.instacart.com/products/p_wf_018.jpg
p_wf_019,r_wholefoods,Butterball turkey 14-16 lb frozen,Butterball,meat,15 lb,34.99,True,29.99,https://cdn.instacart.com/products/p_wf_019.jpg
p_wf_020,r_wholefoods,Cranberry sauce,Ocean Spray,pantry,14 oz,2.99,True,,https://cdn.instacart.com/products/p_wf_020.jpg
p_wf_021,r_wholefoods,Sweet potatoes,Whole Foods,produce,lb,1.79,True,,https://cdn.instacart.com/products/p_wf_021.jpg
p_wf_022,r_wholefoods,Yellow onions,Whole Foods,produce,3 lb,3.99,True,,https://cdn.instacart.com/products/p_wf_022.jpg
p_wf_023,r_wholefoods,Whole Foods brand chicken broth,365 Whole Foods,pantry,32 oz,2.99,True,,https://cdn.instacart.com/products/p_wf_023.jpg
p_wf_024,r_wholefoods,Fresh sage,Whole Foods,produce,0.75 oz,3.49,True,,https://cdn.instacart.com/products/p_wf_024.jpg
