place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
place_original,Mykonos Taverna,"721 Dodecanese Blvd, Tarpon Springs, FL 34689",28.1461,-82.7568,4.7,2847,restaurant|food,OPERATIONAL,2
place_alt19,Mykonos Taverna Alt 19,"1850 US-19 Alt, Tarpon Springs, FL 34689",28.1522,-82.7634,4.5,1234,restaurant|food,OPERATIONAL,2
place_0000,Business 0,"706 Main St, Tarpon Springs",28.1794,-82.73,3.9,3491,store,OPERATIONAL,3
place_0001,Business 1,"396 Main St, Tarpon Springs",28.1276,-82.7334,4.5,2591,restaurant,OPERATIONAL,3
place_0002,Business 2,"635 Main St, Tarpon Springs",28.1117,-82.7661,3.9,2392,store,OPERATIONAL,3
place_0003,Business 3,"590 Main St, Tarpon Springs",28.1493,-82.805,3.5,3028,restaurant,OPERATIONAL,1
place_0004,Business 4,"730 Main St, Tarpon Springs",28.1538,-82.793,4.4,1799,service,OPERATIONAL,3
place_0005,Business 5,"439 Main St, Tarpon Springs",28.1418,-82.7561,4.2,4958,service,OPERATIONAL,3
place_0006,Business 6,"972 Main St, Tarpon Springs",28.1159,-82.7398,4.5,2846,store,OPERATIONAL,1
place_0007,Business 7,"391 Main St, Tarpon Springs",28.1486,-82.7852,3.7,2613,restaurant,OPERATIONAL,3
place_0008,Business 8,"436 Main St, Tarpon Springs",28.1625,-82.7853,4.3,4513,restaurant,OPERATIONAL,1
place_0009,Business 9,"912 Main St, Tarpon Springs",28.1537,-82.7462,3.4,3376,store,OPERATIONAL,2
place_0010,Business 10,"442 Main St, Tarpon Springs",28.1177,-82.7213,4.5,2530,restaurant,OPERATIONAL,3
place_0011,Business 11,"617 Main St, Tarpon Springs",28.1009,-82.777,3.7,275,restaurant,OPERATIONAL,2
place_0012,Business 12,"557 Main St, Tarpon Springs",28.1443,-82.7408,3.5,4504,store,OPERATIONAL,1
place_0013,Business 13,"866 Main St, Tarpon Springs",28.1224,-82.7205,4.7,2119,restaurant,OPERATIONAL,1
place_0014,Business 14,"718 Main St, Tarpon Springs",28.1467,-82.7945,3.6,1529,restaurant,OPERATIONAL,2
place_0015,Business 15,"627 Main St, Tarpon Springs",28.1113,-82.7407,3.9,1994,service,OPERATIONAL,3
