query,formatted_address,lat,lng,place_id,location_type
Mykonos Taverna Tarpon Springs,"721 Dodecanese Blvd, Tarpon Springs, FL 34689",28.1461,-82.7568,place_original,ROOFTOP
Mykonos Taverna Alt 19,"1850 US-19 Alt, Tarpon Springs, FL 34689",28.1522,-82.7634,place_alt19,ROOFTOP
Palm Harbor rental property,"123 Riverside Dr, Palm Harbor, FL 34683",28.0786,-82.7640,place_p1,ROOFTOP
Tarpon Springs rental 3BR,"456 Pinellas Ave, Tarpon Springs, FL 34689",28.1500,-82.7500,place_p2,ROOFTOP
Tarpon Springs duplex,"789 Spring Blvd, Tarpon Springs, FL 34689",28.1480,-82.7520,place_p3,ROOFTOP
query 0,"192 Main St, Tarpon Springs, FL",28.1888,-82.7904,place_0000,ROOFTOP
query 1,"857 Main St, Tarpon Springs, FL",28.1203,-82.802,place_0001,ROOFTOP
query 2,"288 Main St, Tarpon Springs, FL",28.1202,-82.7748,place_0002,ROOFTOP
query 3,"839 Main St, Tarpon Springs, FL",28.1822,-82.7233,place_0003,ROOFTOP
query 4,"583 Main St, Tarpon Springs, FL",28.1441,-82.7712,place_0004,ROOFTOP
query 5,"515 Main St, Tarpon Springs, FL",28.1218,-82.7148,place_0005,ROOFTOP
query 6,"647 Main St, Tarpon Springs, FL",28.1673,-82.8059,place_0006,ROOFTOP
query 7,"363 Main St, Tarpon Springs, FL",28.0941,-82.7869,place_0007,ROOFTOP
query 8,"822 Main St, Tarpon Springs, FL",28.0915,-82.7635,place_0008,ROOFTOP
query 9,"329 Main St, Tarpon Springs, FL",28.0952,-82.7868,place_0009,ROOFTOP
query 10,"614 Main St, Tarpon Springs, FL",28.1544,-82.7672,place_0010,ROOFTOP
query 11,"332 Main St, Tarpon Springs, FL",28.1665,-82.769,place_0011,ROOFTOP
query 12,"412 Main St, Tarpon Springs, FL",28.123,-82.8092,place_0012,ROOFTOP
query 13,"945 Main St, Tarpon Springs, FL",28.1834,-82.7789,place_0013,ROOFTOP
query 14,"470 Main St, Tarpon Springs, FL",28.1519,-82.786,place_0014,ROOFTOP
query 15,"279 Main St, Tarpon Springs, FL",28.1742,-82.7879,place_0015,ROOFTOP
query 16,"667 Main St, Tarpon Springs, FL",28.1062,-82.7891,place_0016,ROOFTOP
query 17,"751 Main St, Tarpon Springs, FL",28.103,-82.7402,place_0017,ROOFTOP
query 18,"525 Main St, Tarpon Springs, FL",28.1726,-82.7514,place_0018,ROOFTOP
query 19,"858 Main St, Tarpon Springs, FL",28.1007,-82.7282,place_0019,ROOFTOP
query 20,"180 Main St, Tarpon Springs, FL",28.1154,-82.7284,place_0020,ROOFTOP
query 21,"815 Main St, Tarpon Springs, FL",28.1161,-82.7786,place_0021,ROOFTOP
query 22,"228 Main St, Tarpon Springs, FL",28.0984,-82.7686,place_0022,ROOFTOP
query 23,"562 Main St, Tarpon Springs, FL",28.1397,-82.8031,place_0023,ROOFTOP
query 24,"368 Main St, Tarpon Springs, FL",28.1449,-82.7975,place_0024,ROOFTOP
query 25,"329 Main St, Tarpon Springs, FL",28.1292,-82.7677,place_0025,ROOFTOP
query 26,"704 Main St, Tarpon Springs, FL",28.1074,-82.7823,place_0026,ROOFTOP
query 27,"343 Main St, Tarpon Springs, FL",28.1699,-82.7373,place_0027,ROOFTOP
query 28,"463 Main St, Tarpon Springs, FL",28.1733,-82.7777,place_0028,ROOFTOP
query 29,"461 Main St, Tarpon Springs, FL",28.1462,-82.746,place_0029,ROOFTOP
query 30,"136 Main St, Tarpon Springs, FL",28.1255,-82.7432,place_0030,ROOFTOP
query 31,"600 Main St, Tarpon Springs, FL",28.1227,-82.7569,place_0031,ROOFTOP
query 32,"641 Main St, Tarpon Springs, FL",28.1306,-82.7454,place_0032,ROOFTOP
query 33,"313 Main St, Tarpon Springs, FL",28.1559,-82.7241,place_0033,ROOFTOP
query 34,"288 Main St, Tarpon Springs, FL",28.1441,-82.7419,place_0034,ROOFTOP
query 35,"815 Main St, Tarpon Springs, FL",28.1246,-82.7519,place_0035,ROOFTOP
query 36,"600 Main St, Tarpon Springs, FL",28.091,-82.7115,place_0036,ROOFTOP
query 37,"671 Main St, Tarpon Springs, FL",28.0998,-82.7595,place_0037,ROOFTOP
query 38,"286 Main St, Tarpon Springs, FL",28.138,-82.7458,place_0038,ROOFTOP
query 39,"522 Main St, Tarpon Springs, FL",28.1851,-82.7677,place_0039,ROOFTOP
query 40,"388 Main St, Tarpon Springs, FL",28.1774,-82.7894,place_0040,ROOFTOP
query 41,"626 Main St, Tarpon Springs, FL",28.0928,-82.7475,place_0041,ROOFTOP
query 42,"581 Main St, Tarpon Springs, FL",28.1708,-82.7624,place_0042,ROOFTOP
query 43,"888 Main St, Tarpon Springs, FL",28.1105,-82.7675,place_0043,ROOFTOP
query 44,"471 Main St, Tarpon Springs, FL",28.1338,-82.8007,place_0044,ROOFTOP
query 45,"463 Main St, Tarpon Springs, FL",28.1327,-82.7706,place_0045,ROOFTOP
query 46,"988 Main St, Tarpon Springs, FL",28.1725,-82.8024,place_0046,ROOFTOP
query 47,"958 Main St, Tarpon Springs, FL",28.165,-82.7665,place_0047,ROOFTOP
query 48,"125 Main St, Tarpon Springs, FL",28.0991,-82.7564,place_0048,ROOFTOP
query 49,"156 Main St, Tarpon Springs, FL",28.1555,-82.728,place_0049,ROOFTOP
query 50,"376 Main St, Tarpon Springs, FL",28.1642,-82.7398,place_0050,ROOFTOP
query 51,"149 Main St, Tarpon Springs, FL",28.1759,-82.7101,place_0051,ROOFTOP
query 52,"667 Main St, Tarpon Springs, FL",28.097,-82.756,place_0052,ROOFTOP
query 53,"347 Main St, Tarpon Springs, FL",28.1619,-82.7595,place_0053,ROOFTOP
query 54,"183 Main St, Tarpon Springs, FL",28.0937,-82.7671,place_0054,ROOFTOP
query 55,"937 Main St, Tarpon Springs, FL",28.0914,-82.7691,place_0055,ROOFTOP
query 56,"903 Main St, Tarpon Springs, FL",28.1615,-82.784,place_0056,ROOFTOP
query 57,"239 Main St, Tarpon Springs, FL",28.175,-82.7349,place_0057,ROOFTOP
query 58,"816 Main St, Tarpon Springs, FL",28.1186,-82.7584,place_0058,ROOFTOP
query 59,"612 Main St, Tarpon Springs, FL",28.155,-82.7558,place_0059,ROOFTOP
query 60,"164 Main St, Tarpon Springs, FL",28.1297,-82.7549,place_0060,ROOFTOP
query 61,"425 Main St, Tarpon Springs, FL",28.1864,-82.7583,place_0061,ROOFTOP
query 62,"715 Main St, Tarpon Springs, FL",28.1006,-82.7503,place_0062,ROOFTOP
query 63,"749 Main St, Tarpon Springs, FL",28.1721,-82.7401,place_0063,ROOFTOP
query 64,"173 Main St, Tarpon Springs, FL",28.1134,-82.7927,place_0064,ROOFTOP
query 65,"766 Main St, Tarpon Springs, FL",28.189,-82.8007,place_0065,ROOFTOP
query 66,"827 Main St, Tarpon Springs, FL",28.1679,-82.7846,place_0066,ROOFTOP
query 67,"181 Main St, Tarpon Springs, FL",28.189,-82.7718,place_0067,ROOFTOP
query 68,"911 Main St, Tarpon Springs, FL",28.1448,-82.7294,place_0068,ROOFTOP
query 69,"505 Main St, Tarpon Springs, FL",28.0934,-82.7298,place_0069,ROOFTOP
query 70,"861 Main St, Tarpon Springs, FL",28.1014,-82.8038,place_0070,ROOFTOP
query 71,"677 Main St, Tarpon Springs, FL",28.1507,-82.7515,place_0071,ROOFTOP
query 72,"686 Main St, Tarpon Springs, FL",28.1004,-82.7797,place_0072,ROOFTOP
query 73,"936 Main St, Tarpon Springs, FL",28.1637,-82.7886,place_0073,ROOFTOP
query 74,"979 Main St, Tarpon Springs, FL",28.1853,-82.7705,place_0074,ROOFTOP
query 75,"128 Main St, Tarpon Springs, FL",28.1757,-82.7959,place_0075,ROOFTOP
query 76,"444 Main St, Tarpon Springs, FL",28.1383,-82.7752,place_0076,ROOFTOP
query 77,"131 Main St, Tarpon Springs, FL",28.1669,-82.7125,place_0077,ROOFTOP
query 78,"841 Main St, Tarpon Springs, FL",28.1372,-82.7571,place_0078,ROOFTOP
query 79,"441 Main St, Tarpon Springs, FL",28.1827,-82.8002,place_0079,ROOFTOP
query 80,"148 Main St, Tarpon Springs, FL",28.1466,-82.7487,place_0080,ROOFTOP
query 81,"432 Main St, Tarpon Springs, FL",28.1558,-82.7644,place_0081,ROOFTOP
query 82,"373 Main St, Tarpon Springs, FL",28.1487,-82.7836,place_0082,ROOFTOP
query 83,"589 Main St, Tarpon Springs, FL",28.1886,-82.744,place_0083,ROOFTOP
query 84,"975 Main St, Tarpon Springs, FL",28.1671,-82.7986,place_0084,ROOFTOP
query 85,"730 Main St, Tarpon Springs, FL",28.0996,-82.7773,place_0085,ROOFTOP
query 86,"559 Main St, Tarpon Springs, FL",28.1282,-82.7545,place_0086,ROOFTOP
query 87,"275 Main St, Tarpon Springs, FL",28.153,-82.7992,place_0087,ROOFTOP
query 88,"916 Main St, Tarpon Springs, FL",28.1706,-82.7844,place_0088,ROOFTOP
query 89,"961 Main St, Tarpon Springs, FL",28.1835,-82.7319,place_0089,ROOFTOP
query 90,"630 Main St, Tarpon Springs, FL",28.113,-82.8082,place_0090,ROOFTOP
query 91,"771 Main St, Tarpon Springs, FL",28.1274,-82.7692,place_0091,ROOFTOP
query 92,"854 Main St, Tarpon Springs, FL",28.1372,-82.7772,place_0092,ROOFTOP
