sponsor_name,q4_2026_closed_won_crm,q4_2026_settled_processor,q4_2026_realized_primary_ledger,q4_2026_realized_secondary_ledger,delta_crm_vs_processor,open_receivable,renewal_status,trusted_revenue_source,set_aside_source,set_aside_reason,do_not_contact_flag,notes
Elastic Security,4500.00,4500.00,4500.00,4500.00,0.00,0.00,renew,stripe,hubspot,ledgers-agree,false,renewal-window-mar-2027
Sumo Logic,3000.00,3000.00,3000.00,3000.00,0.00,0.00,renew,stripe,hubspot,ledgers-agree,false,renewal-window-apr-2027
Detectify,2500.00,2500.00,2500.00,2500.00,0.00,0.00,up-for-renewal,stripe,hubspot,ledgers-agree,false,q1-2027-renewal
Corelight,3500.00,2800.00,2800.00,3500.00,700.00,700.00,up-for-renewal,stripe,quickbooks,processor-shows-partial-settled-xero-matches-processor,false,delta-flagged-carlos-review
Snyk,2000.00,2000.00,2000.00,2000.00,0.00,0.00,paused,stripe,hubspot,sponsor-requested-pause-oct-2026,true,paused-do-not-draft-outreach
Rapid7,5000.00,5000.00,5000.00,4750.00,0.00,0.00,renew,stripe,xero,xero-missing-late-dec-invoice-adjustment,false,renewal-window-may-2027
Tenable,3500.00,3500.00,3500.00,3500.00,0.00,0.00,up-for-renewal,stripe,hubspot,ledgers-agree,false,q1-2027-renewal
Vectra AI,2500.00,0.00,0.00,2500.00,2500.00,2500.00,up-for-renewal,stripe,hubspot,processor-shows-invoice-outstanding-crm-closed-won-flagged,false,delta-flagged-carlos-review-overdue-60-days
CrowdStrike,4000.00,4000.00,4000.00,4000.00,0.00,0.00,renew,stripe,hubspot,ledgers-agree,false,renewal-window-jun-2027
Splunk,6000.00,6000.00,6000.00,6000.00,0.00,0.00,renew,stripe,hubspot,ledgers-agree,false,renewal-window-jul-2027
Recorded Future,3000.00,3000.00,3000.00,3000.00,0.00,0.00,opted-out,stripe,hubspot,sponsor-declined-2027-renewal-nov-2026,true,opted-out-do-not-draft-outreach
Sysdig,2000.00,1800.00,1800.00,1800.00,200.00,200.00,up-for-renewal,stripe,quickbooks,crm-closed-won-inflated-by-200-processor-authoritative,false,delta-flagged-carlos-review
Cybereason,2500.00,2500.00,2500.00,2500.00,0.00,0.00,up-for-renewal,stripe,hubspot,ledgers-agree,false,q1-2027-renewal
Chronicle,3500.00,3500.00,3500.00,3500.00,0.00,0.00,renew,stripe,hubspot,ledgers-agree,false,renewal-window-mar-2027
Wiz,4000.00,4000.00,4000.00,4000.00,0.00,0.00,up-for-renewal,stripe,hubspot,ledgers-agree,false,q1-2027-renewal
TOTAL,51500.00,48100.00,48100.00,51050.00,3400.00,3400.00,,,,,,
