category,line_item,amount,source_ledger,cross_check_ledger,delta,notes
Revenue,Elastic Security Q1 2027 sponsorship,4750.00,stripe,quickbooks,0.00,cleared-pending-carlos-approval
Revenue,Sumo Logic Q1 2027 sponsorship,3150.00,stripe,quickbooks,0.00,cleared-pending-carlos-approval
Revenue,Detectify Q1 2027 sponsorship,2625.00,stripe,quickbooks,0.00,cleared-pending-carlos-approval
Revenue,Corelight Q1 2027 sponsorship,0.00,stripe,quickbooks,0.00,held-pending-q4-2026-delta-resolution
Revenue,Rapid7 Q1 2027 sponsorship (partial accrual),1750.00,stripe,quickbooks,0.00,accrual-q1-portion-of-may-2027-renewal
Revenue,Tenable Q1 2027 sponsorship,3675.00,stripe,quickbooks,0.00,cleared-pending-carlos-approval
Revenue,Vectra AI Q1 2027 sponsorship,0.00,stripe,quickbooks,0.00,held-pending-q4-2026-collections
Revenue,Cybereason Q1 2027 sponsorship,2625.00,stripe,quickbooks,0.00,cleared-pending-carlos-approval
Revenue,Chronicle Q1 2027 sponsorship,3675.00,stripe,quickbooks,0.00,cleared-pending-carlos-approval
Revenue,Wiz Q1 2027 sponsorship,4200.00,stripe,quickbooks,0.00,cleared-pending-carlos-approval
Revenue,Community meetup ticket sales (Jan 2027 only),450.00,square,quickbooks,0.00,paternity-leave-pauses-meetups-feb-jun
Revenue,Emma workshop honoraria pass-through Q1 2027,1200.00,gusto,quickbooks,0.00,two-workshops-scheduled-jan-2027
Revenue,Digital downloads (detection rule templates),620.00,stripe,quickbooks,0.00,average-quarterly-run-rate
Revenue,TOTAL REVENUE,28720.00,,,,
Expenses,WordPress hosting (WP Engine),135.00,quickbooks,xero,0.00,monthly-45-x-3
Expenses,Contentful subscription,89.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Algolia search index,50.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Sentry error tracking,26.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Mailchimp,105.00,quickbooks,xero,0.00,under-150-threshold-lower-tier-during-pause
Expenses,Klaviyo,150.00,quickbooks,xero,0.00,at-threshold-flag-carlos-review
Expenses,ActiveCampaign,49.00,quickbooks,xero,0.00,under-150-threshold
Expenses,SendGrid,30.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Mailgun,35.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Segment,120.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Amplitude,0.00,quickbooks,xero,0.00,free-tier
Expenses,Mixpanel,0.00,quickbooks,xero,0.00,free-tier
Expenses,PostHog,0.00,quickbooks,xero,0.00,free-tier
Expenses,HubSpot,180.00,quickbooks,xero,0.00,above-150-flag-carlos-review-consider-downgrade
Expenses,Salesforce,25.00,quickbooks,xero,0.00,under-150-threshold-legacy-seat
Expenses,Zendesk,55.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Freshdesk,0.00,quickbooks,xero,0.00,free-tier
Expenses,Intercom,74.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Asana,30.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Notion,15.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Airtable,20.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Linear,24.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Figma,45.00,quickbooks,xero,0.00,under-150-threshold
Expenses,QuickBooks,90.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Xero,75.00,quickbooks,xero,0.00,under-150-threshold-secondary-recon-only
Expenses,Gusto,120.00,quickbooks,xero,0.00,under-150-threshold
Expenses,Domain and SSL renewals,45.00,quickbooks,xero,0.00,annual-portion
Expenses,Monica guest post honorarium,750.00,quickbooks,xero,0.00,q1-2027-guest-slot
Expenses,Shippo (dormant during pause),0.00,quickbooks,xero,0.00,paused-feb-jun
Expenses,Stripe and Square processor fees Q1 2027,198.00,quickbooks,xero,0.00,processor-fee-blend-per-transaction-not-subscription
Expenses,TOTAL EXPENSES,2535.00,,,,
Net,Net earnings before SE tax,26185.00,,,,revenue-minus-expenses
Tax,Net earnings x 0.9235 (SE tax base),24181.85,,,,se-tax-formula
Tax,SE tax 15.3 percent,3699.82,,,,quarterly-accrual
Tax,Federal quarterly estimate (22 percent bracket),5760.70,,,,estimated-q1-2027-federal-22pct-of-net-earnings
Tax,TOTAL TAX ACCRUAL,9460.52,,,,se-tax-plus-federal-estimate
Net,Net after tax accrual,16724.48,,,,defensible-against-turbotax-feb-2027-return
