email_hash,reconciled_opt_in_state,source_of_truth,engagement_tier_q4_2026,tag_set,last_touch_date,conflict_flag,conflict_note
a1f3c8e2b7d4f5a6c9e0b1d2f3a4c5e6b7d8f9a0c1e2b3d4f5a6c7e8b9d0f1a2,subscribed,mailchimp,high,"blue-team,detection-eng,siem",2026-12-19,false,
b2e4d9f3c8e5a6b7d0f1c2e3b4d5a6c7f8e9b0d1c2f3a4b5d6c7e8f9a0b1c2d3,subscribed,mailchimp,high,"blue-team,threat-intel",2026-12-15,false,
c3f5eaf4d9f6b7c8e1a2d3f4c5e6b7d8f9a0b1c2e3d4f5b6c7d8e9a0b1c2d3e4,unsubscribed,newest-opt-out,none,"lapsed",2026-10-14,true,active-in-activecampaign-since-2026-11-02
d4a6fbf5eaf7c8d9f2b3e4a5d6f7c8e9b0a1d2f3c4e5a6b7d8c9e0a1b2c3d4e5,subscribed,mailchimp,medium,"blue-team,ir",2026-12-08,false,
e5b7acf6fba8d9eaf3c4d5b6e7a8d9c0b1e2a3d4c5f6b7a8d9e0c1b2a3d4e5f6,subscribed,mailchimp,low,"detection-eng",2026-11-22,false,
f6c8bda7acb9eafbc4d5e6c7f8b9e0d1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7,hard_bounce,sendgrid,none,"blue-team",2026-11-05,true,mailchimp-shows-subscribed-not-yet-synced
a7d9ceb8bdcafbcadf5e6f7d8c9f0e1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f,unsubscribed,newest-opt-out,none,"threat-intel,lapsed",2026-10-09,true,klaviyo-welcome-flow-active-flag-newest-opt-out-wins
b8eadfc9cedbcadbeaf6a7b8d9e0f1a2c3d4b5e6d7f8a9b0c1d2e3f4a5b6c7d8,subscribed,mailchimp,high,"blue-team,siem,homelab",2026-12-20,false,
c9fbeada dfeadbdc fb a7b8c9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9,paused,mailchimp,none,"paused-by-reader",2026-09-30,false,
d0acfbeb eafbecad ac b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0,subscribed,mailchimp,medium,"detection-eng,homelab",2026-12-11,false,
e1bdacfc fbacdfbe bd c9d0e1f2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1,subscribed,mailchimp,high,"blue-team,ir,threat-intel",2026-12-18,false,
f2ceb dad ac bde afc ce d0e1f2b3c4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1,unsubscribed,newest-opt-out,none,"lapsed,unsub-oct-2026",2026-10-22,true,activecampaign-reengagement-drip-still-active-suppressed
a3dfcabe bdcefbea de e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3,subscribed,mailchimp,low,"detection-eng",2026-10-30,false,
b4eadbcf cedfacfb ef f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4,hard_bounce,mailgun,none,"blue-team",2026-11-11,true,sendgrid-still-shows-deliverable
c5fbecda defbaedc fa a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5,subscribed,mailchimp,high,"blue-team,siem",2026-12-16,false,
d6acfdeb efacbfed ab b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6,subscribed,mailchimp,medium,"threat-intel",2026-12-01,false,
e7bdaefc fabdcafe bc c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7,unsubscribed,newest-opt-out,none,"lapsed",2026-10-05,true,klaviyo-shows-subscribed-newest-opt-out-wins
f8cebfad abcedbaf cd d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8,subscribed,mailchimp,high,"blue-team,detection-eng,homelab",2026-12-19,false,
a9dfcabe bcdefcba de e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9,subscribed,mailchimp,low,"threat-intel",2026-11-08,false,
b0eadbcf cdefadcb ef f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0,paused,mailchimp,none,"paused-by-reader,parental-leave",2026-11-15,false,
2392_additional_rows_omitted_for_bundle_review,,,,,,,see_full_ledger_export_on_carlos_read_and_approve
