pair,base,currency,amount
BTC-CAD,BTC,CAD,67215.58
ETH-CAD,ETH,CAD,2716.73
SOL-CAD,SOL,CAD,33839.26
ADA-CAD,ADA,CAD,26307.42
DOT-CAD,DOT,CAD,67400.17
MATIC5-CAD,MATIC,CAD,54155.66
AVAX6-CAD,AVAX,CAD,8156.0
LINK7-CAD,LINK,CAD,13671.69
UNI8-CAD,UNI,CAD,35883.58
ATOM9-CAD,ATOM,CAD,27790.34
XRP10-CAD,XRP,CAD,4194.65
LTC11-CAD,LTC,CAD,5834.46
BCH12-CAD,BCH,CAD,11461.47
ALGO13-CAD,ALGO,CAD,27481.87
XLM14-CAD,XLM,CAD,52696.74
FIL15-CAD,FIL,CAD,51179.61
NEAR16-CAD,NEAR,CAD,39128.18
APT17-CAD,APT,CAD,29248.4
ARB18-CAD,ARB,CAD,47986.81
OP19-CAD,OP,CAD,30872.13
BTC20-CAD,BTC,CAD,26793.35
ETH21-CAD,ETH,CAD,12984.66
SOL22-CAD,SOL,CAD,35442.2
ADA23-CAD,ADA,CAD,51699.65
DOT24-CAD,DOT,CAD,1174.61
MATIC25-CAD,MATIC,CAD,19502.78
AVAX26-CAD,AVAX,CAD,49878.86
LINK27-CAD,LINK,CAD,14520.53
UNI28-CAD,UNI,CAD,49430.49
ATOM29-CAD,ATOM,CAD,5229.94
XRP30-CAD,XRP,CAD,40731.17
LTC31-CAD,LTC,CAD,5131.06
BCH32-CAD,BCH,CAD,25730.29
ALGO33-CAD,ALGO,CAD,28410.64
XLM34-CAD,XLM,CAD,25683.65
FIL35-CAD,FIL,CAD,3026.01
NEAR36-CAD,NEAR,CAD,35688.68
APT37-CAD,APT,CAD,12973.69
ARB38-CAD,ARB,CAD,19258.79
OP39-CAD,OP,CAD,39950.4
BTC40-CAD,BTC,CAD,15674.04
ETH41-CAD,ETH,CAD,49832.69
SOL42-CAD,SOL,CAD,22115.48
ADA43-CAD,ADA,CAD,54944.13
DOT44-CAD,DOT,CAD,49311.13
MATIC45-CAD,MATIC,CAD,46582.31
AVAX46-CAD,AVAX,CAD,42806.78
LINK47-CAD,LINK,CAD,45072.06
UNI48-CAD,UNI,CAD,59104.58
ATOM49-CAD,ATOM,CAD,25273.04
XRP50-CAD,XRP,CAD,15225.03
LTC51-CAD,LTC,CAD,4858.4
BCH52-CAD,BCH,CAD,35762.31
ALGO53-CAD,ALGO,CAD,19920.1
XLM54-CAD,XLM,CAD,40743.65
FIL55-CAD,FIL,CAD,37906.28
NEAR56-CAD,NEAR,CAD,21719.26
APT57-CAD,APT,CAD,51463.59
ARB58-CAD,ARB,CAD,32927.42
OP59-CAD,OP,CAD,23650.07
BTC60-CAD,BTC,CAD,58801.25
ETH61-CAD,ETH,CAD,5425.22
SOL62-CAD,SOL,CAD,20624.18
ADA63-CAD,ADA,CAD,1032.96
DOT64-CAD,DOT,CAD,6500.81
MATIC65-CAD,MATIC,CAD,43675.91
AVAX66-CAD,AVAX,CAD,26973.59
LINK67-CAD,LINK,CAD,53707.67
UNI68-CAD,UNI,CAD,59320.1
ATOM69-CAD,ATOM,CAD,20571.98
XRP70-CAD,XRP,CAD,35159.18
LTC71-CAD,LTC,CAD,48601.22
BCH72-CAD,BCH,CAD,51594.85
ALGO73-CAD,ALGO,CAD,59687.06
XLM74-CAD,XLM,CAD,43756.11
FIL75-CAD,FIL,CAD,52819.74
NEAR76-CAD,NEAR,CAD,18797.79
APT77-CAD,APT,CAD,56650.19
ARB78-CAD,ARB,CAD,45589.86
OP79-CAD,OP,CAD,38979.53
BTC80-CAD,BTC,CAD,11384.13
ETH81-CAD,ETH,CAD,47287.7
SOL82-CAD,SOL,CAD,9371.95
ADA83-CAD,ADA,CAD,19787.01
DOT84-CAD,DOT,CAD,33149.03
MATIC85-CAD,MATIC,CAD,10396.58
AVAX86-CAD,AVAX,CAD,51639.69
LINK87-CAD,LINK,CAD,55188.52
UNI88-CAD,UNI,CAD,9703.95
ATOM89-CAD,ATOM,CAD,17285.25
XRP90-CAD,XRP,CAD,11563.5
LTC91-CAD,LTC,CAD,9255.52
BCH92-CAD,BCH,CAD,42387.06
ALGO93-CAD,ALGO,CAD,3068.14
XLM94-CAD,XLM,CAD,42625.94
FIL95-CAD,FIL,CAD,46557.14
NEAR96-CAD,NEAR,CAD,48193.29
APT97-CAD,APT,CAD,37360.58
ARB98-CAD,ARB,CAD,36827.07
OP99-CAD,OP,CAD,2233.98
BTC100-CAD,BTC,CAD,22647.06
ETH101-CAD,ETH,CAD,33963.84
SOL102-CAD,SOL,CAD,34459.41
ADA103-CAD,ADA,CAD,10066.5
DOT104-CAD,DOT,CAD,24886.67
