id,account_id,type,status,amount,currency,native_amount,native_currency,description,created_at
cbtx-00000,cbacct-btc,send,completed,0.362669,BTC,2323.51,CAD,Transaction 0,2026-01-01T00:00:00Z
cbtx-00001,cbacct-eth,buy,completed,0.456219,ETH,759.61,CAD,Transaction 1,2026-01-02T00:00:00Z
cbtx-00002,cbacct-sol,send,completed,0.155926,SOL,3837.91,CAD,Transaction 2,2026-01-03T00:00:00Z
cbtx-00003,cbacct-ada,buy,completed,0.194906,ADA,2936.71,CAD,Transaction 3,2026-01-04T00:00:00Z
cbtx-00004,cbacct-dot,send,completed,0.392065,DOT,269.20,CAD,Transaction 4,2026-01-05T00:00:00Z
cbtx-00005,cbacct-btc,sell,completed,0.288548,BTC,3231.58,CAD,Transaction 5,2026-01-06T00:00:00Z
cbtx-00006,cbacct-eth,receive,completed,0.084061,ETH,2430.64,CAD,Transaction 6,2026-01-07T00:00:00Z
cbtx-00007,cbacct-sol,send,completed,0.356291,SOL,1240.94,CAD,Transaction 7,2026-01-08T00:00:00Z
cbtx-00008,cbacct-ada,sell,completed,0.150371,ADA,2112.40,CAD,Transaction 8,2026-01-09T00:00:00Z
cbtx-00009,cbacct-dot,receive,completed,0.221426,DOT,1013.20,CAD,Transaction 9,2026-01-10T00:00:00Z
cbtx-00010,cbacct-btc,buy,completed,0.395967,BTC,3917.71,CAD,Transaction 10,2026-01-11T00:00:00Z
cbtx-00011,cbacct-eth,send,completed,0.345980,ETH,548.69,CAD,Transaction 11,2026-01-12T00:00:00Z
cbtx-00012,cbacct-sol,sell,completed,0.130352,SOL,1957.14,CAD,Transaction 12,2026-01-13T00:00:00Z
cbtx-00013,cbacct-ada,receive,completed,0.452537,ADA,3261.75,CAD,Transaction 13,2026-01-14T00:00:00Z
cbtx-00014,cbacct-dot,sell,completed,0.336669,DOT,681.89,CAD,Transaction 14,2026-01-15T00:00:00Z
cbtx-00015,cbacct-btc,sell,completed,0.282649,BTC,2749.54,CAD,Transaction 15,2026-01-16T00:00:00Z
cbtx-00016,cbacct-eth,sell,completed,0.144884,ETH,1508.34,CAD,Transaction 16,2026-01-17T00:00:00Z
cbtx-00017,cbacct-sol,receive,completed,0.351406,SOL,4251.34,CAD,Transaction 17,2026-01-18T00:00:00Z
cbtx-00018,cbacct-ada,buy,completed,0.372510,ADA,4084.84,CAD,Transaction 18,2026-01-19T00:00:00Z
cbtx-00019,cbacct-dot,receive,completed,0.055619,DOT,4020.41,CAD,Transaction 19,2026-01-20T00:00:00Z
cbtx-00020,cbacct-btc,send,completed,0.479830,BTC,3193.58,CAD,Transaction 20,2026-01-21T00:00:00Z
cbtx-00021,cbacct-eth,buy,completed,0.372711,ETH,597.63,CAD,Transaction 21,2026-01-22T00:00:00Z
cbtx-00022,cbacct-sol,sell,completed,0.369315,SOL,3364.20,CAD,Transaction 22,2026-01-23T00:00:00Z
cbtx-00023,cbacct-ada,sell,completed,0.335909,ADA,845.34,CAD,Transaction 23,2026-01-24T00:00:00Z
cbtx-00024,cbacct-dot,buy,completed,0.185618,DOT,4428.47,CAD,Transaction 24,2026-01-25T00:00:00Z
cbtx-00025,cbacct-btc,send,completed,0.204116,BTC,4774.45,CAD,Transaction 25,2026-01-26T00:00:00Z
cbtx-00026,cbacct-eth,send,completed,0.105555,ETH,3764.20,CAD,Transaction 26,2026-01-27T00:00:00Z
cbtx-00027,cbacct-sol,buy,completed,0.027211,SOL,685.69,CAD,Transaction 27,2026-01-28T00:00:00Z
