Playlist_Name	Track_Title	Artist	Album	Duration_Min_Sec	Added_Date	Notes
Study Lo-Fi	Snowfall	Øneheart	Snowfall EP	3:42	2025-09-04	Top of the rotation. Never gets old.
Study Lo-Fi	Coffee Break	LO-FI BEATS	Chill Study Mix	2:58	2025-09-04	
Study Lo-Fi	midnight	Sappheiros	Sappheiros	3:10	2025-09-04	
Study Lo-Fi	Alone	Ikson	Alone EP	3:34	2025-09-06	
Study Lo-Fi	dreams	LAKEY INSPIRED	Chill Day	3:47	2025-09-06	
Study Lo-Fi	Better Days	LAKEY INSPIRED	Better Days	3:30	2025-09-08	Put this on when I need to push through
Study Lo-Fi	Chill Guy	LAKEY INSPIRED	Chill Day	3:18	2025-09-08	
Study Lo-Fi	Blue Boi	LAKEY INSPIRED	Chill Day	3:05	2025-09-10	
Study Lo-Fi	Far Away	Ikson	Far Away EP	3:52	2025-09-10	
Study Lo-Fi	Paris	LAKEY INSPIRED	Chill Day	3:28	2025-09-12	
Study Lo-Fi	Slow Down	Liqwyd	Slow Down	3:16	2025-09-12	
Study Lo-Fi	Golden Hour	Liqwyd	Chill Sessions	3:45	2025-09-15	
Study Lo-Fi	Lost	Øneheart	Snowfall EP	3:21	2025-09-15	
Study Lo-Fi	Daydream	Kupla	Morning Leaves	3:47	2025-09-20	
Study Lo-Fi	Summer Breeze	Ikson	Summer Breeze EP	3:39	2025-09-20	
Study Lo-Fi	Time	Hans Zimmer	Inception OST	4:35	2025-10-01	Added for focus. Long haul sessions.
Study Lo-Fi	Experience	Ludovico Einaudi	In a Time Lapse	5:17	2025-10-01	
Study Lo-Fi	Night Owl	Galimatias	Night Owl EP	3:54	2025-10-10	
Study Lo-Fi	Peace	Hiatus Kaiyote	Choose Your Weapon	5:12	2025-10-15	
Study Lo-Fi	Reverie	Kupla	Morning Leaves	4:01	2025-11-01	
Kendrick Rotation	Not Like Us	Kendrick Lamar	GNX	4:34	2025-09-04	Played this excessively in September
Kendrick Rotation	TV Off	Kendrick Lamar	GNX	3:28	2025-09-04	
Kendrick Rotation	Humble	Kendrick Lamar	DAMN.	3:02	2025-09-04	
Kendrick Rotation	Alright	Kendrick Lamar	To Pimp a Butterfly	3:39	2025-09-04	
Kendrick Rotation	Money Trees	Kendrick Lamar	good kid m.A.A.d city	6:26	2025-09-04	Mateo sent this to me our first week together
Kendrick Rotation	PRIDE.	Kendrick Lamar	DAMN.	4:31	2025-09-06	
Kendrick Rotation	The Heart Part 5	Kendrick Lamar	Single	5:38	2025-10-20	
Kendrick Rotation	N95	Kendrick Lamar	Mr. Morale and The Big Steppers	3:14	2025-11-01	
Mitski	Nobody	Mitski	Be the Cowboy	3:00	2025-09-04	This song hits different at 1 AM
Mitski	Washing Machine Heart	Mitski	Be the Cowboy	2:42	2025-09-04	
Mitski	Your Best American Girl	Mitski	Puberty 2	4:13	2025-09-04	
Mitski	First Love / Late Spring	Mitski	Bury Me at Makeout Creek	4:01	2025-09-04	
Mitski	I Bet on Losing Dogs	Mitski	Bury Me at Makeout Creek	3:27	2025-09-08	
Mitski	Pink in the Night	Mitski	Be the Cowboy	3:05	2025-11-15	Added this after a good night with Mateo
Mitski	Geyser	Mitski	Be the Cowboy	3:08	2025-11-15	
Mitski	Two Slow Dancers	Mitski	Be the Cowboy	3:38	2025-12-01	
Late Night Driving	golden hour	JVKE	this is what golden hour feels like	3:25	2025-10-01	
Late Night Driving	fukumean	Gunna	a Gift and a Curse	2:20	2025-10-01	
Late Night Driving	Telepatia	Kali Uchis	Sin Miedo	3:35	2025-10-05	
Late Night Driving	After Hours	The Weeknd	After Hours	6:01	2025-10-05	
Late Night Driving	Essence	Wizkid feat. Tems	Made in Lagos Deluxe	5:06	2025-10-10	
Late Night Driving	Lovely	Billie Eilish feat. Khalid	Don't Smile at Me	3:21	2025-10-10	
Late Night Driving	ilomilo	Billie Eilish	When We All Fall Asleep...	2:23	2025-10-10	
Late Night Driving	Come Through	H.E.R.	Focus EP	3:48	2025-10-15	
Late Night Driving	Location	Khalid	American Teen	3:44	2025-11-01	This was the first song Mateo and I agreed on
Late Night Driving	good 4 u	Olivia Rodrigo	SOUR	2:58	2025-11-20	
Running	Power	Kanye West	My Beautiful Dark Twisted Fantasy	4:52	2025-09-10	
Running	MONTERO (Call Me By Your Name)	Lil Nas X	Montero	2:18	2025-09-10	
Running	INDUSTRY BABY	Lil Nas X feat. Jack Harlow	Montero	3:32	2025-09-10	
Running	Blinding Lights	The Weeknd	After Hours	3:22	2025-09-10	
Running	Levitating	Dua Lipa	Future Nostalgia	3:24	2025-10-01	
Running	Physical	Dua Lipa	Future Nostalgia	3:13	2025-10-01	
Running	Luther	Kendrick Lamar feat. SZA	GNX	3:44	2025-11-20	
