Category	Item	Amount	Type	Notes
Income	IT Help Desk wages (gross, Jan-May 2025)	5600.00	Income	20 hrs/wk at $14/hr, biweekly, 5 months school year
Income	IT Help Desk wages (gross, Jun-Aug 2025)	7680.00	Income	40 hrs/wk at $14/hr for Jun; 40 hrs/wk at $14/hr Jul-Aug (full-time at school-year rate through summer 2025)
Income	Peer tutoring (Fall 2025)	427.00	Income	23 sessions at Learning Center, TUT-2025-0144
Income	Peer tutoring (Spring 2025, partial)	280.00	Income	Approximate based on hours logged
Income	Roberto Lambert contributions	1200.00	Income	$100/month, 12 months, varies but consistent through 2025
Income	Financial aid refund (Spring 2025)	3600.00	Income	Spring 2025 credit balance refunded after aid applied to tuition/housing
Income	Financial aid refund (Fall 2025)	3827.50	Income	Fall 2025 credit balance refunded after aid applied
Total Gross Income 2025		22614.50		
Taxes Withheld (est.)	Federal and state income tax (wages only)	-1530.00	Deduction	Approximate based on W-4 and tax bracket; financial aid refunds not taxable
FICA	Social Security and Medicare on wages	-1013.00	Deduction	Approximate
Total Net Income After Tax		20071.50		
Expenses - Fixed	Rent (all 12 months at $575/month)	6900.00	Expense	Previous address 6812 N. Sheridan Rd Apt 2C all year
Expenses - Fixed	Utilities - electric (Eric share)	264.00	Expense	Monthly share approximately $22, 12 months
Expenses - Fixed	Utilities - gas (Eric share)	174.00	Expense	Monthly share approximately $14.50, 12 months
Expenses - Fixed	Utilities - internet (Eric share)	260.00	Expense	$21.67/month x 12 months
Expenses - Fixed	Phone (T-Mobile family plan)	420.00	Expense	$35/month x 12 months
Expenses - Fixed	Spotify Premium Student	71.88	Expense	$5.99/month x 12 months
Expenses - Fixed	iCloud Storage	11.88	Expense	$0.99/month x 12 months
Expenses - Variable	Groceries (personal share)	2400.00	Expense	$200/month estimate x 12 months
Expenses - Variable	Dining out and coffee	960.00	Expense	$80/month average, varies
Expenses - Variable	Laundry	240.00	Expense	$20/month x 12 months
Expenses - Variable	Personal spending (thrifting, misc)	550.00	Expense	Includes thrift purchases tracked in item_g.xlsx
Expenses - Variable	Health (loperamide, vitamins, occasional pharmacy)	120.00	Expense	Approximate
Expenses - Variable	Tech and supplies (Amazon purchases)	180.00	Expense	USB hub, keyboard, cables, misc
Expenses - Variable	Gifts and family	150.00	Expense	Diego birthday, small holiday gifts, card for parents
Expenses - Variable	Entertainment (outings, occasional events)	200.00	Expense	Movies, campus events, etc.
Total Annual Expenses		12901.76		
Net Remaining 2025		7169.74		
Savings Added to Chase ...4390	Transfers to savings throughout year	-3600.00	Savings	Approximately $300/month most months
End-of-Year Cash Position	Checking ...8821 (approx end of Dec 2025)	2047.67	Balance	From bank statement
End-of-Year Cash Position	Savings ...4390 (approx end of Dec 2025)	1400.00	Balance	Estimate - savings built over both years
Total Cash at End of 2025		3447.67		
Federal Subsidized Loan	New debt added in 2025 (Spring + Fall disbursements)	3500.00	Debt	DL-SUB-2024-5503
Parent PLUS Loan	New debt added in 2025 (Spring + Fall disbursements)	4500.00	Debt	PP-PLUS-2024-5504 (Roberto's loan)
Total New Debt 2025		8000.00		
Notes	Financial aid refunds are return of excess aid after tuition/housing covered; not taxable per IRS rules			
Notes	Parent PLUS loan is Roberto's debt; tracked here for complete picture of family education cost			
Notes	2025 W-2 forms received from Lakeview IT Payroll and Lakeview Learning Center			
