Date	Description	Type	Amount	Balance
2025-10-01	Opening balance		0.00	862.43
2025-10-01	LAKEVIEW UNIV LEARNING CTR TUT-2025-0144	Credit	84.00	946.43
2025-10-03	LAKEVIEW IT DEPT PAYROLL EMP-7234	Credit	560.00	1506.43
2025-10-03	AUTOPAY RENT 6812 N SHERIDAN APT 2C	Debit	-575.00	931.43
2025-10-05	TARGET CHICAGO IL	Debit	-41.22	890.21
2025-10-07	JEWEL-OSCO CHICAGO IL	Debit	-38.15	852.06
2025-10-09	PORTILLOS CHICAGO IL	Debit	-14.87	837.19
2025-10-10	CVS PHARMACY CHICAGO IL	Debit	-12.49	824.70
2025-10-11	CAMPUS CAFE LAKEVIEW UNIV	Debit	-4.75	819.95
2025-10-13	VILLAGE DISCOUNT OUTLET CHICAGO IL	Debit	-23.00	796.95
2025-10-15	LAKEVIEW UNIV LEARNING CTR TUT-2025-0144	Credit	42.00	838.95
2025-10-17	LAKEVIEW IT DEPT PAYROLL EMP-7234	Credit	560.00	1398.95
2025-10-18	JEWEL-OSCO CHICAGO IL	Debit	-44.30	1354.65
2025-10-20	SPOTIFY PREMIUM	Debit	-5.99	1348.66
2025-10-20	APPLE ICLOUD	Debit	-0.99	1347.67
2025-10-22	CAMPUS CAFE LAKEVIEW UNIV	Debit	-9.50	1338.17
2025-10-24	THAI SPICE ANDERSONVILLE CHICAGO IL	Debit	-38.00	1300.17
2025-10-25	ROBERTO LAMBERT CTA ZELLE	Credit	100.00	1400.17
2025-10-28	LAKEVIEW UNIV LEARNING CTR TUT-2025-0144	Credit	56.00	1456.17
2025-10-29	LAKEVIEW IT DEPT PAYROLL EMP-7234	Credit	560.00	2016.17
2025-10-31	TRANSFER TO SAVINGS ...4390	Debit	-300.00	1716.17
2025-11-01	AUTOPAY RENT 6812 N SHERIDAN APT 2C	Debit	-575.00	1141.17
2025-11-03	LAKEVIEW UNIV LEARNING CTR TUT-2025-0144	Credit	70.00	1211.17
2025-11-05	JEWEL-OSCO CHICAGO IL	Debit	-51.20	1159.97
2025-11-07	T-MOBILE AUTOPAY	Debit	-35.00	1124.97
2025-11-09	CAMPUS CAFE LAKEVIEW UNIV	Debit	-5.25	1119.72
2025-11-12	LAKEVIEW IT DEPT PAYROLL EMP-7234	Credit	560.00	1679.72
2025-11-14	AMAZON.COM	Debit	-29.99	1649.73
2025-11-17	LAKEVIEW UNIV LEARNING CTR TUT-2025-0144	Credit	42.00	1691.73
2025-11-18	PORTILLOS CHICAGO IL	Debit	-13.45	1678.28
2025-11-19	JEWEL-OSCO CHICAGO IL	Debit	-39.70	1638.58
2025-11-21	VILLAGE DISCOUNT OUTLET CHICAGO IL	Debit	-31.00	1607.58
2025-11-24	LAKEVIEW IT DEPT PAYROLL EMP-7234	Credit	560.00	2167.58
2025-11-26	TRANSFER TO SAVINGS ...4390	Debit	-300.00	1867.58
2025-12-01	AUTOPAY RENT 6812 N SHERIDAN APT 2C	Debit	-575.00	1292.58
2025-12-01	LAKEVIEW UNIV LEARNING CTR TUT-2025-0144	Credit	70.00	1362.58
2025-12-03	JEWEL-OSCO CHICAGO IL	Debit	-46.80	1315.78
2025-12-05	LAKEVIEW IT DEPT PAYROLL EMP-7234	Credit	560.00	1875.78
2025-12-07	CAMPUS CAFE LAKEVIEW UNIV	Debit	-7.50	1868.28
2025-12-09	TARGET CHICAGO IL	Debit	-55.42	1812.86
2025-12-10	ROBERTO LAMBERT CTA ZELLE	Credit	100.00	1912.86
2025-12-12	THAI SPICE ANDERSONVILLE CHICAGO IL	Debit	-41.50	1871.36
2025-12-15	LAKEVIEW UNIV LEARNING CTR TUT-2025-0144	Credit	28.00	1899.36
2025-12-19	LAKEVIEW IT DEPT PAYROLL EMP-7234	Credit	560.00	2459.36
2025-12-20	TRANSFER TO SAVINGS ...4390	Debit	-300.00	2159.36
2025-12-22	TARGET CHICAGO IL	Debit	-47.80	2111.56
2025-12-22	AMAZON.COM	Debit	-34.99	2076.57
2025-12-26	JEWEL-OSCO CHICAGO IL	Debit	-28.90	2047.67
2025-12-31	Closing balance		0.00	2047.67
