Title	Author	Genre	Date_Started	Date_Finished	Rating_1to5	Notes
The Martian	Andy Weir	Sci-fi / Survival	2025-01-10	2025-01-28	5	Genuinely could not put it down. The problem-solving is what got me. Mateo borrowed it after.
Project Hail Mary	Andy Weir	Sci-fi / First contact	2025-02-03	2025-02-24	5	Even better than The Martian. Rocky. Enough said.
The Long Way to a Small Angry Planet	Becky Chambers	Sci-fi / Character-driven	2025-03-01	2025-03-22	4	Slower paced but really cozy for a sci-fi book. The crew dynamics are the whole thing.
A Fire Upon the Deep	Vernor Vinge	Sci-fi / Space opera	2025-04-05	2025-05-10	3	Ambitious. Lost me in the middle section. The Tines are a great idea though.
Recursion	Blake Crouch	Sci-fi / Thriller	2025-05-20	2025-06-01	4	Hard to put down. The memory timeline stuff broke my brain in a good way.
Dark Matter	Blake Crouch	Sci-fi / Thriller	2025-06-04	2025-06-18	4	Basically the same premise as Recursion but still gripping. Read it in two weeks.
Flowers for Algernon	Daniel Keyes	Sci-fi / Classic	2025-07-01	2025-07-14	5	Assigned myself this one. Hit harder than expected. Charlie Gordon broke me a little.
Ender's Game	Orson Scott Card	Sci-fi / Military	2025-07-20	2025-08-02	4	Knew the twist going in and it still landed. Very readable.
All Systems Red (Murderbot Diaries 1)	Martha Wells	Sci-fi / Novella	2025-08-10	2025-08-14	5	Short but perfect. Murderbot's voice is exactly my kind of humor. Starting the series.
Artificial Condition (Murderbot Diaries 2)	Martha Wells	Sci-fi / Novella	2025-08-16	2025-08-20	5	Just as good. ART is incredible.
Rogue Protocol (Murderbot Diaries 3)	Martha Wells	Sci-fi / Novella	2025-09-01	2025-09-05	4	Still good. Slightly weaker than the first two but still fun.
Exit Strategy (Murderbot Diaries 4)	Martha Wells	Sci-fi / Novella	2025-09-08	2025-09-12	5	Great ending to the first arc. Cried a little. Not sorry.
Klara and the Sun	Kazuo Ishiguro	Sci-fi / Literary	2025-10-10	2025-11-01	4	Beautifully sad. Klara's perspective is unlike anything I have read.
The Dispossessed	Ursula K. Le Guin	Sci-fi / Political	2025-11-15	2025-12-05	4	Dense but worth it. The dual-timeline structure is smart. Le Guin is something else.
Leviathan Wakes (Expanse 1)	James S.A. Corey	Sci-fi / Space opera	2026-01-06	2026-02-01	4	Great. The scope is huge but the characters keep it grounded. Starting Book 2.
Caliban's War (Expanse 2)	James S.A. Corey	Sci-fi / Space opera	2026-02-05	2026-02-27	4	Good. Avasarala is my favorite character in the series so far.
