Ticket_ID	Date	Day	Time_Opened	Time_Closed	Duration_Min	Issue_Category	Issue_Description	Resolution	Escalated	Notes
TKT-5501	2025-10-06	Monday	12:08 PM	12:34 PM	26	Account Access	Student locked out of Lakeview portal after password reset	Reset credentials via admin portal, confirmed access restored	No	Straightforward fix
TKT-5502	2025-10-06	Monday	1:15 PM	1:52 PM	37	Hardware	Faculty laptop not connecting to projector in Wieboldt 214	Replaced HDMI adapter, confirmed display output	No	Keep spare adapters stocked at desk
TKT-5503	2025-10-08	Wednesday	12:22 PM	1:10 PM	48	Software	Student unable to install VS Code on university Windows machine	Walked through installation with correct admin credentials	No	Happens often at semester start
TKT-5504	2025-10-08	Wednesday	2:05 PM	2:21 PM	16	Network	Ethernet drop in Tech Center 208 not working	Replaced cable, tested connectivity, resolved	No	Cable was pinched under desk leg
TKT-5505	2025-10-13	Monday	12:11 PM	12:30 PM	19	Account Access	Student email forwarding set incorrectly, missing messages	Corrected forwarding rules in Google Workspace admin console	No	
TKT-5506	2025-10-13	Monday	1:44 PM	2:38 PM	54	Hardware	Printer in Documents Center jamming repeatedly	Cleared paper path, replaced one feed roller, test printed 20 pages	No	Roller was overdue for replacement
TKT-5507	2025-10-15	Wednesday	12:05 PM	12:44 PM	39	Software	Python 3 not in PATH on lab machine CS-Lab-07	Added to system PATH via environment variables, verified in terminal	No	
TKT-5508	2025-10-15	Wednesday	2:10 PM	3:55 PM	105	Hardware	Monitor flickering in faculty office 312 Annex	Reseated DisplayPort cable, updated GPU driver, no recurrence in testing	No	Escalation considered but resolved before escalating
TKT-5509	2025-10-20	Monday	12:14 PM	12:29 PM	15	Account Access	Graduate student needs access to restricted research server	Ticket forwarded to system admin team per protocol	Yes	Outside help desk scope
TKT-5510	2025-10-20	Monday	1:50 PM	2:20 PM	30	Software	Campus VPN not connecting on student personal laptop (macOS)	Guided reinstall of Cisco AnyConnect, confirmed connection	No	
TKT-5511	2025-10-22	Wednesday	12:07 PM	1:15 PM	68	Hardware	Keyboard unresponsive on lab machine CS-Lab-11	Replaced keyboard from spare inventory, tagged old unit for disposal	No	
TKT-5512	2025-10-22	Wednesday	2:33 PM	3:41 PM	68	Software	Student unable to compile Java project, classpath error	Diagnosed missing JDK installation, installed JDK 17, compiled successfully	No	
TKT-5513	2025-10-27	Monday	12:09 PM	12:26 PM	17	Network	Wi-Fi dropping in Library west wing	Logged and forwarded to network team, not in help desk scope	Yes	Network team resolved by next day
TKT-5514	2025-10-27	Monday	1:05 PM	2:00 PM	55	Account Access	Faculty member unable to access grade submission portal	Portal maintenance window had ended, browser cache issue, cleared and resolved	No	
TKT-5515	2025-10-29	Wednesday	12:17 PM	12:45 PM	28	Software	Zoom audio not working in classroom tech room B	Corrected default audio output device in Zoom settings	No	
TKT-5516	2025-11-03	Monday	12:06 PM	12:51 PM	45	Hardware	Desktop in Annex 201 not powering on	Replaced blown fuse in power strip, machine booted normally	No	
TKT-5517	2025-11-03	Monday	2:14 PM	3:05 PM	51	Software	Student laptop running Windows extremely slow	Ran malware scan (clean), cleared temp files, disabled startup programs	No	Noticeably faster on retest
TKT-5518	2025-11-05	Wednesday	12:08 PM	12:32 PM	24	Account Access	New student account not provisioned after late enrollment	Submitted provisioning request to admin team, confirmed resolved same day	Yes	
TKT-5519	2025-11-05	Wednesday	1:27 PM	2:10 PM	43	Hardware	Webcam not detected on lab machine CS-Lab-03	Reinstalled USB drivers, device recognized	No	
TKT-5520	2025-11-10	Monday	12:11 PM	12:38 PM	27	Software	R Studio crashing on startup on faculty laptop	Updated R and RStudio to current versions, resolved	No	
TKT-5521	2025-11-10	Monday	1:55 PM	3:30 PM	95	Hardware	Projector bulb out in Humanities 115	Replaced bulb from inventory, recalibrated image	No	
TKT-5522	2025-11-12	Wednesday	12:05 PM	12:19 PM	14	Account Access	Student locked out of library database subscription	Reset EZproxy credentials, confirmed database access	No	
TKT-5523	2025-11-12	Wednesday	1:40 PM	2:15 PM	35	Network	Guest Wi-Fi registration not working for campus visitor	Walked visitor through manual MAC registration workaround	No	
TKT-5524	2025-11-17	Monday	12:12 PM	1:44 PM	92	Software	Faculty unable to restore files after accidental deletion	Recovered three files from Google Drive version history, one file unrecoverable	No	Advised on Drive backup best practices
TKT-5525	2025-11-19	Wednesday	12:09 PM	12:27 PM	18	Hardware	Mouse scroll wheel not working at circulation desk	Replaced mouse from inventory	No	
TKT-5526	2025-11-24	Monday	12:14 PM	12:35 PM	21	Account Access	Student needs email alias set up for club communications	Created alias via admin console as requested by department	No	
TKT-5527	2025-12-01	Monday	12:07 PM	12:55 PM	48	Software	Turnitin submission portal timing out for student	Cleared browser cache and cookies, switched to Chrome, submission succeeded	No	
TKT-5528	2025-12-01	Monday	2:00 PM	2:44 PM	44	Hardware	Laptop charger cable damaged, student unable to charge	Loaned temporary charger per policy, filed equipment report	No	
TKT-5529	2025-12-03	Wednesday	12:09 PM	12:28 PM	19	Network	Ethernet in grad lounge not working at two ports	Logged and escalated to network team	Yes	
TKT-5530	2025-12-08	Monday	12:06 PM	12:45 PM	39	Software	Student presentation file (.pptx) not opening in PowerPoint Online	Converted file locally, re-uploaded, confirmed opened correctly	No	File had embedded fonts that caused the issue
TKT-5531	2025-12-08	Monday	1:19 PM	2:03 PM	44	Account Access	Graduating student needs account extension through January	Submitted account extension request to admin, approved same day	Yes	
TKT-5532	2025-12-10	Wednesday	12:11 PM	12:29 PM	18	Hardware	Headphone jack on lab machine CS-Lab-09 not working	Confirmed hardware fault, tagged for repair, offered workaround with USB adapter	No	
