id,event_id,name,quantity_total,quantity_sold,cost,fee,free,sales_start,sales_end
tc_holiday_general,917463829105,General Admission,150,58,0,0,true,2026-09-01T10:00:00Z,2026-12-10T23:00:00Z
tc_holiday_family,917463829105,Family Pass,40,16,0,0,true,2026-09-01T10:00:00Z,2026-12-10T23:00:00Z
tc_9201_1,917463829201,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-25T05:00:00Z
tc_9201_2,917463829201,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-25T05:00:00Z
tc_9202_1,917463829202,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-12T23:00:00Z
tc_9202_2,917463829202,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-12T23:00:00Z
tc_9203_1,917463829203,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-06T01:30:00Z
tc_9203_2,917463829203,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-06T01:30:00Z
tc_9203_3,917463829203,Family Pass,10,5,0,0,true,2026-09-01T10:00:00Z,2026-12-06T01:30:00Z
tc_9204_1,917463829204,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-06T18:00:00Z
tc_9204_2,917463829204,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-06T18:00:00Z
tc_9205_1,917463829205,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-21T01:00:00Z
tc_9205_2,917463829205,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-21T01:00:00Z
tc_9206_1,917463829206,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-13T17:30:00Z
tc_9206_2,917463829206,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-13T17:30:00Z
tc_9206_3,917463829206,Family Pass,10,5,0,0,true,2026-09-01T10:00:00Z,2026-12-13T17:30:00Z
tc_9207_1,917463829207,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-19T04:00:00Z
tc_9207_2,917463829207,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-19T04:00:00Z
tc_9208_1,917463829208,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-12-22T20:00:00Z
tc_9208_2,917463829208,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-12-22T20:00:00Z
tc_9208_3,917463829208,Family Pass,10,5,0,0,true,2026-09-01T10:00:00Z,2026-12-22T20:00:00Z
tc_9209_1,917463829209,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-11-24T19:00:00Z
tc_9209_2,917463829209,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-11-24T19:00:00Z
tc_9210_1,917463829210,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-11-26T19:00:00Z
tc_9211_1,917463829211,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-11-29T18:30:00Z
tc_9212_1,917463829212,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-11-01T18:30:00Z
tc_9213_1,917463829213,General,80,60,0,0,true,2026-09-01T10:00:00Z,2026-11-26T21:00:00Z
tc_9213_2,917463829213,Reserved,20,10,0,0,true,2026-09-01T10:00:00Z,2026-11-26T21:00:00Z
