id,name,is_private,is_archived,topic,purpose,creator,created,num_members
C001,general,false,false,General announcements,Company-wide channel,U_AARON,2020-01-01,28
C002,original-kitchen,false,false,Original location kitchen,Kitchen operations,U_ANDREAS,2020-01-01,8
C003,alt19-kitchen,false,false,Alt 19 kitchen,Alt 19 operations,U_MARIA,2019-09-01,10
C004,management,true,false,Management discussions,Managers only,U_AARON,2020-01-01,5
C005,property-updates,true,false,Rental properties,Property management,U_AARON,2020-06-01,2
C006,events-catering,false,false,Events and catering,Party and event planning,U_MARIA,2021-03-01,8
C007,health-safety,false,false,Health and safety,Compliance and safety,U_AARON,2020-01-01,28
C100,channel-0,false,false,Topic 0,Purpose 0,U_AARON,2020-01-01,10
C101,channel-1,false,false,Topic 1,Purpose 1,U_AARON,2020-01-01,2
C102,channel-2,false,false,Topic 2,Purpose 2,U_AARON,2020-01-01,9
C103,channel-3,false,false,Topic 3,Purpose 3,U_AARON,2020-01-01,12
C104,channel-4,false,false,Topic 4,Purpose 4,U_AARON,2020-01-01,13
C105,channel-5,false,false,Topic 5,Purpose 5,U_AARON,2020-01-01,8
C106,channel-6,false,false,Topic 6,Purpose 6,U_AARON,2020-01-01,2
C107,channel-7,false,false,Topic 7,Purpose 7,U_AARON,2020-01-01,15
C108,channel-8,false,false,Topic 8,Purpose 8,U_AARON,2020-01-01,11
C109,channel-9,false,false,Topic 9,Purpose 9,U_AARON,2020-01-01,12
C110,channel-10,false,false,Topic 10,Purpose 10,U_AARON,2020-01-01,3
C111,channel-11,false,false,Topic 11,Purpose 11,U_AARON,2020-01-01,9
C112,channel-12,false,false,Topic 12,Purpose 12,U_AARON,2020-01-01,3
C113,channel-13,false,false,Topic 13,Purpose 13,U_AARON,2020-01-01,13
C114,channel-14,false,false,Topic 14,Purpose 14,U_AARON,2020-01-01,6
C115,channel-15,false,false,Topic 15,Purpose 15,U_AARON,2020-01-01,4
C116,channel-16,false,false,Topic 16,Purpose 16,U_AARON,2020-01-01,14
C117,channel-17,false,false,Topic 17,Purpose 17,U_AARON,2020-01-01,6
C118,channel-18,false,false,Topic 18,Purpose 18,U_AARON,2020-01-01,4
C119,channel-19,false,false,Topic 19,Purpose 19,U_AARON,2020-01-01,6
C120,channel-20,false,false,Topic 20,Purpose 20,U_AARON,2020-01-01,6
C121,channel-21,false,false,Topic 21,Purpose 21,U_AARON,2020-01-01,15
C122,channel-22,false,false,Topic 22,Purpose 22,U_AARON,2020-01-01,7
C123,channel-23,false,false,Topic 23,Purpose 23,U_AARON,2020-01-01,14
C124,channel-24,false,false,Topic 24,Purpose 24,U_AARON,2020-01-01,5
C125,channel-25,false,false,Topic 25,Purpose 25,U_AARON,2020-01-01,6
C126,channel-26,false,false,Topic 26,Purpose 26,U_AARON,2020-01-01,7
C127,channel-27,false,false,Topic 27,Purpose 27,U_AARON,2020-01-01,12
C128,channel-28,false,false,Topic 28,Purpose 28,U_AARON,2020-01-01,8
C129,channel-29,false,false,Topic 29,Purpose 29,U_AARON,2020-01-01,12
C130,channel-30,false,false,Topic 30,Purpose 30,U_AARON,2020-01-01,14
C131,channel-31,false,false,Topic 31,Purpose 31,U_AARON,2020-01-01,13
C132,channel-32,false,false,Topic 32,Purpose 32,U_AARON,2020-01-01,10
C133,channel-33,false,false,Topic 33,Purpose 33,U_AARON,2020-01-01,5
C134,channel-34,false,false,Topic 34,Purpose 34,U_AARON,2020-01-01,4
C135,channel-35,false,false,Topic 35,Purpose 35,U_AARON,2020-01-01,12
C136,channel-36,false,false,Topic 36,Purpose 36,U_AARON,2020-01-01,10
C137,channel-37,false,false,Topic 37,Purpose 37,U_AARON,2020-01-01,5
C138,channel-38,false,false,Topic 38,Purpose 38,U_AARON,2020-01-01,12
C139,channel-39,false,false,Topic 39,Purpose 39,U_AARON,2020-01-01,15
C140,channel-40,false,false,Topic 40,Purpose 40,U_AARON,2020-01-01,4
C141,channel-41,false,false,Topic 41,Purpose 41,U_AARON,2020-01-01,12
C142,channel-42,false,false,Topic 42,Purpose 42,U_AARON,2020-01-01,7
C143,channel-43,false,false,Topic 43,Purpose 43,U_AARON,2020-01-01,13
C144,channel-44,false,false,Topic 44,Purpose 44,U_AARON,2020-01-01,8
C145,channel-45,false,false,Topic 45,Purpose 45,U_AARON,2020-01-01,7
C146,channel-46,false,false,Topic 46,Purpose 46,U_AARON,2020-01-01,14
C147,channel-47,false,false,Topic 47,Purpose 47,U_AARON,2020-01-01,2
C148,channel-48,false,false,Topic 48,Purpose 48,U_AARON,2020-01-01,2
C149,channel-49,false,false,Topic 49,Purpose 49,U_AARON,2020-01-01,12
C150,channel-50,false,false,Topic 50,Purpose 50,U_AARON,2020-01-01,2
C151,channel-51,false,false,Topic 51,Purpose 51,U_AARON,2020-01-01,3
C152,channel-52,false,false,Topic 52,Purpose 52,U_AARON,2020-01-01,9
C153,channel-53,false,false,Topic 53,Purpose 53,U_AARON,2020-01-01,7
C154,channel-54,false,false,Topic 54,Purpose 54,U_AARON,2020-01-01,14
C155,channel-55,false,false,Topic 55,Purpose 55,U_AARON,2020-01-01,5
C156,channel-56,false,false,Topic 56,Purpose 56,U_AARON,2020-01-01,3
C157,channel-57,false,false,Topic 57,Purpose 57,U_AARON,2020-01-01,3
C158,channel-58,false,false,Topic 58,Purpose 58,U_AARON,2020-01-01,13
C159,channel-59,false,false,Topic 59,Purpose 59,U_AARON,2020-01-01,5
C160,channel-60,false,false,Topic 60,Purpose 60,U_AARON,2020-01-01,8
C161,channel-61,false,false,Topic 61,Purpose 61,U_AARON,2020-01-01,13
C162,channel-62,false,false,Topic 62,Purpose 62,U_AARON,2020-01-01,5
C163,channel-63,false,false,Topic 63,Purpose 63,U_AARON,2020-01-01,9
C164,channel-64,false,false,Topic 64,Purpose 64,U_AARON,2020-01-01,11
C165,channel-65,false,false,Topic 65,Purpose 65,U_AARON,2020-01-01,6
C166,channel-66,false,false,Topic 66,Purpose 66,U_AARON,2020-01-01,15
