id,sermon_title,preacher,service_date,duration_min,video_upload_date,video_status,site_published_status,site_publish_date,tags
SR-0001,Advent Devotional Week One 2025,Pastor James Whitlow,2025-11-30,24,2025-12-03,uploaded,published,2025-12-06,sermon;devotional;advent_devotional
SR-0002,Advent Devotional Week Two 2025,Pastor James Whitlow,2025-12-07,23,2025-12-11,uploaded,published,2025-12-13,sermon;devotional;advent_devotional
SR-0003,Advent Devotional Week Three 2025,Pastor James Whitlow,2025-12-14,26,2025-12-17,uploaded,published,2025-12-17,sermon;devotional;advent_devotional
SR-0004,Advent Devotional Week Four 2025,Pastor James Whitlow,2025-12-21,20,2025-12-22,uploaded,published,2025-12-24,sermon;devotional;advent_devotional
SR-0005,A New Year in the Lord's Hands,Pastor James Whitlow,2026-01-04,28,2026-01-07,uploaded,published,2026-01-07,sermon;sunday
SR-0006,The Steady Faith of Simeon,Pastor James Whitlow,2026-01-11,32,2026-01-15,uploaded,published,2026-01-14,sermon;sunday
SR-0007,Salt of the Earth,Pastor James Whitlow,2026-01-18,31,2026-01-20,uploaded,published,2026-01-25,sermon;sunday
SR-0008,The Weight of Small Kindnesses,Pastor James Whitlow,2026-01-25,30,2026-01-28,uploaded,published,2026-01-27,sermon;sunday
SR-0009,Endurance Under Winter Skies,Pastor James Whitlow,2026-02-01,33,2026-02-04,uploaded,published,2026-02-03,sermon;sunday
SR-0010,Return of the Prodigal,Pastor James Whitlow,2026-02-08,36,2026-02-09,uploaded,published,2026-02-13,sermon;sunday
SR-0011,Ash Wednesday Reflection,Pastor James Whitlow,2026-02-15,32,2026-02-16,uploaded,published,2026-02-17,sermon;sunday
SR-0012,A House Built on Rock,Pastor James Whitlow,2026-02-22,37,2026-02-23,uploaded,published,2026-02-25,sermon;sunday
SR-0013,The Long Walk of Lent,Pastor James Whitlow,2026-03-01,30,2026-03-02,uploaded,published,2026-03-08,sermon;sunday
SR-0014,Midweek Prayer Lenten Reflection,Elder Bud Osteen,2026-03-04,23,,not_uploaded,not_published,,midweek;audio_only
SR-0015,Palm Sunday and the Coming King,Pastor James Whitlow,2026-03-08,34,2026-03-10,uploaded,published,2026-03-10,sermon;sunday
SR-0016,Good Friday Silence,Guest Preacher Rev. Alton Kirkpatrick,2026-03-15,37,2026-03-16,uploaded,published,2026-03-20,sermon;sunday
SR-0017,Easter Sunday Rising,Pastor James Whitlow,2026-03-22,40,2026-03-26,uploaded,published,2026-03-29,sermon;sunday
SR-0018,The Road to Emmaus,Pastor James Whitlow,2026-03-29,44,2026-03-31,uploaded,published,2026-04-01,sermon;sunday
SR-0019,Midweek Prayer Easter Vigil,Elder Bud Osteen,2026-04-01,28,,not_uploaded,not_published,,midweek;audio_only
SR-0020,Peter and the Charcoal Fire,Pastor James Whitlow,2026-04-05,30,2026-04-08,uploaded,published,2026-04-11,sermon;sunday
SR-0021,What the Vine Requires,Pastor James Whitlow,2026-04-12,28,2026-04-13,uploaded,published,2026-04-17,sermon;sunday
SR-0022,Pentecost and the Rushing Wind,Pastor James Whitlow,2026-04-19,38,2026-04-20,uploaded,published,2026-04-24,sermon;sunday
SR-0023,Trinity Sunday,Pastor James Whitlow,2026-04-26,38,2026-04-29,uploaded,published,2026-04-28,sermon;sunday
SR-0024,On Grace and Grit,Pastor James Whitlow,2026-05-03,31,2026-05-06,uploaded,published,2026-05-06,sermon;sunday
SR-0025,Fatherhood According to Joseph,Pastor James Whitlow,2026-05-10,28,2026-05-11,uploaded,published,2026-05-13,sermon;sunday
SR-0026,Kingdom Small as a Seed,Pastor James Whitlow,2026-05-17,36,2026-05-21,uploaded,published,2026-05-19,sermon;sunday
SR-0027,Independence and Repentance,Pastor James Whitlow,2026-05-31,30,2026-06-01,uploaded,published,2026-06-04,sermon;sunday
SR-0028,Loaves and Fishes,Pastor James Whitlow,2026-06-07,32,2026-06-09,uploaded,published,2026-06-09,sermon;sunday
SR-0029,The Bread of Life,Pastor James Whitlow,2026-06-14,42,2026-06-18,uploaded,published,2026-06-19,sermon;sunday
SR-0030,What Kentucky Farmers Know,Guest Preacher Rev. Odell Cauthen,2026-06-21,44,2026-06-22,uploaded,published,2026-06-25,sermon;sunday
SR-0031,Midweek Prayer Summer Series One,Elder Bud Osteen,2026-06-24,29,,not_uploaded,not_published,,midweek;audio_only
SR-0032,The Word Made Flesh in Everyday Work,Pastor James Whitlow,2026-06-28,29,2026-07-01,uploaded,published,2026-06-30,sermon;sunday
SR-0033,Back to School with the Beatitudes,Pastor James Whitlow,2026-07-05,43,2026-07-07,uploaded,published,2026-07-12,sermon;sunday
SR-0034,A Cup of Cold Water,Pastor James Whitlow,2026-07-12,39,2026-07-13,uploaded,published,2026-07-17,sermon;sunday
SR-0035,The Faithful Steward,Pastor James Whitlow,2026-07-19,39,2026-07-20,uploaded,published,2026-07-23,sermon;sunday
SR-0036,Midweek Prayer Summer Series Two,Elder Bud Osteen,2026-07-22,24,,not_uploaded,not_published,,midweek;audio_only
SR-0037,Harvest and Gratitude,Pastor James Whitlow,2026-07-26,30,2026-07-27,uploaded,published,2026-07-30,sermon;sunday
SR-0038,Autumn of the Soul,Pastor James Whitlow,2026-08-02,41,2026-08-06,uploaded,published,2026-08-07,sermon;sunday
SR-0039,The Widow's Two Coins,Pastor James Whitlow,2026-08-09,33,2026-08-10,uploaded,published,2026-08-11,sermon;sunday
SR-0040,Elijah on the Mountain,Pastor James Whitlow,2026-08-16,39,2026-08-19,uploaded,published,2026-08-20,sermon;sunday
SR-0041,On Forgiving Seven Times Seventy,Pastor James Whitlow,2026-08-23,44,2026-08-26,uploaded,published,2026-08-28,sermon;sunday
SR-0042,Ruth in a Foreign Field,Pastor James Whitlow,2026-08-30,33,2026-08-31,uploaded,published,2026-09-06,sermon;sunday
SR-0043,What the Prophets Would Say Now,Pastor James Whitlow,2026-09-06,32,2026-09-09,uploaded,published,2026-09-12,sermon;sunday
SR-0044,The Quiet Work of the Spirit,Pastor James Whitlow,2026-09-13,37,2026-09-16,uploaded,published,2026-09-16,sermon;sunday
SR-0045,Midweek Prayer Fall Series One,Elder Bud Osteen,2026-09-16,23,,not_uploaded,not_published,,midweek;audio_only
SR-0046,A Farmer's Almanac and Providence,Pastor James Whitlow,2026-09-20,44,2026-09-21,uploaded,published,2026-09-25,sermon;sunday
SR-0047,What Baptism Still Means,Pastor James Whitlow,2026-09-27,39,2026-09-30,uploaded,published,2026-09-30,sermon;sunday
SR-0048,Autumn Communion,Pastor James Whitlow,2026-10-04,35,2026-10-06,uploaded,not_published,,sermon;sunday;pending_review
SR-0049,Preparing the Way,Pastor James Whitlow,2026-10-11,32,2026-10-13,uploaded,not_published,,sermon;sunday
