date,description,category,amount_usd
2026-09-02,Sunday school workbook,Naomi,12.95
2026-09-04,Marcus basketball shoes,Marcus,64.0
2026-09-07,"Birthday gift, niece in Atlanta",Keisha family,35.0
2026-09-08,Naomi orchestra reed pack,Naomi,18.75
2026-09-11,Pharmacy refill copay,household,22.0
2026-09-12,Saturday family dinner takeout,household,48.2
2026-09-14,Naomi school field trip permission and fee,Naomi,25.0
2026-09-15,Marcus reading workbook supplemental,Marcus,14.5
2026-09-16,Replacement headphones for Naomi,Naomi,39.99
2026-09-18,Birthday card box from the stationery store,household,15.4
2026-09-19,Marcus cleats outgrown replacement,Marcus,52.0
2026-09-21,Sunday dinner ingredients above weekly,household,33.6
2026-09-23,Naomi sheet music order,Naomi,27.5
2026-09-25,School supplies refill,household,41.2
2026-09-26,Pharmacy second refill,household,18.0
2026-09-28,"Sunday dinner takeout, busy week",household,52.1
