last_seen	item	location
2025-12	AA batteries pack 12	kitchen junk drawer
2025-12	spare keys, garage	kitchen junk drawer
2026-01	phone charging cables x3	kitchen junk drawer
2026-01	screwdriver Phillips small	kitchen junk drawer
2026-02	tape measure 16ft	kitchen junk drawer
2026-02	rubber bands assorted	kitchen junk drawer
2026-03	permanent markers black x4	kitchen junk drawer
2026-03	Sharpie silver	kitchen junk drawer
2026-04	loose stamps booklet partial	kitchen junk drawer
2026-05	household emergency contacts laminated card	kitchen junk drawer
2026-06	spare flashlight Maglite	kitchen junk drawer
2026-07	twist ties bundle	kitchen junk drawer
2026-08	extension cord 6ft brown	kitchen junk drawer
2026-09	AAA batteries pack 8	kitchen junk drawer
