tableId,id,name,type
tblStudents000001,fldStudentNm00001,Name,singleLineText
tblStudents000001,fldStudentEml00001,Email,email
tblStudents000001,fldStudentCls00001,Classes,singleLineText
tblStudents000001,fldStudentPay00001,PaymentRail,singleLineText
tblStudents000001,fldStudentSt00001,Status,singleSelect
tblStudents000001,fldStudentJn00001,Joined,date
tblStudents000001,fldStudentSC00001,ShowcaseRoutine,singleLineText
tblStudents000001,fldStudentMm00001,Memo,singleLineText
tblRoutines000001,fldRoutineNm00001,Name,singleLineText
tblRoutines000001,fldRoutineLd00001,Lead,singleLineText
tblRoutines000001,fldRoutineDc00001,Dancers,singleLineText
tblRoutines000001,fldRoutineDr00001,DurationSec,number
tblRoutines000001,fldRoutineMs00001,MusicStatus,singleLineText
tblRoutines000001,fldRoutineCs00001,CostumeStatus,singleLineText
tblRoutines000001,fldRoutineRb00001,RehearsalBlocks,number
tblCostumes000001,fldCostumeNm00001,Student,singleLineText
tblCostumes000001,fldCostumeSt00001,Status,singleSelect
tblCostumes000001,fldCostumeCp00001,CoPayUsd,number
tblStudents000001-e001,fldStudentNm00001-e001,Name,singleLineText
tblStudents000001-e001,fldStudentEml00001-e001,Email,email
tblStudents000001-e001,fldStudentCls00001-e001,Classes,singleLineText
tblStudents000001-e001,fldStudentPay00001-e001,PaymentRail,singleLineText
tblStudents000001-e001,fldStudentSt00001-e001,Status,singleSelect
tblStudents000001-e001,fldStudentJn00001-e001,Joined,date
tblStudents000001-e001,fldStudentSC00001-e001,ShowcaseRoutine,singleLineText
tblStudents000001-e001,fldStudentMm00001-e001,Memo,singleLineText
tblRoutines000001-e001,fldRoutineNm00001-e001,Name,singleLineText
tblRoutines000001-e001,fldRoutineLd00001-e001,Lead,singleLineText
tblRoutines000001-e001,fldRoutineDc00001-e001,Dancers,singleLineText
tblRoutines000001-e001,fldRoutineDr00001-e001,DurationSec,number
tblRoutines000001-e001,fldRoutineMs00001-e001,MusicStatus,singleLineText
tblRoutines000001-e001,fldRoutineCs00001-e001,CostumeStatus,singleLineText
tblRoutines000001-e001,fldRoutineRb00001-e001,RehearsalBlocks,number
tblCostumes000001-e001,fldCostumeNm00001-e001,Student,singleLineText
tblCostumes000001-e001,fldCostumeSt00001-e001,Status,singleSelect
tblCostumes000001-e001,fldCostumeCp00001-e001,CoPayUsd,number
tblStudents000001-e002,fldStudentNm00001-e002,Name,singleLineText
tblStudents000001-e002,fldStudentEml00001-e002,Email,email
tblStudents000001-e002,fldStudentCls00001-e002,Classes,singleLineText
tblStudents000001-e002,fldStudentPay00001-e002,PaymentRail,singleLineText
tblStudents000001-e002,fldStudentSt00001-e002,Status,singleSelect
tblStudents000001-e002,fldStudentJn00001-e002,Joined,date
tblStudents000001-e002,fldStudentSC00001-e002,ShowcaseRoutine,singleLineText
tblStudents000001-e002,fldStudentMm00001-e002,Memo,singleLineText
tblRoutines000001-e002,fldRoutineNm00001-e002,Name,singleLineText
tblRoutines000001-e002,fldRoutineLd00001-e002,Lead,singleLineText
tblRoutines000001-e002,fldRoutineDc00001-e002,Dancers,singleLineText
tblRoutines000001-e002,fldRoutineDr00001-e002,DurationSec,number
tblRoutines000001-e002,fldRoutineMs00001-e002,MusicStatus,singleLineText
tblRoutines000001-e002,fldRoutineCs00001-e002,CostumeStatus,singleLineText
tblRoutines000001-e002,fldRoutineRb00001-e002,RehearsalBlocks,number
tblCostumes000001-e002,fldCostumeNm00001-e002,Student,singleLineText
tblCostumes000001-e002,fldCostumeSt00001-e002,Status,singleSelect
tblCostumes000001-e002,fldCostumeCp00001-e002,CoPayUsd,number
tblStudents000001-e003,fldStudentNm00001-e003,Name,singleLineText
tblStudents000001-e003,fldStudentEml00001-e003,Email,email
tblStudents000001-e003,fldStudentCls00001-e003,Classes,singleLineText
tblStudents000001-e003,fldStudentPay00001-e003,PaymentRail,singleLineText
tblStudents000001-e003,fldStudentSt00001-e003,Status,singleSelect
tblStudents000001-e003,fldStudentJn00001-e003,Joined,date
tblStudents000001-e003,fldStudentSC00001-e003,ShowcaseRoutine,singleLineText
tblStudents000001-e003,fldStudentMm00001-e003,Memo,singleLineText
tblRoutines000001-e003,fldRoutineNm00001-e003,Name,singleLineText
tblRoutines000001-e003,fldRoutineLd00001-e003,Lead,singleLineText
tblRoutines000001-e003,fldRoutineDc00001-e003,Dancers,singleLineText
tblRoutines000001-e003,fldRoutineDr00001-e003,DurationSec,number
tblRoutines000001-e003,fldRoutineMs00001-e003,MusicStatus,singleLineText
tblRoutines000001-e003,fldRoutineCs00001-e003,CostumeStatus,singleLineText
tblRoutines000001-e003,fldRoutineRb00001-e003,RehearsalBlocks,number
tblCostumes000001-e003,fldCostumeNm00001-e003,Student,singleLineText
tblCostumes000001-e003,fldCostumeSt00001-e003,Status,singleSelect
tblCostumes000001-e003,fldCostumeCp00001-e003,CoPayUsd,number
tblStudents000001-e004,fldStudentNm00001-e004,Name,singleLineText
tblStudents000001-e004,fldStudentEml00001-e004,Email,email
tblStudents000001-e004,fldStudentCls00001-e004,Classes,singleLineText
tblStudents000001-e004,fldStudentPay00001-e004,PaymentRail,singleLineText
tblStudents000001-e004,fldStudentSt00001-e004,Status,singleSelect
tblStudents000001-e004,fldStudentJn00001-e004,Joined,date
tblStudents000001-e004,fldStudentSC00001-e004,ShowcaseRoutine,singleLineText
tblStudents000001-e004,fldStudentMm00001-e004,Memo,singleLineText
