month	bge_kwh	bge_therms	avg_indoor_F	thermostat_setpoint	bge_cost	note
2025-01	930	142	68	68	301.40	cold snap
2025-02	880	131	68	68	286.10	
2025-03	760	96	69	68	243.55	
2025-04	690	58	70	67	198.20	
2025-05	705	20	72	66	171.30	AC start
2025-06	910	8	74	66	214.75	
2025-07	1040	6	74	66	258.90	heat wave
2025-08	1010	6	74	66	251.60	
2025-09	820	14	72	67	209.30	
2025-10	700	61	70	68	205.85	furnace short cycling
2025-11	845	118	68	68	276.40	tech visit, 2008 unit aging
2025-12	905	150	68	68	312.70	uneven heat upstairs
2026-01	948	156	68	68	326.15	replacement quote pending
2026-02	870	134	68	68	289.05	
