artwork_id	artist	title	medium	dimensions	year	price	exhibition	location	status
ME-1041	Sarah Nelson	Reflection Pool #2	Photography	30 x 40 in	2025	3200	Water Memory	Archive	Sold
ME-1042	Sarah Nelson	Watershed Study	Installation	Variable	2026	14500	Water Memory	Archive	Sold
ME-1043	Sarah Nelson	Tidal Index	Photography	24 x 30 in	2025	2800	Water Memory	Archive	Sold
ME-1044	Sarah Nelson	Acequia I	Photography	20 x 24 in	2025	1800	Water Memory	Flat file	Available
ME-1045	Sarah Nelson	Acequia II	Photography	20 x 24 in	2025	1800	Water Memory	Flat file	Available
ME-1052	James Ortega	Desert Frequency III	Painting	48 x 36 in	2026	4800	Grounding	Archive	Sold
ME-1053	James Ortega	Desert Frequency IV	Painting	48 x 36 in	2026	5200	Grounding	Main wall	Available
ME-1054	James Ortega	Desert Frequency V	Painting	60 x 48 in	2026	5400	Grounding	Archive	Sold
ME-1061	Maria Chen	Thread Memory #7	Textile	40 x 30 in	2026	2100	Interwoven	Archive	Sold
ME-1062	Maria Chen	Thread Memory #9	Textile	44 x 32 in	2026	2400	Interwoven	Archive	Sold
ME-1063	Maria Chen	Thread Memory #10	Textile	44 x 32 in	2026	2400	Interwoven	Textile rack	Available
ME-1071	Daniel Hsu	Vessel Study I	Ceramics	14 in tall	2025	1400	Quiet Inventory	Archive	Sold
ME-1072	Daniel Hsu	Untitled Bowl	Ceramics	9 in wide	2026	850	Grounding	Archive	Sold
ME-1081	Tom Becker	Arroyo Light	Photography	24 x 30 in	2025	1200	Field Notes	Archive	Sold
ME-1082	Tom Becker	North Diversion	Photography	24 x 30 in	2025	1200	Field Notes	Flat file	Available
