device_id,zone_id,zone_name,sensitivity,enabled,coordinates
dev_001,z1,Front Yard,5,enabled,"[(0,0),(100,100)]"
dev_001,z2,Driveway,5,enabled,"[(0,0),(50,100)]"
dev_004,z3,Zone 0,5,enabled,"[(0,0),(64,190)]"
dev_003,z4,Zone 1,5,enabled,"[(0,0),(173,187)]"
dev_005,z5,Zone 2,5,enabled,"[(0,0),(96,59)]"
dev_002,z6,Zone 3,5,enabled,"[(0,0),(112,171)]"
dev_001,z7,Zone 4,5,enabled,"[(0,0),(189,146)]"
dev_005,z8,Zone 5,5,enabled,"[(0,0),(128,75)]"
dev_005,z9,Zone 6,5,enabled,"[(0,0),(60,162)]"
dev_002,z10,Zone 7,5,enabled,"[(0,0),(181,122)]"
dev_004,z11,Zone 8,5,enabled,"[(0,0),(171,159)]"
dev_004,z12,Zone 9,5,enabled,"[(0,0),(187,172)]"
dev_003,z13,Zone 10,5,enabled,"[(0,0),(193,165)]"
dev_003,z14,Zone 11,5,enabled,"[(0,0),(160,184)]"
dev_005,z15,Zone 12,5,enabled,"[(0,0),(177,178)]"
dev_004,z16,Zone 13,5,enabled,"[(0,0),(53,158)]"
dev_005,z17,Zone 14,5,enabled,"[(0,0),(171,102)]"
dev_005,z18,Zone 15,5,enabled,"[(0,0),(63,158)]"
dev_002,z19,Zone 16,5,enabled,"[(0,0),(121,124)]"
dev_001,z20,Zone 17,5,enabled,"[(0,0),(175,165)]"
dev_005,z21,Zone 18,5,enabled,"[(0,0),(81,125)]"
dev_003,z22,Zone 19,5,enabled,"[(0,0),(79,192)]"
dev_005,z23,Zone 20,5,enabled,"[(0,0),(156,143)]"
dev_001,z24,Zone 21,5,enabled,"[(0,0),(137,168)]"
dev_005,z25,Zone 22,5,enabled,"[(0,0),(75,170)]"
dev_003,z26,Zone 23,5,enabled,"[(0,0),(153,143)]"
dev_001,z27,Zone 24,5,enabled,"[(0,0),(150,175)]"
dev_004,z28,Zone 25,5,enabled,"[(0,0),(196,186)]"
dev_001,z29,Zone 26,5,enabled,"[(0,0),(64,100)]"
dev_005,z30,Zone 27,5,enabled,"[(0,0),(167,139)]"
dev_003,z31,Zone 28,5,enabled,"[(0,0),(197,154)]"
dev_003,z32,Zone 29,5,enabled,"[(0,0),(74,123)]"
dev_002,z33,Zone 30,5,enabled,"[(0,0),(176,58)]"
dev_003,z34,Zone 31,5,enabled,"[(0,0),(71,64)]"
dev_001,z35,Zone 32,5,enabled,"[(0,0),(117,63)]"
dev_002,z36,Zone 33,5,enabled,"[(0,0),(63,104)]"
dev_004,z37,Zone 34,5,enabled,"[(0,0),(170,179)]"
dev_005,z38,Zone 35,5,enabled,"[(0,0),(111,130)]"
dev_002,z39,Zone 36,5,enabled,"[(0,0),(180,161)]"
dev_002,z40,Zone 37,5,enabled,"[(0,0),(141,117)]"
dev_003,z41,Zone 38,5,enabled,"[(0,0),(75,170)]"
dev_002,z42,Zone 39,5,enabled,"[(0,0),(191,54)]"
dev_001,z43,Zone 40,5,enabled,"[(0,0),(62,127)]"
dev_003,z44,Zone 41,5,enabled,"[(0,0),(134,134)]"
dev_004,z45,Zone 42,5,enabled,"[(0,0),(200,160)]"
dev_005,z46,Zone 43,5,enabled,"[(0,0),(129,79)]"
dev_001,z47,Zone 44,5,enabled,"[(0,0),(155,90)]"
dev_004,z48,Zone 45,5,enabled,"[(0,0),(112,88)]"
dev_002,z49,Zone 46,5,enabled,"[(0,0),(55,106)]"
dev_005,z50,Zone 47,5,enabled,"[(0,0),(68,151)]"
dev_003,z51,Zone 48,5,enabled,"[(0,0),(184,198)]"
dev_005,z52,Zone 49,5,enabled,"[(0,0),(154,165)]"
dev_004,z53,Zone 50,5,enabled,"[(0,0),(62,124)]"
dev_005,z54,Zone 51,5,enabled,"[(0,0),(123,136)]"
dev_004,z55,Zone 52,5,enabled,"[(0,0),(52,128)]"
dev_001,z56,Zone 53,5,enabled,"[(0,0),(145,50)]"
dev_001,z57,Zone 54,5,enabled,"[(0,0),(99,70)]"
dev_004,z58,Zone 55,5,enabled,"[(0,0),(154,150)]"
dev_003,z59,Zone 56,5,enabled,"[(0,0),(64,169)]"
dev_003,z60,Zone 57,5,enabled,"[(0,0),(158,55)]"
dev_005,z61,Zone 58,5,enabled,"[(0,0),(197,191)]"
dev_001,z62,Zone 59,5,enabled,"[(0,0),(87,180)]"
dev_005,z63,Zone 60,5,enabled,"[(0,0),(106,193)]"
dev_001,z64,Zone 61,5,enabled,"[(0,0),(164,104)]"
dev_002,z65,Zone 62,5,enabled,"[(0,0),(200,63)]"
dev_004,z66,Zone 63,5,enabled,"[(0,0),(67,184)]"
dev_004,z67,Zone 64,5,enabled,"[(0,0),(173,74)]"
dev_002,z68,Zone 65,5,enabled,"[(0,0),(169,97)]"
dev_002,z69,Zone 66,5,enabled,"[(0,0),(184,158)]"
dev_001,z70,Zone 67,5,enabled,"[(0,0),(56,55)]"
dev_005,z71,Zone 68,5,enabled,"[(0,0),(156,118)]"
dev_003,z72,Zone 69,5,enabled,"[(0,0),(95,139)]"
dev_004,z73,Zone 70,5,enabled,"[(0,0),(144,104)]"
dev_002,z74,Zone 71,5,enabled,"[(0,0),(103,149)]"
dev_005,z75,Zone 72,5,enabled,"[(0,0),(141,191)]"
dev_002,z76,Zone 73,5,enabled,"[(0,0),(158,69)]"
dev_004,z77,Zone 74,5,enabled,"[(0,0),(184,146)]"
dev_003,z78,Zone 75,5,enabled,"[(0,0),(122,114)]"
dev_004,z79,Zone 76,5,enabled,"[(0,0),(159,69)]"
dev_001,z80,Zone 77,5,enabled,"[(0,0),(75,114)]"
dev_005,z81,Zone 78,5,enabled,"[(0,0),(159,92)]"
dev_002,z82,Zone 79,5,enabled,"[(0,0),(159,153)]"
dev_005,z83,Zone 80,5,enabled,"[(0,0),(92,86)]"
dev_001,z84,Zone 81,5,enabled,"[(0,0),(73,137)]"
dev_004,z85,Zone 82,5,enabled,"[(0,0),(75,157)]"
dev_005,z86,Zone 83,5,enabled,"[(0,0),(121,83)]"
dev_005,z87,Zone 84,5,enabled,"[(0,0),(154,88)]"
