id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
seg_0000,Segment 0,Run,2458,3.4,8.8,233,114,3,Kettering,Ohio
seg_0001,Segment 1,Ride,2749,1.1,12.6,203,123,1,Kettering,Ohio
seg_0002,Segment 2,Run,929,6.4,4.1,311,198,2,Kettering,Ohio
seg_0003,Segment 3,Run,3149,1.8,2.8,223,138,4,Kettering,Ohio
seg_0004,Segment 4,Ride,804,4.9,14.3,221,102,3,Kettering,Ohio
seg_0005,Segment 5,Ride,1987,7.6,12.3,388,122,2,Kettering,Ohio
seg_0006,Segment 6,Ride,758,1.8,7.0,378,128,3,Kettering,Ohio
seg_0007,Segment 7,Ride,3575,0.5,3.6,378,196,3,Kettering,Ohio
seg_0008,Segment 8,Ride,519,2.6,2.5,256,146,3,Kettering,Ohio
seg_0009,Segment 9,Ride,3004,7.0,14.7,327,167,4,Kettering,Ohio
seg_0010,Segment 10,Run,4022,3.8,2.1,321,190,0,Kettering,Ohio
seg_0011,Segment 11,Run,2236,4.2,9.6,339,102,2,Kettering,Ohio
seg_0012,Segment 12,Run,2328,3.5,14.1,343,196,4,Kettering,Ohio
seg_0013,Segment 13,Ride,1075,7.2,5.8,371,195,1,Kettering,Ohio
seg_0014,Segment 14,Run,4839,7.7,6.9,240,114,3,Kettering,Ohio
seg_0015,Segment 15,Ride,3763,5.8,0.7,227,124,4,Kettering,Ohio
seg_0016,Segment 16,Ride,3746,3.3,14.7,207,112,2,Kettering,Ohio
seg_0017,Segment 17,Run,3746,2.9,13.7,208,104,4,Kettering,Ohio
seg_0018,Segment 18,Run,1866,0.5,1.3,365,167,1,Kettering,Ohio
seg_0019,Segment 19,Ride,1253,1.5,2.5,386,169,1,Kettering,Ohio
seg_0020,Segment 20,Run,2401,7.2,0.8,308,149,3,Kettering,Ohio
seg_0021,Segment 21,Ride,4079,2.7,13.4,201,128,0,Kettering,Ohio
seg_0022,Segment 22,Run,3971,7.1,9.9,317,100,2,Kettering,Ohio
seg_0023,Segment 23,Run,1963,5.3,3.3,376,170,2,Kettering,Ohio
seg_0024,Segment 24,Run,2988,6.5,9.4,258,139,3,Kettering,Ohio
