ad_account_id,name,currency,country,status,created_at
ad_a_0000,Item 0,7,5177,PAUSED,2026-05-30T22:40:48Z
ad_a_0001,Item 1,75,5035,ACTIVE,2026-07-16T19:34:37Z
ad_a_0002,Item 2,89,5436,PAUSED,2026-02-04T09:52:25Z
ad_a_0003,Item 3,15,7547,ACTIVE,2026-09-11T18:27:52Z
ad_a_0004,Item 4,26,9081,ACTIVE,2026-07-08T15:00:51Z
ad_a_0005,Item 5,0,2385,ACTIVE,2026-07-24T12:07:16Z
ad_a_0006,Item 6,44,2460,PAUSED,2026-02-23T05:55:29Z
ad_a_0007,Item 7,97,422,PAUSED,2026-04-08T06:02:32Z
ad_a_0008,Item 8,14,1061,ACTIVE,2026-06-02T09:05:26Z
ad_a_0009,Item 9,81,4813,PAUSED,2026-09-19T23:37:12Z
ad_a_0010,Item 10,80,3101,PAUSED,2026-03-24T21:54:51Z
ad_a_0011,Item 11,34,8718,ACTIVE,2026-06-14T11:07:54Z
ad_a_0012,Item 12,82,1546,PAUSED,2026-06-27T02:29:46Z
ad_a_0013,Item 13,63,9146,ACTIVE,2026-08-27T16:05:51Z
ad_a_0014,Item 14,17,3025,PAUSED,2026-05-14T17:28:52Z
ad_a_0015,Item 15,8,6539,ACTIVE,2026-05-18T22:31:28Z
ad_a_0016,Item 16,49,5254,PAUSED,2026-06-24T22:03:32Z
ad_a_0017,Item 17,55,3084,PAUSED,2026-03-16T19:28:46Z
ad_a_0018,Item 18,15,9561,ACTIVE,2026-05-22T12:27:18Z
ad_a_0019,Item 19,37,2773,PAUSED,2026-06-04T07:45:54Z
ad_a_0020,Item 20,15,234,PAUSED,2026-01-12T19:13:26Z
ad_a_0021,Item 21,8,9497,ACTIVE,2026-01-15T23:41:27Z
ad_a_0022,Item 22,48,5071,PAUSED,2026-07-08T21:29:04Z
ad_a_0023,Item 23,15,8808,ACTIVE,2026-05-07T04:33:47Z
ad_a_0024,Item 24,15,7030,PAUSED,2026-03-03T02:40:50Z
ad_a_0025,Item 25,16,984,PAUSED,2026-01-01T05:27:00Z
ad_a_0026,Item 26,33,622,ACTIVE,2026-01-14T22:59:28Z
ad_a_0027,Item 27,22,525,PAUSED,2026-06-14T17:47:15Z
ad_a_0028,Item 28,41,3582,ACTIVE,2026-07-04T02:00:51Z
ad_a_0029,Item 29,84,8378,PAUSED,2026-09-08T07:52:27Z
ad_a_0030,Item 30,15,8448,PAUSED,2026-07-23T21:26:58Z
ad_a_0031,Item 31,7,5502,ACTIVE,2026-04-13T20:33:07Z
ad_a_0032,Item 32,77,119,PAUSED,2026-05-17T05:58:37Z
ad_a_0033,Item 33,86,8953,ACTIVE,2026-05-12T00:06:30Z
ad_a_0034,Item 34,14,882,PAUSED,2026-03-19T06:38:59Z
ad_a_0035,Item 35,21,1256,PAUSED,2026-04-23T10:12:48Z
ad_a_0036,Item 36,95,5727,PAUSED,2026-01-08T19:02:36Z
ad_a_0037,Item 37,38,4068,PAUSED,2026-08-13T06:52:33Z
ad_a_0038,Item 38,7,9936,ACTIVE,2026-08-31T01:13:03Z
ad_a_0039,Item 39,79,5149,ACTIVE,2026-09-23T23:36:54Z
ad_a_0040,Item 40,19,6139,PAUSED,2026-03-24T01:59:19Z
