section_id,board_id,name,pin_count
sect_0000,boar_0000,Item 0,6500
sect_0001,boar_0001,Item 1,5409
sect_0002,boar_0002,Item 2,6939
sect_0003,boar_0003,Item 3,8715
sect_0004,boar_0004,Item 4,5181
sect_0005,boar_0005,Item 5,5382
sect_0006,boar_0006,Item 6,3531
sect_0007,boar_0007,Item 7,1054
sect_0008,boar_0008,Item 8,1466
sect_0009,boar_0009,Item 9,3667
sect_0010,boar_0010,Item 10,4052
sect_0011,boar_0011,Item 11,6335
sect_0012,boar_0012,Item 12,2567
sect_0013,boar_0013,Item 13,4005
sect_0014,boar_0014,Item 14,6677
sect_0015,boar_0015,Item 15,3769
sect_0016,boar_0016,Item 16,5589
sect_0017,boar_0017,Item 17,1322
sect_0018,boar_0018,Item 18,3023
sect_0019,boar_0019,Item 19,975
sect_0020,boar_0020,Item 20,925
sect_0021,boar_0021,Item 21,1411
sect_0022,boar_0022,Item 22,7712
sect_0023,boar_0023,Item 23,6221
sect_0024,boar_0024,Item 24,3527
sect_0025,boar_0025,Item 25,4289
sect_0026,boar_0026,Item 26,7171
sect_0027,boar_0027,Item 27,5558
sect_0028,boar_0028,Item 28,8284
sect_0029,boar_0029,Item 29,113
sect_0030,boar_0030,Item 30,2989
sect_0031,boar_0031,Item 31,9112
sect_0032,boar_0032,Item 32,7023
sect_0033,boar_0033,Item 33,9772
sect_0034,boar_0034,Item 34,7119
sect_0035,boar_0035,Item 35,5227
sect_0036,boar_0036,Item 36,4538
sect_0037,boar_0037,Item 37,2762
sect_0038,boar_0038,Item 38,2349
sect_0039,boar_0039,Item 39,7884
sect_0040,boar_0040,Item 40,9317
sect_0041,boar_0041,Item 41,6133
sect_0042,boar_0042,Item 42,2225
sect_0043,boar_0043,Item 43,7921
sect_0044,boar_0044,Item 44,7274
sect_0045,boar_0045,Item 45,7603
sect_0046,boar_0046,Item 46,3002
sect_0047,boar_0047,Item 47,7448
sect_0048,boar_0048,Item 48,8498
sect_0049,boar_0049,Item 49,7982
sect_0050,boar_0050,Item 50,9780
sect_0051,boar_0051,Item 51,9761
sect_0052,boar_0052,Item 52,4914
sect_0053,boar_0053,Item 53,8777
sect_0054,boar_0054,Item 54,7318
sect_0055,boar_0055,Item 55,7601
sect_0056,boar_0056,Item 56,1607
sect_0057,boar_0057,Item 57,7928
sect_0058,boar_0058,Item 58,548
sect_0059,boar_0059,Item 59,7446
sect_0060,boar_0060,Item 60,3158
sect_0061,boar_0061,Item 61,1987
sect_0062,boar_0062,Item 62,5659
sect_0063,boar_0063,Item 63,8025
sect_0064,boar_0064,Item 64,190
sect_0065,boar_0065,Item 65,6242
sect_0066,boar_0066,Item 66,7142
sect_0067,boar_0067,Item 67,5150
sect_0068,boar_0068,Item 68,980
sect_0069,boar_0069,Item 69,3200
sect_0070,boar_0070,Item 70,2070
sect_0071,boar_0071,Item 71,1994
sect_0072,boar_0072,Item 72,8975
sect_0073,boar_0073,Item 73,7039
sect_0074,boar_0074,Item 74,8863
sect_0075,boar_0075,Item 75,5
sect_0076,boar_0076,Item 76,1851
sect_0077,boar_0077,Item 77,2069
sect_0078,boar_0078,Item 78,9645
sect_0079,boar_0079,Item 79,3093
sect_0080,boar_0080,Item 80,2192
sect_0081,boar_0081,Item 81,3615
sect_0082,boar_0082,Item 82,4158
sect_0083,boar_0083,Item 83,331
sect_0084,boar_0084,Item 84,5667
sect_0085,boar_0085,Item 85,985
sect_0086,boar_0086,Item 86,711
sect_0087,boar_0087,Item 87,3288
sect_0088,boar_0088,Item 88,638
sect_0089,boar_0089,Item 89,3154
sect_0090,boar_0090,Item 90,3599
sect_0091,boar_0091,Item 91,9885
sect_0092,boar_0092,Item 92,3385
sect_0093,boar_0093,Item 93,3495
sect_0094,boar_0094,Item 94,8471
sect_0095,boar_0095,Item 95,105
sect_0096,boar_0096,Item 96,3013
sect_0097,boar_0097,Item 97,7557
sect_0098,boar_0098,Item 98,4331
sect_0099,boar_0099,Item 99,7803
sect_0100,boar_0100,Item 100,5774
sect_0101,boar_0101,Item 101,6008
sect_0102,boar_0102,Item 102,5681
sect_0103,boar_0103,Item 103,5532
sect_0104,boar_0104,Item 104,3995
sect_0105,boar_0105,Item 105,4788
sect_0106,boar_0106,Item 106,284
sect_0107,boar_0107,Item 107,7403
sect_0108,boar_0108,Item 108,1715
sect_0109,boar_0109,Item 109,2743
sect_0110,boar_0110,Item 110,9530
sect_0111,boar_0111,Item 111,673
sect_0112,boar_0112,Item 112,3497
sect_0113,boar_0113,Item 113,6552
sect_0114,boar_0114,Item 114,4626
sect_0115,boar_0115,Item 115,6042
sect_0116,boar_0116,Item 116,5572
sect_0117,boar_0117,Item 117,3050
sect_0118,boar_0118,Item 118,7714
sect_0119,boar_0119,Item 119,5476
sect_0120,boar_0120,Item 120,4941
sect_0121,boar_0121,Item 121,7865
sect_0122,boar_0122,Item 122,8098
sect_0123,boar_0123,Item 123,238
sect_0124,boar_0124,Item 124,7692
sect_0125,boar_0125,Item 125,469
sect_0126,boar_0126,Item 126,4177
sect_0127,boar_0127,Item 127,8780
sect_0128,boar_0128,Item 128,9909
sect_0129,boar_0129,Item 129,1477
sect_0130,boar_0130,Item 130,5439
sect_0131,boar_0131,Item 131,1770
sect_0132,boar_0132,Item 132,462
sect_0133,boar_0133,Item 133,6958
sect_0134,boar_0134,Item 134,6112
sect_0135,boar_0135,Item 135,57
sect_0136,boar_0136,Item 136,2865
sect_0137,boar_0137,Item 137,6105
sect_0138,boar_0138,Item 138,5880
sect_0139,boar_0139,Item 139,5986
sect_0140,boar_0140,Item 140,9659
sect_0141,boar_0141,Item 141,5555
sect_0142,boar_0142,Item 142,4416
sect_0143,boar_0143,Item 143,5241
sect_0144,boar_0144,Item 144,4346
sect_0145,boar_0145,Item 145,6391
sect_0146,boar_0146,Item 146,2741
sect_0147,boar_0147,Item 147,9880
sect_0148,boar_0148,Item 148,3781
sect_0149,boar_0149,Item 149,5058
