pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin__0000,2026-08-28T16:42:33Z,68,10,11,85
pin__0001,2026-05-19T06:38:12Z,100,10,87,25
pin__0002,2026-02-01T23:42:07Z,49,41,28,31
pin__0003,2026-01-16T09:57:48Z,16,70,32,71
pin__0004,2026-04-24T19:48:53Z,83,0,43,40
pin__0005,2026-02-24T17:19:16Z,34,63,94,22
pin__0006,2026-02-18T15:18:11Z,90,74,100,85
pin__0007,2026-01-07T13:43:50Z,7,19,4,39
pin__0008,2026-10-11T06:54:06Z,60,18,7,17
pin__0009,2026-03-24T13:02:48Z,45,74,33,31
pin__0010,2026-04-01T09:51:22Z,30,7,31,32
pin__0011,2026-05-04T20:49:47Z,14,76,10,71
pin__0012,2026-02-20T12:04:24Z,81,75,87,24
pin__0013,2026-04-01T21:34:27Z,49,46,17,78
pin__0014,2026-08-29T13:04:44Z,99,29,27,54
pin__0015,2026-08-22T22:47:43Z,58,35,53,25
pin__0016,2026-05-09T02:13:28Z,29,96,36,66
pin__0017,2026-01-11T17:45:24Z,27,43,59,100
pin__0018,2026-07-31T10:32:15Z,12,70,90,91
pin__0019,2026-01-11T22:23:32Z,4,25,34,55
pin__0020,2026-01-05T05:42:30Z,11,21,2,31
pin__0021,2026-01-26T03:27:43Z,9,8,10,2
pin__0022,2026-07-27T13:48:21Z,34,47,99,47
pin__0023,2026-02-19T23:21:44Z,49,76,6,54
pin__0024,2026-02-21T13:45:38Z,25,65,59,41
pin__0025,2026-09-23T00:02:28Z,45,22,88,39
pin__0026,2026-07-09T05:43:18Z,39,76,5,81
pin__0027,2026-03-04T02:42:03Z,25,5,65,70
pin__0028,2026-04-01T17:53:58Z,83,30,78,59
pin__0029,2026-02-01T18:36:50Z,70,53,95,27
pin__0030,2026-02-05T12:44:00Z,20,61,15,96
pin__0031,2026-02-22T10:29:50Z,16,21,80,54
pin__0032,2026-08-30T23:46:07Z,75,33,10,100
pin__0033,2026-03-11T11:48:26Z,66,98,68,2
pin__0034,2026-07-14T06:53:24Z,56,86,77,58
pin__0035,2026-06-27T18:39:09Z,95,73,32,66
pin__0036,2026-05-07T15:38:28Z,71,98,95,59
pin__0037,2026-06-04T04:44:51Z,96,61,96,31
pin__0038,2026-08-16T13:32:05Z,77,13,17,8
pin__0039,2026-09-07T05:04:45Z,82,8,21,77
pin__0040,2026-03-09T14:09:03Z,67,16,67,74
pin__0041,2026-05-01T07:23:18Z,84,37,2,36
pin__0042,2026-04-21T12:57:21Z,85,46,76,6
pin__0043,2026-01-21T16:55:19Z,25,96,65,95
pin__0044,2026-03-14T08:12:41Z,16,19,80,99
pin__0045,2026-05-19T10:20:45Z,72,59,21,43
pin__0046,2026-04-17T22:15:12Z,31,26,85,35
pin__0047,2026-03-21T19:12:29Z,78,64,75,13
pin__0048,2026-07-29T23:08:54Z,61,89,73,16
pin__0049,2026-05-17T13:10:31Z,82,32,58,22
pin__0050,2026-03-03T17:14:42Z,79,38,96,3
pin__0051,2026-05-30T17:58:14Z,35,2,46,1
pin__0052,2026-08-10T04:30:30Z,48,96,16,79
pin__0053,2026-06-04T00:38:20Z,71,11,17,49
pin__0054,2026-08-07T11:10:38Z,73,77,23,68
pin__0055,2026-04-17T18:28:47Z,19,3,65,13
pin__0056,2026-05-19T06:58:39Z,77,55,39,85
pin__0057,2026-05-26T03:06:24Z,51,99,74,66
pin__0058,2026-08-01T22:25:43Z,0,78,10,58
pin__0059,2026-06-15T23:41:37Z,75,76,47,31
pin__0060,2026-04-09T22:39:03Z,13,88,86,3
pin__0061,2026-07-04T14:30:52Z,15,20,95,31
pin__0062,2026-07-22T16:44:07Z,72,26,29,72
pin__0063,2026-05-17T22:15:41Z,5,39,27,48
pin__0064,2026-08-24T00:46:25Z,59,32,92,7
pin__0065,2026-02-20T15:28:51Z,75,11,10,48
pin__0066,2026-02-22T20:19:58Z,55,88,79,18
pin__0067,2026-03-02T01:36:25Z,54,38,13,10
pin__0068,2026-09-13T11:13:44Z,42,100,62,18
pin__0069,2026-03-08T14:18:37Z,64,9,8,51
pin__0070,2026-03-12T21:12:30Z,37,60,25,71
pin__0071,2026-08-16T18:04:41Z,42,75,55,75
pin__0072,2026-06-23T08:57:36Z,93,21,57,17
pin__0073,2026-08-02T07:48:45Z,18,52,59,61
pin__0074,2026-03-14T12:08:13Z,47,88,48,44
pin__0075,2026-01-22T15:22:30Z,65,5,27,62
pin__0076,2026-05-30T04:37:21Z,68,2,56,86
pin__0077,2026-09-09T16:42:05Z,68,7,86,27
pin__0078,2026-09-26T15:22:56Z,56,75,80,52
pin__0079,2026-05-18T17:24:21Z,24,28,9,31
pin__0080,2026-06-02T21:54:15Z,49,21,17,83
pin__0081,2026-03-06T09:20:06Z,49,83,95,84
pin__0082,2026-04-13T11:54:51Z,8,74,98,73
pin__0083,2026-07-01T17:13:04Z,4,96,25,52
pin__0084,2026-06-09T11:55:41Z,95,17,1,40
pin__0085,2026-06-04T00:45:10Z,24,34,46,15
pin__0086,2026-03-12T18:26:47Z,37,58,47,79
pin__0087,2026-08-15T03:07:30Z,100,86,94,20
pin__0088,2026-09-25T18:54:47Z,3,9,74,65
pin__0089,2026-01-13T16:19:35Z,95,40,64,37
pin__0090,2026-05-13T22:22:12Z,94,5,60,23
pin__0091,2026-02-14T23:13:45Z,36,81,48,42
pin__0092,2026-01-11T11:17:35Z,85,34,73,61
pin__0093,2026-06-13T09:20:02Z,75,93,50,4
pin__0094,2026-02-27T21:18:25Z,11,63,67,19
pin__0095,2026-03-04T04:04:33Z,91,99,60,42
pin__0096,2026-02-03T15:48:09Z,64,14,57,91
pin__0097,2026-06-22T06:56:20Z,94,79,18,7
pin__0098,2026-08-04T15:03:36Z,19,50,29,28
pin__0099,2026-03-14T21:37:10Z,92,17,81,18
pin__0100,2026-01-07T02:25:29Z,35,44,60,25
pin__0101,2026-04-20T17:30:14Z,72,39,12,66
pin__0102,2026-05-24T09:30:18Z,81,92,6,86
pin__0103,2026-04-17T04:32:23Z,82,16,40,1
pin__0104,2026-01-01T00:14:30Z,88,16,55,65
pin__0105,2026-01-03T10:01:33Z,66,55,100,99
pin__0106,2026-04-19T19:46:22Z,47,29,98,92
pin__0107,2026-01-20T07:08:53Z,73,90,21,78
pin__0108,2026-09-16T17:31:01Z,97,13,4,69
pin__0109,2026-04-12T01:42:48Z,4,41,88,37
pin__0110,2026-09-12T15:20:27Z,18,92,9,31
pin__0111,2026-07-08T09:53:56Z,36,12,68,10
pin__0112,2026-06-26T09:08:11Z,55,66,13,38
pin__0113,2026-05-25T20:22:57Z,59,28,19,95
pin__0114,2026-02-09T00:30:59Z,46,87,13,41
pin__0115,2026-10-06T19:46:53Z,33,55,9,27
pin__0116,2026-09-10T09:57:31Z,75,97,62,88
pin__0117,2026-02-23T15:51:15Z,82,90,69,74
pin__0118,2026-03-19T07:36:31Z,98,62,80,15
pin__0119,2026-06-22T13:00:00Z,20,77,5,8
pin__0120,2026-09-09T10:23:49Z,44,65,57,67
pin__0121,2026-03-04T06:29:36Z,75,81,95,49
pin__0122,2026-07-21T21:34:43Z,22,25,63,77
pin__0123,2026-04-07T15:50:13Z,100,57,15,0
pin__0124,2026-09-30T22:36:18Z,6,43,50,32
pin__0125,2026-09-11T20:58:47Z,38,38,92,11
pin__0126,2026-09-16T16:06:06Z,74,6,9,41
pin__0127,2026-08-17T13:33:21Z,73,43,73,24
pin__0128,2026-02-22T03:04:50Z,91,55,22,26
pin__0129,2026-01-14T20:11:04Z,5,92,0,41
pin__0130,2026-01-09T15:30:39Z,55,57,33,90
pin__0131,2026-04-17T11:54:44Z,68,28,99,53
pin__0132,2026-03-13T03:35:37Z,74,35,85,29
pin__0133,2026-09-13T05:55:57Z,13,43,6,0
pin__0134,2026-07-30T22:51:05Z,9,77,86,77
pin__0135,2026-01-14T19:14:36Z,84,50,23,28
pin__0136,2026-06-05T02:41:41Z,11,76,91,31
pin__0137,2026-04-11T05:18:27Z,74,52,16,32
pin__0138,2026-04-26T11:51:11Z,57,39,49,58
pin__0139,2026-08-10T19:29:20Z,33,44,62,100
pin__0140,2026-06-22T18:09:53Z,66,28,93,62
pin__0141,2026-07-20T10:59:20Z,70,17,47,27
pin__0142,2026-06-16T03:51:47Z,71,53,84,33
pin__0143,2026-05-07T03:41:09Z,37,38,39,45
pin__0144,2026-02-28T07:03:35Z,22,36,12,38
pin__0145,2026-01-15T09:00:00Z,54,86,74,24
pin__0146,2026-08-08T19:01:19Z,15,51,22,50
pin__0147,2026-01-28T16:37:28Z,59,76,58,29
pin__0148,2026-01-16T08:47:04Z,71,63,74,69
pin__0149,2026-07-16T11:34:53Z,77,27,4,13
