id,title,text,alert_type,priority,host,tags,date_happened
ev_001,Q4 pricing update deployed,Webflow site pulled fresh Contentful entries for Q4.,info,normal,k8s-chandler-web-01,deploy;contentful,2026-09-01T08:30:00Z
ev_002,Quote-form schema fix,Added EV-charging service category to dropdown.,info,normal,k8s-chandler-quote-form,deploy;woocommerce,2026-06-08T14:00:00Z
10000,Event cmygnk,text 9nfnd3rttg80yyzrdxgx,2025-03-13T19:10:00,error,alert,host_492y,chandler-electric
10001,Event zjp9s3,text v3t500ysw6awiheq4s69,2025-09-30T10:32:00,error,user,host_dw5u,chandler-electric
10002,Event 14uhia,text 8g2v2qshm3nv60uvyqgn,2025-09-27T08:49:00,info,alert,host_n9ez,chandler-electric
10003,Event rbhfy3,text 1jj0y7wwzzgv90vazdli,2026-01-12T00:27:00,warning,system,host_c40d,chandler-electric
10004,Event 0h634s,text bgpw86yekjx517w844c4,2025-01-13T13:09:00,warning,system,host_r3bd,chandler-electric
10005,Event kwfk3n,text hhk6acbepr6fahy4k7o7,2026-05-06T16:05:00,info,user,host_ret9,chandler-electric
10006,Event sx19zn,text p7qwkuvnor0lpo2ybdjt,2025-10-11T20:56:00,info,system,host_8uid,chandler-electric
10007,Event x8qku8,text x6kqmforbrq6vkmehnss,2026-01-10T21:15:00,error,alert,host_cd29,chandler-electric
10008,Event 5xmbfs,text 8pfx5ruy7jjcxcqqmfb8,2025-07-22T20:05:00,error,alert,host_a4vc,chandler-electric
10009,Event am42pp,text bl9pbo9dgh1s3ls1abfz,2026-06-21T05:32:00,error,user,host_q3g9,chandler-electric
10010,Event oyecox,text 1mbza9sh332ss0cmpoi8,2025-09-28T11:17:00,error,user,host_22mh,chandler-electric
10011,Event rtymsw,text adnun1t4aj3y9ykwogr8,2025-03-17T11:25:00,error,alert,host_icpu,chandler-electric
10012,Event ul576o,text jxalf5wvt9p72oe70dm7,2026-04-21T20:44:00,info,system,host_fs8i,chandler-electric
10013,Event qzou1m,text aw9o1duvn6db9p4ec67v,2025-11-22T08:20:00,info,system,host_0w3x,chandler-electric
10014,Event iook2j,text wonvg8nsmyius8a1xlsv,2025-03-04T17:19:00,error,user,host_5gb0,chandler-electric
10015,Event srousi,text z8wb12ohq51evpj0z2oh,2026-08-18T10:14:00,info,system,host_wxf7,chandler-electric
10016,Event vb5n80,text jzg6w40oxy9dt4qq6i2k,2026-03-15T13:47:00,info,system,host_xgp3,chandler-electric
10017,Event hse7os,text ogx80rctql4kjblh9r0v,2025-10-13T00:24:00,info,alert,host_232t,chandler-electric
10018,Event d92qsc,text rqqcrawlmeoh7unwe66k,2025-04-04T03:51:00,warning,alert,host_71rt,chandler-electric
10019,Event lvkp84,text cspawq1pgrqgf6gikblr,2026-01-19T15:05:00,warning,system,host_5gef,chandler-electric
10020,Event 5hf1mc,text rdc1d79clcs2wmc9qexs,2026-02-16T22:57:00,warning,alert,host_267n,chandler-electric
10021,Event jp8ro2,text lzlidk498xz5eevabv6r,2025-04-16T22:50:00,error,alert,host_9tv6,chandler-electric
10022,Event oaygm4,text lvywm8m103suj6thtgx3,2026-02-10T01:51:00,warning,alert,host_axe6,chandler-electric
10023,Event ie5j2q,text z8mf16om02jkrk9sbeat,2026-05-13T05:12:00,error,system,host_rr83,chandler-electric
10024,Event epysph,text y5lbtaz5tl41pqzqwffk,2025-02-04T06:42:00,info,system,host_q0tt,chandler-electric
10025,Event shdevp,text ynijc095fw8t9mppeg5e,2026-05-06T05:32:00,error,system,host_1lcj,chandler-electric
10026,Event coaj6g,text 6fj6d0i1ttnjw5n25z7v,2025-09-04T21:39:00,warning,alert,host_0cpt,chandler-electric
10027,Event aopp9q,text g2oqxssu6hhcek6daoix,2025-11-04T00:42:00,error,alert,host_eljp,chandler-electric
10028,Event or4d1p,text d9csgtd2i5u2kgljcgyq,2025-01-02T15:01:00,info,system,host_zcbl,chandler-electric
10029,Event o772j2,text xa8vve9yt47ao32sqmqj,2025-01-05T22:15:00,info,alert,host_0pfq,chandler-electric
10030,Event a7e2tc,text p5bliviqqcxz8sc6uahx,2025-06-21T14:26:00,error,user,host_7k6a,chandler-electric
10031,Event 9ov2nx,text y6vc23dbl030wurzcy63,2025-04-13T12:34:00,info,user,host_icce,chandler-electric
10032,Event c1tzma,text 7dbksyeq2fnkyp4dyf5y,2026-09-30T13:41:00,warning,user,host_pqaw,chandler-electric
10033,Event 8eurww,text payipfufdywtfkpa0r23,2025-03-21T21:05:00,warning,system,host_r9an,chandler-electric
10034,Event 8j4mqq,text 1l8fpzhoznaiarahybhc,2025-08-19T08:29:00,error,user,host_e5q3,chandler-electric
