metric,scope,base_value,amplitude,unit
chandler.web.uptime_pct,service:chandler-electric-site,99.94,0.04,percent
chandler.web.response_time_ms,service:chandler-electric-site,142.0,38.0,millisecond
chandler.quote_form.submissions,service:quote-form,6.0,4.0,request
chandler.web.lcp_ms,service:chandler-electric-site,1820.0,280.0,millisecond
chandler.web.errors_5m,service:chandler-electric-site,0.0,1.0,error
system.mem.bj89,92.37862158475518,2025-12-16T00:28:00,host_ukgl,gauge
system.mem.43nx,30.868932498787906,2025-06-21T09:34:00,host_pskz,count
system.mem.1dh0,33.687580698227904,2026-09-16T01:09:00,host_squr,rate
system.mem.yojl,95.48879892114162,2026-09-25T17:52:00,host_j0i0,rate
system.mem.3gls,93.23668766197119,2026-06-01T04:18:00,host_fjgm,count
system.cpu.kyb3,3.9303757611046874,2025-06-23T09:39:00,host_uq5p,count
system.cpu.44lt,88.03832252240065,2026-09-26T13:36:00,host_69fg,count
system.disk.2ypo,47.61495438802081,2026-08-09T02:55:00,host_fsqp,gauge
system.mem.gs2v,15.752009310853687,2025-02-04T04:46:00,host_1sxz,count
system.net.tnwi,92.14756189229507,2025-07-28T04:31:00,host_guap,rate
system.cpu.x0a0,39.58289815189524,2026-03-04T02:47:00,host_gggb,count
system.mem.8wy9,36.93255893426147,2025-06-01T21:33:00,host_g9ip,rate
system.disk.pp0v,4.246005144063181,2025-07-21T07:05:00,host_jn2o,gauge
system.mem.9n5n,96.8738665438731,2026-07-24T09:49:00,host_wslv,count
system.mem.lvkq,43.784786839352755,2025-09-12T06:58:00,host_gn7u,gauge
system.cpu.eay1,79.25492766120998,2025-06-20T03:05:00,host_61xw,gauge
system.mem.3ch5,18.689347776481036,2026-05-02T07:24:00,host_624m,rate
system.mem.ndo6,42.42209801132651,2025-07-23T20:00:00,host_hrpv,rate
system.disk.t93k,41.35990785592458,2025-05-10T23:28:00,host_bzey,rate
system.cpu.d23f,1.0483085339431097,2026-05-01T21:50:00,host_gd80,count
system.disk.veeq,40.324129138178954,2025-11-29T19:28:00,host_2x60,rate
system.disk.o5bd,8.179865896376104,2025-06-18T00:13:00,host_tj0n,gauge
system.cpu.teo4,3.826044212504698,2026-06-19T10:37:00,host_yim7,gauge
system.cpu.rmu1,19.981465983122515,2026-04-27T04:16:00,host_n0f5,rate
system.cpu.nj0m,6.8121863967438685,2026-09-13T04:56:00,host_tl4x,rate
system.disk.riqh,55.91913506191823,2026-03-04T11:15:00,host_8uui,gauge
system.mem.71ma,98.92469184584938,2025-02-09T19:38:00,host_0vv6,count
system.mem.1yrq,92.57491110153322,2025-06-01T06:10:00,host_3t8a,gauge
system.net.z9xv,48.827768019155016,2025-03-12T16:43:00,host_7rn7,count
system.net.lr4x,73.1767485481067,2025-04-30T02:58:00,host_69f8,count
system.mem.4jxy,10.77811194557573,2025-10-12T14:38:00,host_sxg8,gauge
system.net.xhrg,88.53008373472996,2025-01-16T21:37:00,host_anu0,gauge
system.mem.uqtp,46.45331564454356,2026-07-05T02:59:00,host_uzbd,gauge
system.mem.j86n,47.00940528769977,2025-05-17T02:22:00,host_ujy0,gauge
system.disk.65kc,65.22949713042162,2026-05-30T22:11:00,host_6160,rate
system.disk.l2rp,22.748117409945202,2025-05-05T06:47:00,host_twvw,count
system.cpu.rtyz,90.93578096143935,2026-08-24T19:24:00,host_9a7u,rate
system.cpu.hebb,25.189805885140416,2025-10-11T03:29:00,host_3oyu,count
system.cpu.36q2,90.89925100425602,2025-08-11T05:10:00,host_iiah,gauge
system.mem.rbkq,28.404854387688026,2025-04-15T03:17:00,host_m7ne,count
system.mem.hx61,54.35923204962965,2026-04-26T13:11:00,host_2i46,gauge
system.net.1vmo,19.823190649992473,2026-06-20T03:36:00,host_mxsl,count
system.mem.x0tz,97.80847472335773,2026-03-14T03:22:00,host_one4,count
system.mem.uifp,78.65957852709712,2025-03-11T05:42:00,host_ovk8,count
system.mem.g1tt,95.05101208529334,2026-04-26T06:28:00,host_s4dl,rate
system.net.m3xl,9.767373808639313,2025-02-03T09:41:00,host_zloy,count
system.mem.taj8,82.91317097750726,2026-09-28T21:57:00,host_cbts,rate
system.cpu.y0fl,29.549466547888947,2025-09-29T20:24:00,host_2pk7,rate
system.cpu.yu32,36.63964383368319,2025-06-07T16:34:00,host_g6vd,rate
system.net.30km,15.28284358557217,2025-08-05T03:00:00,host_facn,rate
system.net.sarx,27.804234242969084,2026-03-10T00:28:00,host_x56t,count
system.disk.safr,13.881582100456058,2026-04-22T07:34:00,host_9rls,rate
system.cpu.7sjm,53.7177220517282,2026-05-05T18:26:00,host_l1ui,rate
system.net.5836,54.946594833868176,2025-07-06T22:13:00,host_au2v,count
system.disk.ctcb,64.73268899596633,2025-05-16T23:26:00,host_gr81,count
system.net.5348,24.961302858400035,2025-12-15T15:32:00,host_ws6i,rate
system.net.6svd,75.79181922377583,2026-09-14T19:28:00,host_e05m,rate
system.mem.q0xk,49.53135459355049,2026-08-12T20:09:00,host_3awv,rate
system.disk.jwsk,21.734423802308434,2026-07-19T10:41:00,host_zsqj,gauge
system.net.asyc,1.3427571211452438,2026-04-16T20:29:00,host_75bz,gauge
system.cpu.ry3e,48.94875755213041,2025-09-24T04:22:00,host_yp9w,rate
system.cpu.pxxr,58.71684007165876,2026-03-12T13:38:00,host_kwjr,rate
system.cpu.8t84,1.995744576014824,2026-07-15T05:11:00,host_2in4,gauge
system.mem.v779,7.408786504306553,2025-01-16T20:33:00,host_bghv,gauge
