id,name,type,query,message,overall_state,priority,tags,created,modified
1,Chandler Electric website uptime,metric alert,avg(last_5m):avg:chandler.web.uptime_pct{service:chandler-electric-site} < 99,Site down. Page Jae.,OK,P1,service:chandler-electric-site;owner:jae,2024-10-12T09:00:00Z,2026-09-01T11:00:00Z
mon_response,Site response time degraded,metric alert,avg(last_15m):avg:chandler.web.response_time_ms > 500,Response p95 over 500ms.,OK,P3,service:chandler-electric-site,2024-10-12T09:00:00Z,2026-06-01T10:00:00Z
mon_quote_errors,Quote-form errors,log alert,"logs(""service:quote-form status:error"").index(""*"").rollup(""count"").last(""5m"") > 5",Quote-form is throwing errors. Sentry will also page.,OK,P2,service:quote-form,2025-03-15T09:00:00Z,2026-09-15T11:00:00Z
1000,Monitor tx7gky,service check,query g0qzt5d4o5,Alert,msg lk443aqwr1x3gu1,2026-06-19T23:16:00,2025-06-19T14:33:00,chandler-electric,5
1001,Monitor 7crmz9,service check,query w695x8pq41,Warn,msg p9qwd39u504x1gi,2026-09-06T23:48:00,2026-03-18T15:51:00,chandler-electric,1
1002,Monitor xzt6o2,event alert,query iu1qary5dk,Alert,msg uv7t9sv366wyc0u,2025-07-28T21:35:00,2026-09-28T23:20:00,chandler-electric,4
1003,Monitor l70ddp,event alert,query vrs312d9nd,Warn,msg kt1itmaeb951gb6,2026-05-10T05:33:00,2026-09-14T19:34:00,chandler-electric,5
1004,Monitor mjhs9q,event alert,query ax2esfmh4s,OK,msg mj1stmxnowhuoao,2026-05-10T04:38:00,2025-12-30T09:31:00,chandler-electric,1
1005,Monitor sdbg5e,metric alert,query tiyvq5uz3u,No Data,msg mmhgammysr85y84,2025-05-06T10:39:00,2025-11-15T22:17:00,chandler-electric,4
1006,Monitor ypor9w,service check,query 286euc3wnt,No Data,msg xvq2a7jel85jd8z,2025-06-28T22:22:00,2026-03-05T15:07:00,chandler-electric,1
1007,Monitor s5ce1j,event alert,query rt77ilsa5t,Warn,msg 12rg0akqrfl1kwl,2026-09-12T16:03:00,2026-01-15T07:05:00,chandler-electric,1
1008,Monitor uym421,metric alert,query 98uov1cy3i,Alert,msg n1aczw1xbzx5iyk,2025-07-15T03:50:00,2026-07-26T16:37:00,chandler-electric,1
1009,Monitor xr0ab7,metric alert,query tkk51kkzpl,No Data,msg q9bwsku10cqjeen,2026-07-19T17:43:00,2025-11-19T09:16:00,chandler-electric,5
