weight_id,date,weight_lbs,notes
1,2026-10-09,157.9,
2,2026-10-02,161.8,
3,2026-09-25,158.0,
4,2026-09-18,159.3,
5,2026-09-11,159.8,
6,2026-09-04,159.9,
7,2026-08-28,160.5,
8,2026-08-21,157.2,
9,2026-08-14,159.0,
10,2026-08-07,159.6,
11,2026-07-31,161.8,
12,2026-07-24,157.5,
13,2026-07-17,157.2,
14,2026-06-23,174.8,Run Swim
15,2026-06-05,169.2,Yoga Swim
16,2026-05-05,167.3,Weights Run
17,2026-11-28,174.9,Run Swim
18,2026-08-09,161.1,Run Workout
19,2026-01-16,156.2,Stretch Yoga
20,2026-04-25,171.9,Walk Bike
21,2026-05-11,164.0,Swim Weights
22,2026-08-27,156.2,Stretch Run
23,2026-11-05,163.5,Stretch Run
24,2026-11-13,164.9,Walk Weights
25,2026-10-23,169.7,Walk Weights
26,2026-02-01,156.4,Morning Walk
27,2026-06-26,159.0,Morning Swim
28,2026-01-08,167.6,Weights Cardio
29,2026-10-09,172.7,Walk Weights
30,2026-01-05,166.4,Swim Walk
31,2026-11-03,171.8,Walk Yoga
32,2026-03-20,165.6,Swim Weights
33,2026-03-04,169.1,Run Stretch
34,2026-09-07,171.8,Swim Walk
35,2026-04-06,156.3,Cardio Walk
36,2026-10-21,158.0,Walk Stretch
37,2026-05-18,171.8,Yoga Weights
38,2026-05-12,160.4,Walk Cardio
39,2026-10-07,174.1,Run Workout
40,2026-01-14,167.6,Walk Morning
41,2026-06-27,171.0,Yoga Stretch
42,2026-04-09,155.5,Cardio Yoga
43,2026-06-07,159.2,Bike Weights
44,2026-08-20,174.3,Run Yoga
45,2026-09-19,170.9,Weights Run
46,2026-08-24,170.9,Bike Yoga
47,2026-03-06,157.6,Stretch Morning
48,2026-06-11,162.2,Workout Workout
49,2026-11-19,172.8,Cardio Swim
50,2026-07-14,155.2,Weights Workout
51,2026-08-01,172.1,Weights Swim
52,2026-09-17,174.3,Yoga Walk
53,2026-08-23,173.1,Swim Morning
54,2026-10-06,163.9,Weights Weights
55,2026-01-06,167.2,Workout Stretch
56,2026-10-26,169.3,Run Yoga
57,2026-01-01,169.4,Morning Swim
58,2026-03-28,163.1,Yoga Stretch
59,2026-12-03,159.5,Weights Bike
60,2026-06-26,159.9,Yoga Morning
61,2026-06-18,169.3,Stretch Walk
62,2026-02-08,170.3,Morning Swim
63,2026-12-01,165.3,Workout Walk
64,2026-01-18,167.7,Bike Cardio
65,2026-05-12,174.6,Weights Workout
66,2026-10-08,168.7,Yoga Stretch
67,2026-06-09,173.4,Workout Morning
68,2026-12-15,155.3,Stretch Run
69,2026-11-22,160.1,Yoga Yoga
70,2026-02-16,161.7,Stretch Cardio
71,2026-10-13,168.8,Run Stretch
72,2026-09-25,164.7,Walk Bike
73,2026-07-26,172.1,Weights Morning
74,2026-05-09,165.8,Cardio Bike
75,2026-04-13,165.9,Workout Stretch
76,2026-10-01,162.0,Swim Yoga
77,2026-09-14,168.3,Cardio Stretch
78,2026-05-23,161.2,Yoga Yoga
79,2026-12-05,157.4,Stretch Stretch
80,2026-09-20,160.9,Walk Bike
81,2026-02-28,156.7,Run Morning
82,2026-06-12,160.0,Swim Workout
83,2026-09-24,172.4,Yoga Stretch
84,2026-04-15,173.9,Swim Yoga
85,2026-05-11,159.8,Bike Bike
86,2026-09-10,167.4,Cardio Walk
87,2026-12-23,174.4,Bike Workout
88,2026-09-11,163.1,Bike Bike
89,2026-07-11,169.1,Run Run
90,2026-09-20,174.3,Weights Run
91,2026-02-23,161.7,Weights Bike
92,2026-04-15,171.2,Cardio Swim
93,2026-09-24,163.6,Stretch Weights
94,2026-05-16,170.9,Swim Swim
95,2026-11-26,159.9,Stretch Cardio
96,2026-07-16,155.8,Bike Bike
97,2026-06-17,163.6,Workout Weights
98,2026-02-14,158.3,Run Cardio
99,2026-11-19,163.1,Morning Bike
100,2026-12-09,158.0,Workout Cardio
101,2026-04-21,169.5,Walk Bike
102,2026-09-03,161.7,Stretch Run
103,2026-08-23,168.2,Morning Walk
104,2026-02-16,160.6,Weights Stretch
105,2026-03-06,169.5,Stretch Morning
106,2026-08-24,158.7,Run Morning
107,2026-08-19,164.3,Weights Weights
108,2026-11-02,171.6,Weights Walk
109,2026-01-15,170.3,Swim Morning
110,2026-02-14,162.4,Weights Workout
111,2026-09-17,169.5,Stretch Run
112,2026-05-11,173.7,Yoga Run
113,2026-12-04,169.0,Weights Morning
114,2026-10-25,173.9,Stretch Cardio
115,2026-08-24,172.4,Yoga Stretch
116,2026-12-15,162.5,Walk Workout
117,2026-05-04,156.9,Weights Swim
118,2026-06-04,170.2,Run Yoga
119,2026-10-18,163.4,Weights Swim
120,2026-07-01,165.8,Cardio Workout
