exercise_id,date,exercise_type_id,exercise_name,duration_minutes,calories_burned,notes
1,2026-09-14,2,Strength Training,43,209,
2,2026-09-11,2,Strength Training,31,127,
3,2026-09-04,1,Jogging,37,182,
4,2026-08-31,3,Yoga,25,140,
5,2026-08-28,2,Walking,43,156,
6,2026-08-27,1,Jogging,43,221,
7,2026-08-21,2,Walking,37,174,
8,2026-08-17,3,Walking,28,189,
9,2026-08-16,2,Jogging,29,133,
10,2026-08-15,2,Jogging,20,266,
11,2026-08-12,3,Jogging,32,163,
12,2026-08-06,1,Strength Training,44,222,
13,2026-08-02,1,Jogging,35,237,
14,2026-07-31,2,Walking,34,179,
15,2026-07-30,2,Jogging,27,249,
16,2026-07-29,3,Jogging,27,227,
17,2026-07-28,2,Yoga,44,104,
18,2026-07-25,2,Strength Training,42,186,
19,2026-07-23,3,Strength Training,43,141,
20,2026-07-20,2,Yoga,36,217,
21,2026-07-16,3,Jogging,38,135,
22,2026-07-15,1,Yoga,20,139,
23,2026-07-14,3,Jogging,33,273,
