entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
1,2026-10-09,Breakfast,823,Coffee with cream,Generic,1 cup,g,1,45,2,1,10,5,5,0,4,1
2,2026-10-09,Lunch,866,Frozen dinner,Generic,1 tray,g,1,420,18,6,45,890,48,3,8,16
3,2026-10-09,Dinner,392,Vending machine chips,Generic,1 bag,g,1,250,15,2,0,340,25,2,1,3
4,2026-10-08,Lunch,910,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
5,2026-10-08,Dinner,503,Vending machine chips,Generic,1 bag,g,1,250,15,2,0,340,25,2,1,3
6,2026-10-07,Breakfast,189,Subway sandwich,Generic,6 inch,g,1,380,14,5,40,920,48,5,6,18
7,2026-10-07,Lunch,685,Coffee with cream,Generic,1 cup,g,1,45,2,1,10,5,5,0,4,1
8,2026-10-06,Breakfast,388,Hospital cafeteria salad,Generic,1 plate,g,1,320,12,3,25,580,35,6,8,22
9,2026-10-06,Dinner,714,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
10,2026-10-05,Breakfast,493,Frozen dinner,Generic,1 tray,g,1,420,18,6,45,890,48,3,8,16
11,2026-10-05,Dinner,621,Vending machine chips,Generic,1 bag,g,1,250,15,2,0,340,25,2,1,3
12,2026-10-04,Breakfast,683,Hospital cafeteria salad,Generic,1 plate,g,1,320,12,3,25,580,35,6,8,22
13,2026-10-04,Dinner,550,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
14,2026-10-03,Breakfast,939,Vending machine chips,Generic,1 bag,g,1,250,15,2,0,340,25,2,1,3
15,2026-10-03,Lunch,340,McDonald's Big Mac,Generic,1 sandwich,g,1,550,30,11,80,1010,45,3,9,25
16,2026-10-02,Dinner,805,Granola bar,Generic,1 bar,g,1,190,7,1,0,150,29,3,12,4
17,2026-10-01,Lunch,240,Cereal with milk,Generic,1 bowl,g,1,280,5,2,10,320,48,3,18,8
18,2026-09-30,Breakfast,579,Cereal with milk,Generic,1 bowl,g,1,280,5,2,10,320,48,3,18,8
19,2026-09-30,Dinner,514,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
20,2026-09-29,Breakfast,887,Chipotle Burrito Bowl,Generic,1 bowl,g,1,665,24,8,75,1650,70,12,4,42
21,2026-09-29,Dinner,264,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
22,2026-09-28,Breakfast,74,Chipotle Burrito Bowl,Generic,1 bowl,g,1,665,24,8,75,1650,70,12,4,42
23,2026-09-28,Lunch,334,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
24,2026-09-28,Dinner,950,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
25,2026-09-27,Breakfast,157,Banana,Generic,1 medium,g,1,105,0,0,0,1,27,3,14,1
26,2026-09-27,Lunch,409,Frozen dinner,Generic,1 tray,g,1,420,18,6,45,890,48,3,8,16
27,2026-09-27,Dinner,202,Frozen dinner,Generic,1 tray,g,1,420,18,6,45,890,48,3,8,16
28,2026-09-26,Lunch,843,Frozen dinner,Generic,1 tray,g,1,420,18,6,45,890,48,3,8,16
29,2026-09-25,Breakfast,424,Generic food item,Generic,1 serving,g,1,432,27,8,44,353,20,8,13,9
30,2026-09-25,Dinner,63,Generic food item,Generic,1 serving,g,1,385,7,8,37,419,58,1,12,30
31,2026-09-24,Breakfast,586,Generic food item,Generic,1 serving,g,1,323,23,2,59,245,20,4,19,25
