id,key,name,project_type_key,lead,description
10001,NF7,North Frisian Survey,software,gloria,NF-7 data quality
1001,meadow-2,Violet haze 2,active,summit-2,willow cedar iris note 2
1002,zephyr-3,Grove bravo 3,pending,kelp-3,zephyr zephyr tidal note 3
1003,jade-4,Coral haze 4,closed,cedar-4,meadow grove river note 4
1004,delta-5,Kelp frost 5,open,violet-5,coral frost iris note 5
1005,umber-6,Haze bravo 6,closed,ember-6,quartz haze tidal note 6
1006,umber-7,Bravo orbit 7,active,bravo-7,quartz bravo cedar note 7
1007,iris-8,Alpha river 8,standard,tidal-8,umber jade willow note 8
1008,zephyr-9,Frost ember 9,open,coral-9,willow orbit violet note 9
1009,iris-10,Umber orbit 10,standard,meadow-10,umber delta zephyr note 10
1010,iris-11,Iris pine 11,pending,willow-11,meadow cedar kelp note 11
1011,delta-12,Orbit iris 12,general,coral-12,pine jade frost note 12
1012,orbit-13,Ember jade 13,pending,summit-13,kelp harbor frost note 13
1013,coral-14,Umber jade 14,open,quartz-14,haze bravo pine note 14
1014,pine-15,Orbit zephyr 15,general,zephyr-15,frost alpha ember note 15
1015,ember-16,Quartz haze 16,open,haze-16,delta cedar jade note 16
1016,delta-17,Iris willow 17,pending,haze-17,summit alpha kelp note 17
1017,zephyr-18,Tidal kelp 18,open,quartz-18,zephyr river haze note 18
1018,kelp-19,Coral quartz 19,closed,alpha-19,quartz frost orbit note 19
1019,orbit-20,Bravo alpha 20,pending,alpha-20,umber cedar river note 20
1020,kelp-21,Frost coral 21,general,bravo-21,bravo bravo zephyr note 21
1021,violet-22,Jade iris 22,standard,meadow-22,frost cedar kelp note 22
1022,meadow-23,Iris grove 23,open,orbit-23,coral meadow bravo note 23
1023,orbit-24,Tidal tidal 24,active,cedar-24,frost frost iris note 24
1024,umber-25,Pine quartz 25,pending,meadow-25,zephyr summit river note 25
1025,bravo-26,Jade grove 26,general,harbor-26,violet summit grove note 26
1026,delta-27,Quartz coral 27,open,cedar-27,delta grove frost note 27
1027,kelp-28,Zephyr jade 28,general,violet-28,alpha delta coral note 28
1028,alpha-29,Meadow ember 29,closed,cedar-29,coral zephyr ember note 29
1029,tidal-30,Iris iris 30,general,willow-30,grove tidal ember note 30
1030,river-31,Grove grove 31,closed,umber-31,alpha coral harbor note 31
1031,harbor-32,Coral grove 32,standard,jade-32,pine jade frost note 32
1032,delta-33,Quartz kelp 33,pending,meadow-33,zephyr orbit kelp note 33
1033,zephyr-34,Coral pine 34,closed,tidal-34,tidal umber zephyr note 34
1034,jade-35,Meadow ember 35,open,ember-35,quartz iris summit note 35
1035,grove-36,Haze alpha 36,open,bravo-36,willow umber kelp note 36
