Firing ID	Date Started	Date Completed	Kiln	Fire Type	Cone	Peak Temp (F)	Ramp Rate	Hold Time (min)	Cooling Method	Load Description	Piece Count	Result	Issues	Notes
FIR-2025-001	January 14, 2025	January 15, 2025	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	Mixed student ware and personal pieces	28	Good	None	Clean bisque, no cracks
FIR-2025-002	January 17, 2025	January 18, 2025	Skutt KMT-1218	Glaze	6	2232	108 F/hr	15	Natural	Student glazed ware - fall pickup	24	Good	Minor crawling on 2 pieces	Satin matte amber very consistent
FIR-2025-003	February 4, 2025	February 5, 2025	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	New student ware and personal commission bisque	22	Good	None	
FIR-2025-004	February 7, 2025	February 8, 2025	Skutt KMT-1218	Glaze	6	2232	108 F/hr	15	Natural	Commission pieces and personal stock	18	Good	None	Linen satin confirmed on dining plates
FIR-2025-005	October 10, 2025	October 11, 2025	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	Fall class student ware batch 1	36	Good	None	Full kiln load
FIR-2025-006	October 14, 2025	October 15, 2025	Skutt KMT-1218	Glaze	6	2232	108 F/hr	15	Natural	Fall class student ware batch 1 glazed	32	Good	One piece pinholed - glaze too thin	Sage green very popular with students
FIR-2025-007	October 24, 2025	October 25, 2025	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	Fall class batch 2 and commission prep	30	Good	None	
FIR-2025-008	October 28, 2025	October 29, 2025	Skutt KMT-1218	Glaze	6	2234	108 F/hr	15	Natural	Commission plates for Marco - linen satin	14	Excellent	None	Best linen satin result to date. Peak 2 deg higher - note.
FIR-2025-009	November 7, 2025	November 8, 2025	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	Fall class batch 3 and personal holiday stock	34	Good	One piece cracked - student clay too thick	
FIR-2025-010	November 12, 2025	November 13, 2025	Skutt KMT-1218	Glaze	6	2232	108 F/hr	15	Natural	Personal holiday stock and class batch 3	28	Good	Slight crawling on one mug - glaze overlap	Warm stone ready for holiday stock
FIR-2025-011	November 21, 2025	November 22, 2025	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	Holiday production pieces	40	Good	None	Large bisque load for holiday rush
FIR-2025-012	November 25, 2025	November 26, 2025	Skutt KMT-1218	Glaze	6	2232	108 F/hr	15	Natural	Holiday production - mugs, bowls, small vases	38	Good	Two pieces with minor runs - overglazing	Heavy production period
FIR-2025-013	December 3, 2025	December 4, 2025	Skutt KMT-1218	Glaze	6	2232	108 F/hr	15	Natural	Final holiday stock plus commission plates	26	Good	None	Last holiday firing. All pieces sold by Dec 20.
FIR-2026-001	January 13, 2026	January 14, 2026	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	New year commissions and glaze test tiles	20	Good	None	16 test tiles in load - glaze experiment batch
FIR-2026-002	January 17, 2026	January 18, 2026	Skutt KMT-1218	Glaze	6	2232	108 F/hr	15	Natural	Winter glaze experiment batch - 16 tiles plus personal pieces	20	Mixed	Copper lustre very unpredictable - 3 of 4 misfired	Satin matte amber and ochre field confirmed. Copper lustre needs more testing.
FIR-2026-003	February 5, 2026	February 6, 2026	Skutt KMT-1218	Bisque	06	1828	100 F/hr	10	Natural	Spring class prep and personal stock	28	Good	None	
FIR-2026-004	February 10, 2026	February 11, 2026	Skutt KMT-1218	Glaze	6	2233	108 F/hr	15	Natural	Marco commission bowls and cups - linen satin	16	Excellent	None	Outstanding result. Marco delivery scheduled late February 2026.
