Recipe Name	Base Type	Silica	Whiting	EPK Kaolin	Feldspar	Talc	Zinc Oxide	Titanium Dioxide	Iron Oxide	Cobalt Carbonate	Rutile	Manganese Dioxide	Fire Temp	Atmosphere	Surface	Notes	Last Tested	Result
Satin Matte Amber	Matte	25.0	20.0	18.0	25.0	5.0	4.0	3.0	0.0	0.0	0.0	0.0	Cone 6	Electric	Satin matte	Warm amber-tan, very even surface, no crawling. Excellent on throwing marks.	January 2026	Keep - primary winter batch
Iron Brown Satin	Matte	22.0	18.0	20.0	28.0	4.0	3.0	0.0	5.0	0.0	0.0	0.0	Cone 6	Electric	Satin matte	Deep umber-brown with subtle texture at heavier applications. Runs slightly if over 3mm.	December 2025	Keep with application note
Celadon Grey	Gloss	30.0	15.0	15.0	32.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	Cone 6	Electric	Semi-gloss	Pale grey-green. Very food safe, good on bowls. Needs 2 coats minimum.	November 2025	Keep - class favorite
Ochre Field	Matte	24.0	22.0	16.0	26.0	4.0	3.0	2.0	3.0	0.0	0.0	0.0	Cone 6	Electric	Satin matte	Dusty ochre-orange. More interesting than expected. Slight variation kiln to kiln.	January 2026	Promising - test larger batch
Sage Green	Matte	23.0	20.0	18.0	27.0	4.0	3.0	0.0	1.0	0.2	1.0	0.0	Cone 6	Electric	Matte	Muted sage with slight blue undertone. Popular in class. Low cobalt keeps it subtle.	October 2025	Keep
Deep Teal	Gloss	28.0	14.0	14.0	34.0	0.0	2.0	0.0	0.0	0.8	0.0	0.0	Cone 6	Electric	Gloss	Rich teal-blue, glassy surface. Good for accent pieces. Use sparingly on matte clay.	October 2025	Keep for commissions
White Cloud Matte	Matte	26.0	24.0	20.0	22.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	Cone 6	Electric	Matte	Clean off-white matte. Very reliable. Good teaching glaze - fires predictably.	November 2025	Keep - teaching standard
Rust Red	Matte	22.0	18.0	16.0	26.0	3.0	0.0	2.0	8.0	0.0	0.0	0.5	Cone 6	Electric	Satin matte	Deep terracotta-rust. Heavy iron plus small manganese. Variation adds character.	December 2025	Keep for mugs and bowls
Ash Grey Matte	Matte	25.0	21.0	19.0	26.0	4.0	2.0	3.0	0.0	0.0	0.5	0.0	Cone 6	Electric	Matte	Cool neutral grey with subtle rutile texture. Works well with iron brown liner.	January 2026	Keep
Linen Satin	Matte	24.0	20.0	18.0	28.0	4.0	3.0	2.0	0.5	0.0	0.5	0.0	Cone 6	Electric	Satin matte	Warm beige-linen. Hits an earthy note without going brown. Good for dinnerware sets.	February 2026	Approved - Marco commission
Midnight Blue	Gloss	29.0	14.0	12.0	35.0	0.0	2.0	0.0	0.0	1.2	0.0	0.0	Cone 6	Electric	Gloss	Deep navy blue. High cobalt. Food safe. Good on functional ware.	October 2025	Keep for accent pieces
Butter Yellow	Matte	23.0	21.0	18.0	25.0	5.0	4.0	4.0	1.0	0.0	0.0	0.0	Cone 6	Electric	Satin matte	Soft butter yellow with slight warmth. Titanium gives opacity. Popular with students.	November 2025	Keep
Charcoal Matte	Matte	22.0	18.0	20.0	28.0	3.0	0.0	0.0	4.0	0.2	0.0	0.0	Cone 6	Electric	Matte	Dark grey with iron depth. Subtle. Good complement to lighter clay body.	December 2025	Keep - winter palette
Warm Stone	Matte	24.0	20.0	17.0	27.0	4.0	3.0	2.5	1.5	0.0	0.5	0.0	Cone 6	Electric	Satin matte	Stone grey-tan with warm undertone. Very food safe result. Repeat for holiday stock.	February 2026	Repeat batch for holiday
Copper Lustre	Specialty	20.0	12.0	15.0	38.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	Cone 6	Electric	Specialty	Light copper-gold effect with rutile. Highly variable kiln to kiln. Test only pieces.	January 2026	Experimental - do not sell yet
