carrier,avg_days_outstanding,worst_case_days,total_open_claims,total_open_dollars,notes
State Farm,18,28,14,42500,Healthy cycle
Allstate,22,38,11,33800,Healthy cycle
Geico,26,41,9,28200,Slightly trailing
Progressive,31,54,8,24600,Watch
NJ Manufacturers,64,87,6,38400,STUCK - one Lopez claim at 87 days; aging average understates the worst-case; Omar Figueroa flagged similar issues at other shops
TOTAL,29,87,48,167500,Combined open DRP receivables
State Farm,DRP detail,DRP detail,12000,18000,DRP detail
State Farm,DRP detail,DRP detail,8000,12000,DRP detail
State Farm,DRP detail,DRP detail,2000,7000,DRP detail
State Farm,DRP detail,DRP detail,0,0,DRP detail
Allstate,DRP detail,DRP detail,22000,28000,DRP detail
Allstate,DRP detail,DRP detail,5000,8000,DRP detail
Allstate,DRP detail,DRP detail,4000,7000,DRP detail
Allstate,DRP detail,DRP detail,0,0,DRP detail
Geico,DRP detail,DRP detail,28000,28000,DRP detail
Geico,DRP detail,DRP detail,8000,12000,DRP detail
Geico,DRP detail,DRP detail,7000,4000,DRP detail
Geico,DRP detail,DRP detail,0,0,DRP detail
Progressive,DRP detail,DRP detail,22000,12000,DRP detail
Progressive,DRP detail,DRP detail,5000,12000,DRP detail
Progressive,DRP detail,DRP detail,2000,7000,DRP detail
Progressive,DRP detail,DRP detail,0,0,DRP detail
NJ Manufacturers,DRP detail,DRP detail,18000,12000,DRP detail
NJ Manufacturers,DRP detail,DRP detail,12000,8000,DRP detail
NJ Manufacturers,DRP detail,DRP detail,7000,7000,DRP detail
NJ Manufacturers,DRP detail,DRP detail,14000,14000,DRP detail
State Farm,DRP detail,DRP detail,18000,22000,DRP detail
State Farm,DRP detail,DRP detail,8000,12000,DRP detail
State Farm,DRP detail,DRP detail,4000,2000,DRP detail
State Farm,DRP detail,DRP detail,0,0,DRP detail
Allstate,DRP detail,DRP detail,12000,22000,DRP detail
Allstate,DRP detail,DRP detail,12000,5000,DRP detail
Allstate,DRP detail,DRP detail,4000,2000,DRP detail
Allstate,DRP detail,DRP detail,0,0,DRP detail
Geico,DRP detail,DRP detail,28000,18000,DRP detail
Geico,DRP detail,DRP detail,8000,5000,DRP detail
Geico,DRP detail,DRP detail,2000,7000,DRP detail
Geico,DRP detail,DRP detail,0,0,DRP detail
Progressive,DRP detail,DRP detail,28000,12000,DRP detail
Progressive,DRP detail,DRP detail,12000,12000,DRP detail
Progressive,DRP detail,DRP detail,4000,4000,DRP detail
Progressive,DRP detail,DRP detail,0,0,DRP detail
NJ Manufacturers,DRP detail,DRP detail,12000,28000,DRP detail
NJ Manufacturers,DRP detail,DRP detail,5000,5000,DRP detail
NJ Manufacturers,DRP detail,DRP detail,2000,4000,DRP detail
NJ Manufacturers,DRP detail,DRP detail,18000,18000,DRP detail
State Farm,DRP detail,DRP detail,28000,18000,DRP detail
State Farm,DRP detail,DRP detail,12000,5000,DRP detail
State Farm,DRP detail,DRP detail,4000,4000,DRP detail
State Farm,DRP detail,DRP detail,0,0,DRP detail
Allstate,DRP detail,DRP detail,18000,22000,DRP detail
Allstate,DRP detail,DRP detail,5000,5000,DRP detail
Allstate,DRP detail,DRP detail,4000,7000,DRP detail
Allstate,DRP detail,DRP detail,0,0,DRP detail
Geico,DRP detail,DRP detail,22000,12000,DRP detail
Geico,DRP detail,DRP detail,8000,5000,DRP detail
