shop,period,gross_revenue,direct_costs,labor_costs,overhead,net,notes
Market St,Q3 2026,548000,165000,142000,38000,203000,Solid Q3
Broadway,Q3 2026,385000,128000,108000,32000,117000,Solid Q3 - insurance + walk-in mix steady
Totowa,Q3 2026,212000,88000,72000,52000,0,"Effectively break-even; ~$3,000/month avg burn covered by Market St net (NOTE: October burn-rate has worsened - see Rosa's mid-month note)"
TOTAL,Q3 2026,1145000,381000,322000,122000,320000,Q3 finalized close
Market St,Jul 2026,165000,38000,52000,Q3 2026 sub-period detail,31000,Q3 2026 sub-period detail
Market St,Aug 2026,142000,38000,38000,Q3 2026 sub-period detail,18000,Q3 2026 sub-period detail
Market St,Sep 2026,178000,52000,60000,Q3 2026 sub-period detail,18000,Q3 2026 sub-period detail
Broadway,Jul 2026,165000,45000,60000,Q3 2026 sub-period detail,18000,Q3 2026 sub-period detail
Broadway,Aug 2026,195000,45000,52000,Q3 2026 sub-period detail,22000,Q3 2026 sub-period detail
Broadway,Sep 2026,142000,60000,38000,Q3 2026 sub-period detail,18000,Q3 2026 sub-period detail
Totowa,Jul 2026,142000,52000,45000,Q3 2026 sub-period detail,15000,Q3 2026 sub-period detail
Totowa,Aug 2026,178000,60000,60000,Q3 2026 sub-period detail,18000,Q3 2026 sub-period detail
Totowa,Sep 2026,195000,45000,45000,Q3 2026 sub-period detail,31000,Q3 2026 sub-period detail
