period,gross_revenue,direct_costs,labor_costs,overhead_costs,net,notes
Q4 2025,232000,84000,68000,12000,68000,Q4 2025 baseline; Tony helped on insurance work
Q1 2026,198000,71000,62000,11200,53800,Slow Q1 as expected
Q2 2026,224000,82000,71000,11200,59800,Spring pickup
Q3 2026,260000,88000,74000,11200,86800,Strongest quarter; ADAS demand starting
Q4 2026 YTD (Oct 31),84000,28100,19400,3800,32700,Through Oct only; mid-month note shows strong momentum
FOUR_QUARTER_TOTAL,914000,325000,275000,45800,268200,Sept 2025 - Aug 2026 rolling
ANNUALIZED,914000,325000,275000,45800,268200,Used for lease justification math
PER_MONTH_AVG,76167,27083,22917,3817,22350,Monthly average for run-rate

# Notes (Rosa, October 17, 2026)
# Market Street bay produces approximately $880K/year (rolling 12 months).
# Net contribution roughly $250K/year before John's draw and shop-level allocations.
# Q3 2026 was the strongest quarter on record for this bay.
# The bay's revenue justifies up to about $130K in annual rent (15% rent-to-revenue ratio
# which is the industry rule of thumb for auto body shop economics).
# Anything above $130K (= $20.30/sqft on 6,400 sqft) is starting to break the
# rule of thumb. The landlord's +12% offer at $121,856 is just inside the rule.
# Anything above $130K, we should walk.
