source,property_address,sqft,annual_rent,rent_per_sqft,signed_date,tenant_type,notes
2024 pull,382 Market St (subject),6400,108800,17.00,2021-11,Auto body (Ramirez),Current lease baseline (2022-2026 term)
2024 pull,215 Main St,4200,66150,15.75,2023-04,Nail salon,Not direct comp; retail conversion
2024 pull,88 Union Ave,5100,86700,17.00,2024-01,Pizzeria,Different use class
2024 pull,412 Broadway,3800,60800,16.00,2023-09,Barber shop,Not direct comp; small retail
2024 pull,610 Getty Ave,4600,75900,16.50,2024-02,Storefront church,Different use class
2024 pull,225 21st Ave,5500,93500,17.00,2023-11,Deli / grocery,Different use class
2025 pull,156 Market St,4800,86400,18.00,2024-06,Auto body shop,Direct comp; 2024 signing
2025 pull,182 Market St,5200,95680,18.40,2025-01,Tire shop,Auto-adjacent; 2025 signing
2025 pull,301 Union Blvd,4400,79200,18.00,2025-03,Muffler shop,Auto-adjacent
2025 pull,540 Getty,4900,88200,18.00,2025-05,Fleet maintenance,Direct comp
2025 pull,720 21st Ave,5300,98050,18.50,2025-08,Auto glass,Auto-adjacent
